A2LD1,ATP5G1,BRP44,C16orf93,CD34,MAP3K1,PCSK91,PPP1R12C-Exon2,TPH22,XRCC6
A2LD1,0.993867244167179,2.93375567757216,2.92391245806533,3.39554407443448,1.31227124073915,1.16292769791187,1.12015153083345,3.04550920401445,2.69023752780431,1.76264322679642
ATP5G1,3.32439874867664,1.35910464744371,2.55151041953398,4.0194555602089,2.40927041013475,2.73934011450773,2.20318665310719,2.85233714466393,1.64671394743809,1.69152808617357
BRP44,1.72805896786199,1.5667636978343,1.93769219808118,2.7303532445077,1.81535527461206,1.36575937787106,1.40378399973528,2.22018145296791,1.41032566926659,1.59156400391798
C16orf93,3.54569001488813,2.27993986630978,2.525756993468,1.35528614763003,2.49987787751071,3.22526319759742,2.69105378862717,1.96967320206517,2.67014016336202,2.51911096738268
CD34,2.92175058232433,5.2075476755261,4.68617260613863,4.82873445031711,2.16619129566453,2.63958549932195,3.06923854195621,4.53678002557816,4.74611336766538,3.98728214270452
MAP3K1,2.97249026246751,4.04710817832088,3.21804140356047,5.61901101151389,2.55739308361711,2.05256045755599,2.59810927743719,4.44191600576648,3.63102553548471,2.79852483877083
PCSK91,1.9292565088285,4.0871939579442,4.12363110220477,4.47180866517361,1.8919955118967,1.95817309614926,1.90285202058684,4.17188396947817,3.843958260408,2.44421181479513
PPP1R12C-Exon2,4.04381007736602,4.07056957794515,4.98031963216522,6.20713349560611,3.42407036271746,2.78191965658576,3.32460541265248,5.17163876377015,3.90901031030039,3.39318208530829
TPH22,2.31174842123897,0.931685758618817,1.6035291381993,2.95948264851142,1.76345332318829,1.99194137080422,1.49064546935138,1.82979315278847,0.734958882537764,1.5416467589487
XRCC6,2.13389345822367,4.08280787568872,4.05084718398955,3.10969636674788,1.87854254378371,2.22864745574584,2.14320324467338,4.09033893396712,4.15684857674916,2.76804374732735
