A2LD1,AR,ATP5G1,BRP44,C16orf93,C17orf96,C1orf204,CD34,FAM159B,HBXIP,MAP3K1,ODZ3,PCSK91,PPP1R12C-Exon2,PTPLB,RP4-697K147,TMEM57,TPH22,XRCC6,ZNF498
A2LD1,1.75009907853812,2.47132563397627,2.59524077572225,3.01351395647989,3.5821422428627,3.54061242013856,3.62850716795116,1.59457021944804,1.6112450321782,3.60612524622896,1.57983643444779,1.59266874393388,1.44557225346811,2.96178241556791,3.23402701377504,3.40414475690229,2.20712767563031,2.40597352762467,2.08158743316974,1.96364314647421
AR,1.91413804582948,1.27260074540081,1.44227623408288,1.80389628792475,2.40287872742253,2.5813549413001,2.68936814757243,1.18554685288707,1.47483698545348,2.50232785477949,1.51723167475703,1.12004504443589,1.22887101601486,2.04277298768862,2.10145295382044,1.79262589876693,1.40419878850738,1.28319272196314,1.33361543788801,1.47135458657215
ATP5G1,2.29397173319688,1.60105550536164,1.07124521163121,1.58261697826475,2.29542442031177,2.14240527005672,1.85437517468322,1.9015287217395,2.20720699777303,2.342448424934,1.95868394300233,2.0878839535042,1.67330131911926,1.90090545877217,1.7153013691074,2.4489414216824,2.28932799917396,1.1407527066934,1.53845723139603,2.33837777119845
BRP44,2.48191353477105,1.67356724400204,0.947212613936957,1.80082877695498,2.73550972046033,2.58356368528603,2.29137389989431,2.01327752285035,2.18128965513578,2.20419970898043,1.94705849147445,1.9800334172981,1.4209416733804,2.13156534486134,1.86275778148016,2.84282924025993,2.27803962474331,0.89830785820979,1.41683802029589,2.44523464221871
C16orf93,3.43664578137029,2.59298422948801,1.51362932735943,2.41832310066561,2.59490196190775,2.57632564810979,2.83942487749476,2.77007844693472,3.08016412911223,3.01863091205168,2.92098250344318,2.50828228262972,2.26953829613172,2.12768574254766,2.54211592013721,3.49549233900733,3.22096148969607,1.71237582126422,2.23328037338763,3.33696692378826
C17orf96,2.4388593200103,1.55920922213839,1.11402313247065,1.49114796623169,2.32725321516871,1.4049794681655,1.56364187906066,1.71190451430875,2.0766913855749,1.94575331280478,1.66180826850656,1.71740360735593,1.44537008539676,1.24206138659523,1.60527908974903,2.79023922295398,2.21954842036987,1.16567994326909,1.36156026586246,2.2767623148816
C1orf204,2.9501015772867,2.24332222162166,1.28937357433431,1.82757050178933,2.7105613373642,1.95471527023099,2.03516436239769,2.25632024103651,2.39710879018553,2.251153148783,2.22210597906608,2.22005085655428,1.81246868458918,1.81109147942641,2.11587975052961,3.27684809538684,2.67514345433025,1.24070176377807,1.79676423554397,2.66306101282381
CD34,2.23259194586652,2.822281536073,3.80594481329535,3.62198716214314,4.05951834963431,4.10045008121933,3.98985755003549,1.77623903629249,1.5805640320738,3.51424681263904,1.84359071909739,1.72797465832538,2.08508881126471,3.6279293381599,3.88149615921523,3.3463511691244,2.03335814603585,3.56552241953364,2.3123262959123,1.69137234634655
FAM159B,2.6209529877634,2.35780380761939,2.12039285814295,2.82361608751677,3.74673900267932,3.55978673757675,3.36013937743282,2.07185306937874,1.71732125163808,2.81583193138961,2.01373659308289,1.78263241787115,1.78586051091685,3.0715666541892,3.06294067026518,3.17424702913283,2.18807810138248,1.92125580022042,1.8472911678702,2.16929322800344
HBXIP,2.7515584821508,1.86698742441888,1.06801354543671,1.56338299839354,2.77261216061328,1.84090289066985,2.02383111088829,2.06085503305425,2.32376127529376,1.58691873366896,2.07771178534067,2.01855089621573,1.5149457116244,1.62458321557667,1.67723107071894,2.9809238843243,2.52682277019882,1.11366235825249,1.38627135471433,2.5595892124763
MAP3K1,1.98705648006933,1.39341756066155,1.57148248057865,1.93500947002654,2.64091243593064,2.4807821194037,2.64844985062987,1.16311425939617,1.45301199792737,2.61492066901888,1.19689698927916,1.05855617861028,1.37406564361347,1.99351326995985,2.36174310804554,1.87759699815776,1.26296129683358,1.51110367138047,1.41768817347944,1.37758745183067
ODZ3,3.36797089030355,4.81320637241037,5.62027290277243,5.70591990606038,6.06807798491643,6.13843316281114,6.71751413576713,2.95409675733234,2.71899108973455,6.22252190842653,2.91386377068424,2.60626624956853,3.38430848816331,5.4733403415647,6.13471333496157,5.01677340838314,3.37654100902921,5.34966782834289,4.09154259758213,2.79973715707615
PCSK91,1.88585283529424,1.73995169090547,1.59068757473836,2.25604316664975,2.6409340179971,2.4365813104437,2.72174671118043,1.29523196333309,1.48983757052192,2.62868280207503,1.46307565460144,1.09843867484527,1.31688059620207,1.82670907109817,2.48517134327311,2.41300448830491,1.62845122916643,1.62836736312176,1.38917485409008,1.63554263951546
PPP1R12C-Exon2,4.18824513082647,3.51581141570074,2.5624015503066,3.83520339883264,4.55619758646787,4.00267908412032,4.0948767613103,3.39490647837509,3.53922394444548,4.23309801185288,3.279017546056,3.13120893180329,2.92024187024653,3.58509681429901,4.11724871527824,4.84148016326408,3.82794715891695,2.45650806887101,3.07215776154867,3.73848647458369
PTPLB,2.74519628414018,1.9133677487565,1.4109508843324,1.62732599809776,3.2807918903208,2.35864129695561,2.3507380888477,1.60395792668156,1.9099604941592,2.2467003299044,1.90499699908239,1.78166583704047,1.46748054567058,2.32298271901395,1.84390152172187,2.96457761418849,2.20004993104571,1.26564788226763,1.57569150384927,2.1519915675275
RP4-697K147,1.9277366104286,1.48825488229684,1.88851263109149,2.19066024043381,3.4004290396793,2.82243376332398,2.9001297074163,1.07261373164656,1.18014636343313,2.78788573708332,1.25009433320019,0.977559714013336,1.38293205329188,2.47848924779088,2.71719930649638,1.89877517558139,1.27771007695067,1.77540672235402,1.34277572089208,1.20554330350005
TMEM57,1.8668126735166,1.82173947291696,1.01511557265755,1.68097863391056,2.30173057529624,1.9993279465034,1.32843172924823,2.0149896725254,2.06033757383395,1.93178570096644,1.88961598899086,2.13085396454294,1.17588012290877,1.61026354514345,1.3464792128283,3.66835057907555,2.63218478798272,1.21293522506765,1.22686178491903,2.69208480427596
TPH22,4.5904456953351,3.32643191290093,2.06374807419745,3.16855565663616,4.68999437139784,3.90149079132887,3.75245529484483,3.86899657683901,3.94042117333165,3.71783549539329,3.68968203561555,3.73764161065758,3.09935842769711,3.67116777096705,3.50778196557225,4.42656498198703,4.01125294909019,1.81302988831904,3.11560261953581,4.24396430220628
