A2LD1,AR,ATP5G1,BRP44,C16orf93,C17orf96,C1orf204,CD34,FAM159B,HBXIP,MAP3K1,ODZ3,PCSK91,PPP1R12C-Exon2,PTPLB,RP4-697K147,TMEM57,TPH22,XRCC6,ZNF498
A2LD1,3.18674003220994,6.93629519052341,7.17259668146758,7.54415572507724,8.29338530544727,8.27716635457271,8.13778351801898,8.65114458489318,8.8356927451585,8.52322329890382,8.47670195120735,8.7989965940397,6.52920807130536,7.42483935164623,7.95139503259612,8.40942564783824,5.83404801239863,6.67584142159422,6.33701778631351,5.76348896089504
AR,6.07105572556825,4.31748796928104,5.2879140753339,6.52915470858432,7.84128920863949,7.57162969815016,7.40688234071363,5.39807280855492,5.41970456149832,7.96909606112984,5.23425161732197,5.63746816100757,4.81453890223263,6.86661388567769,6.86507714508728,6.5596632207983,5.88467873229236,5.87119981755322,4.64347047458748,4.46316879885543
ATP5G1,7.76727534339289,6.7417625309813,5.30474744983942,7.35212034617918,7.91572342777022,8.29701065686423,7.73605709125382,7.60368070724645,7.76100325238924,8.93631136572114,7.20685592016011,7.75793717711389,6.41634642701893,7.56201430415235,7.52975996232412,7.53182165180006,7.55173566541278,6.7579645123769,6.01599331079731,6.2819317488024
BRP44,4.91325023112449,6.43077948485435,6.23819498659825,5.10013095964336,6.65509987912998,6.38482125332463,6.38059788764169,7.14675061910372,7.49271667041912,6.61481626199773,7.32694270604491,7.54688914481121,6.49467341952291,6.20165040157125,5.88325785459865,7.92644864957847,4.73727188961399,4.88659264227214,6.96258755406674,7.24899016711311
C16orf93,7.59642433756454,5.50902553512791,6.62172369799851,7.28611568623389,8.79203931536622,8.44793779238001,8.52565719039166,7.22790313364483,8.41023312945236,8.51011515165408,8.10851782682183,8.23950718537893,6.07196919256438,7.99168017264152,7.48536540710306,8.05524943163549,7.93681336933929,7.12208860280706,5.79144360207858,5.88626339317455
C17orf96,6.00832475655854,7.7663975434106,7.13687646965459,6.75659580397789,8.16385574253123,6.98281655302186,7.85019502307874,8.07558322328962,8.59540942968758,8.25811905410171,8.53292286802166,8.59875652505762,7.21450106681445,7.79297088499231,6.83317815956878,8.74560503775103,6.3082668795554,5.8932961111619,7.77674811001574,8.06722806001509
C1orf204,5.26511082277027,7.65401791950141,7.11506826038535,6.51510043123443,7.47711759062316,7.45427784609677,6.49924820391729,7.22090397382835,7.22959195910101,7.84951095483162,7.12665638512655,7.19788490024454,6.58713743150291,7.0477371967135,7.01101218262415,8.74713694360448,5.07592163333181,5.4143006135953,7.13502511013494,7.10346709317749
CD34,8.34875139146701,7.61386491102253,8.59833468234438,9.4023479068232,10.7062052031778,10.6418873828239,10.6012049037317,2.76630742025322,3.93819290942223,10.9723367223682,4.09475575826976,4.02616805471375,7.55681664500697,10.0171144313269,10.3749771616143,9.78574672381673,8.32769615168139,9.6772275920439,7.98312299611533,7.15779109432533
FAM159B,6.2603227696753,6.45319733606726,5.69306933984407,7.40783111422541,8.34978753132845,8.17840759469646,7.85164462643932,4.39694328943848,3.06953485818481,8.48758786760149,4.24592408026183,4.45404998064309,6.29672503078929,7.17791712660996,7.29873686627656,7.90251834642074,6.53081163885905,6.99809559591188,5.80489003158561,6.12264355599168
HBXIP,6.26732436186733,7.36956728557004,6.77332861392887,6.64851873228985,7.59998485247873,4.65680114838617,4.75772683425803,8.01686075303884,8.40420930352532,2.01596957707454,8.03750369393026,8.30242734653305,6.25568088769733,7.39437379854564,6.68722330546349,8.22014367577603,6.45116531495281,5.61921872025098,6.98102903496855,7.10921862828668
MAP3K1,7.13260696813818,7.00417880584378,6.52072902729283,7.94670164020478,8.53939844461053,8.58722911600106,8.41900101177667,3.76183421268006,3.46874714332334,8.99174101563729,1.98182473423049,3.70567046566544,6.33826140991601,7.89266031861934,8.02121771903127,8.23180445918876,7.082477267562,7.18342095899496,6.18094623604124,6.21208396176016
ODZ3,7.92577617911067,8.53596585264065,8.05034372837671,9.505994623971,10.2672700649469,10.2587662186516,10.0821060026119,3.63386087858491,3.6616015865464,10.5238657765863,3.79954771437329,2.26134583392732,7.96293370616127,9.25449475740684,9.83943348523669,9.82664600751233,7.94935394285222,9.37072885031773,7.88656247768833,7.51048417658545
PCSK91,8.24514777437311,6.2146192593333,8.13880303542664,9.05116994686641,10.0028395294671,9.77794517133428,9.66923850011403,7.39274140047428,7.40615637084206,10.0731227478146,7.50240482337388,7.61656036351446,2.55441145262945,9.60276860927288,9.29328753086865,7.56785646286165,8.10930294301465,7.19812349157966,5.51991111903078,4.26042155911301
PPP1R12C-Exon2,6.07665232638195,7.09753790567753,6.41553487006719,5.92417936006075,8.01218534282281,8.0921170404594,7.69145318382822,7.56884698935469,8.34540022494955,8.30610005909409,7.81394979924674,7.92421937286549,7.34187833940846,3.27983369511181,6.01940402274086,8.35457943990938,6.18977905135099,6.53950463206029,6.73886087543926,7.55464817736954
PTPLB,6.99572958922856,7.62749887679813,6.3291424353975,6.45086270934774,8.4488882865058,7.58960030895464,7.47481263246025,7.75168279562723,8.35572631184783,8.37574689085114,8.04618002915307,8.37006723629307,7.5071277751243,6.97985064070963,5.65080809683027,8.77777575255953,7.21125836567498,6.03613717074691,7.30926457216496,8.34043654015882
RP4-697K147,7.1526417550665,5.71954764252432,7.33422996574535,8.53246023352666,9.22271280087568,9.45112759813831,9.06441334690054,8.52247302556556,8.97905444139499,9.73654900088172,8.52309466911961,8.73691768734965,4.78855113982697,8.55137812364084,8.95803361991795,3.44751285737128,7.04103238283473,8.38896576845158,4.90541337575427,4.1187588578528
