A2LD1,AR,BRP44,C16orf93,C17orf96,C1orf204,CD34,FAM159B,HBXIP,MAP3K1,ODZ3,PCSK91,PPP1R12C-Exon2,PTPLB,RP4-697K147,TMEM57,TPH22,XRCC6,ZNF498
A2LD1,3.40714771954615,8.88639184712981,8.18108035695695,8.78622143401928,8.87973475353609,8.72413586653078,9.73168691362423,10.088257280268,9.11902495464169,9.64108957764389,9.95901224042902,8.78595377923102,7.91452322250568,8.41841674265301,10.3047346246266,6.13761509637894,7.55766665354983,8.47233235541614,8.56001586706845
AR,7.18704564585126,4.35413046905318,8.14560817832531,9.44446198726959,9.40411901908516,9.22571551514602,8.4523375310307,8.80825365235182,9.62912075636079,8.32373491521642,8.76268819418702,5.05153635798822,8.27059359445206,8.78707803422966,7.39865712938645,7.05908997418439,7.80008335919576,4.86170305986515,4.32591517115548
BRP44,5.82574118821841,5.43635950851876,6.04235342832829,6.75067120557623,6.68591769599427,6.41661205719552,6.63073967608783,7.14338546909193,6.92688599225794,7.02019498337003,7.06423516752076,5.86613845901396,6.52583444629365,5.94532090456373,7.35677639739302,5.66730143096587,5.06976237035554,6.45797051299844,6.75702463172685
C16orf93,7.23358793176388,5.06773725110736,6.96313122126942,8.55901360654231,8.32139053182973,8.35784921096127,7.01733599477634,8.13446427116939,8.23313442864286,7.87367945399173,8.06198085878465,5.86373234235432,7.87228948291325,7.27335359324104,7.76608516782513,7.70665240295622,6.8951239265351,5.43907974313367,5.57410679612181
C17orf96,7.3134031246129,8.73043077335047,7.49191315733309,8.73364186390717,8.01298766080713,8.86974404410236,8.76227281817424,9.3878229890108,8.94492510160889,9.1202112522712,9.56540222718387,7.8323982752335,8.66411828943529,7.55762455612977,9.80868427289662,7.77393900281256,6.33093068862543,8.91340380600777,9.6444808057052
C1orf204,6.6913744408804,7.4242909136735,7.19396610157586,8.07470447083954,8.20772324230668,6.84288323711535,8.13003534259448,8.44038715061127,8.28867351344499,8.22297235176915,8.37464324047972,5.91339722005173,8.13433881169598,7.74526022538583,8.5543380311876,6.56571728461644,5.99016511346949,6.87239695133185,6.90524175122819
CD34,8.5165596155849,8.35564342333494,9.32735690064758,10.6059944073703,10.4069127599047,10.5128842765079,2.44045808846676,3.85942494753451,10.8824831610649,4.06705402540435,3.9764486679618,8.92895566457686,9.83645194184436,9.99180025990323,10.3805491208047,8.46232158005745,9.46142202621904,8.91008088489011,9.26020179284735
FAM159B,6.15102496884256,6.65287431039106,7.39917707821557,8.09987084400579,7.9594616942753,7.86972403177123,3.9734800113811,2.62039545832731,8.40357169051087,3.90667648423944,4.16057062328275,6.2213079880983,7.17318178778958,7.44400538480225,7.82463294927566,6.24332722557483,6.76265401670452,5.85892698423282,6.19389978705833
HBXIP,6.88521508785779,7.62174829058111,7.14230518013004,8.04974446405761,4.60027883237776,4.81091733613879,8.3213535717798,8.72602311225274,1.87811228053576,8.51816098442427,8.69490477012136,6.33071207223722,8.06377385338825,7.18016981754479,8.53685293732225,7.09521994426479,5.7932512559826,7.33451180980991,7.32879073215747
MAP3K1,7.2718650738075,7.17354855952356,8.01951530383278,8.61821270213006,8.78335675156515,8.55826003268819,3.89643999062702,3.65454707763448,9.09737565843574,2.13055339588014,3.91648689556164,6.53955239439777,8.10955799087886,8.28130258050887,8.47449541213591,7.24454025571533,7.26293860469606,6.33672039377594,6.59340951344221
ODZ3,7.54011203516085,9.0067599780723,9.74132654523864,10.5509517306453,10.4481358397566,10.4343366168671,3.77218860983412,3.79957408812995,10.7666437864522,3.92433300411955,2.18822929255766,8.49476608564047,9.48275534922925,10.1175415416779,10.2905663096696,7.50705350374143,9.57632762254023,8.30973431787332,8.09854952298668
PCSK91,7.47572071131764,6.49146875119982,8.37480317463999,9.39661959985701,9.29593869793957,9.13646228043256,6.74412355694949,6.65905611856967,9.51576962984786,6.85015910280399,6.91280893726798,2.38723218996565,9.17889776931483,8.72769522810524,7.67340282409404,7.44742775646088,6.63920528680032,5.76811658780515,4.61944000303486
PPP1R12C-Exon2,6.48618791632918,8.06058333741233,7.01608097008221,8.62198942376505,8.845147568245,8.66105031861094,8.6168345957633,9.34803428425664,8.87065784418028,8.88210024234445,9.05163922497984,7.88256511987771,3.90033995854269,7.27288513748444,9.17759829852297,6.50678896591685,7.39692303506859,7.70371436907728,7.99212341885212
PTPLB,5.83138098139873,6.71756630832574,5.32172256545365,6.83885782432261,6.52686057514731,6.26587037181039,6.77026485926237,7.33932937034527,7.06187724540345,7.06580036255644,7.36051674817288,6.14153208876055,5.89705371354349,4.64281703886553,7.70031427918431,5.91050355494512,4.69729525062636,6.33862159710329,7.21175168014784
RP4-697K147,8.2710406865112,6.4736528547309,9.16689119642285,9.49511585589159,9.43678753208816,9.10047566235941,8.95480716646525,9.62221774162369,10.1868061917655,9.11690547020256,8.82957337465716,6.11387579113612,8.76905130070941,8.80596845880555,2.9949169359625,8.25195882842564,8.80148057246319,6.238397418632,5.264653857014
TMEM57,5.57715133014412,6.8959477741951,6.72064756701188,7.37043655889414,7.40203612400826,7.22847038067338,5.99103616020362,6.48232798238329,7.76439459910116,6.33642139068488,6.21909083512142,6.93298209364034,6.55418229213692,6.85365287023872,8.0464704264551,5.25766483376828,6.22026356645434,6.64398408282189,7.37930604944352
TPH22,6.87365577838827,6.78070471631248,6.17757099243141,7.41996915949361,7.29440893027693,7.06345423581704,7.52915064982833,8.07987316540923,7.4056186672637,7.73905239502244,8.06535543160406,5.26559001125268,7.38550986112508,6.18858062966664,8.12309030982733,6.90478910164211,2.97604853151157,6.58339953851405,7.08657691819972
XRCC6,6.886612457882,5.64449916747232,8.71074774016729,9.33651178272922,9.36957999967573,9.14475613818907,8.51930736686487,8.84292261395761,9.54872343010509,8.56023183483875,8.82837179601939,4.89113169975409,8.53477856607716,8.80083970758926,6.81047180174878,7.05344294259015,8.22935691852451,3.19330581559529,4.04337811047922
ZNF498,7.20860587924637,6.13874965943331,9.21940506977504,9.99889285985854,9.85129587943599,9.87618598457257,9.36426468015724,9.62896992451551,10.3787872212953,9.51607981078166,9.50469070286558,5.16960491981605,9.15734096418275,9.67349711727177,7.40440670354544,7.46918332655713,8.95116800335704,5.27311210066694,3.57900180705072
