A2LD1,ATP5G1,BRP44,C16orf93,CD34,MAP3K1,PCSK91,PPP1R12C-Exon2,TPH22,XRCC6
A2LD1,3.79468554982097,6.33939792685639,6.28082682272536,8.06309967711568,7.44300406378172,8.36159884610963,6.28823344784121,6.07637999800108,4.64341397422513,7.31108081141157
ATP5G1,8.520522110115,2.86356185303972,8.25610493953718,9.30857773139804,7.60059178861892,7.2639952070754,7.33617853639616,7.29854844397324,5.13869569450101,5.7016791914839
BRP44,7.18887624702877,6.93189970496209,5.83827410273325,7.97763334937,8.59284893260997,8.064405326753,5.2711684649506,8.13592089487233,3.43260484466882,7.30314663574209
C16orf93,6.78752384790913,3.51486914188152,6.55490879573917,8.27844145098651,6.27855898024872,6.67107987438152,5.78688802588253,6.61149549270165,5.41071051318617,4.29967464986086
CD34,8.13923000776921,5.97864235695179,8.7250670693336,10.195398798917,1.50498160357145,3.45160624242233,6.88005910949029,8.32213598727548,7.9984236281089,7.01029185254175
MAP3K1,7.06027919727643,4.73978569691893,7.91054436776773,9.24686505510852,3.72887992769805,1.93459098055141,6.74016884492827,7.91842755689281,4.80132917450567,6.58843957105008
PCSK91,7.7143661939854,4.86285823124268,8.14726232824562,9.25924301158084,7.59322219931236,8.06008226187812,2.87243075871959,7.63207319343193,5.27955854039596,4.33439224257584
PPP1R12C-Exon2,6.51415274953041,6.11937691600439,4.93113540454473,7.28110453181098,7.94028634756532,7.68835983279064,5.96851183416641,4.32857411659902,3.62111731852334,7.42392489168512
TPH22,8.24383262237035,6.99259065237842,6.11905519182899,7.57409154570881,7.82374386078007,7.7396082841353,5.65877489127769,8.32803975167273,2.83397500743988,8.01383848269198
XRCC6,6.8670435691184,6.28520850326828,8.03041077642894,8.80255268430042,7.78076358328479,7.73054689798463,4.08130697364595,7.69903252262601,7.53425573774486,3.43794622061738
