A2LD1,AR,ATP5G1,BRP44,C16orf93,C17orf96,C1orf204,CD34,FAM159B,HBXIP,MAP3K1,ODZ3,PCSK91,PPP1R12C-Exon2,PTPLB,RP4-697K147,TMEM57,TPH22,XRCC6,ZNF498
A2LD1,4.38002237657734,9.11259721481213,6.51531720384567,7.07189946405415,8.87171810592268,8.71456869006081,8.85553452104386,9.08365837028025,10.5207467990544,9.1730998588162,9.85892420299639,9.88648284239755,7.55175107377134,6.69396365814432,7.27451037811607,10.456259416104,6.02152392834334,4.74631573226088,8.31702562993627,9.45523881926327
AR,6.17499783105003,3.26415580212818,3.07470484505866,7.04425994426037,8.3612973835408,8.3979630506388,8.20982059754145,4.92745133513275,5.22426774792973,8.55064392743206,4.47907306613512,4.90645353485494,3.65644079646813,6.60006726836056,7.63104295104266,7.02274894559937,3.96373752480115,4.32222519000272,2.93595621951821,2.49074699006789
ATP5G1,8.98181631657671,7.35546724666546,2.41653883123845,9.25533827538036,10.3992451460477,8.79505295061688,8.72938326734051,6.15353634554661,6.27307987550429,9.32502871725157,5.7115144316493,5.6725357049862,8.15767596058566,7.9236103164319,9.10530459134875,10.1563633452937,8.4269186416754,5.65157532262987,5.99462663860234,9.10927051898893
BRP44,6.26763063598218,6.45069556980199,6.5925240206513,5.21738137767194,7.95104802490634,5.96198299431002,6.11584341815251,8.3753965757161,7.97677227315166,6.34085192791663,8.06003006318805,7.84879195096738,5.77831164539241,8.15941124700177,6.71624186517796,9.73330850317129,7.77547719464211,3.61852670707796,7.43022798064749,9.1472033412162
C16orf93,8.66091953207089,4.51164962492073,3.21302317926268,6.7366732503644,9.03328313887727,9.65719711060955,9.58889447963948,7.07161791132091,7.92822003045886,9.57124986230108,7.53083133190846,7.18803451538103,5.82171498917383,7.89519233525099,7.46906313881488,8.81036797303906,8.30674251470179,5.68168538900453,4.56125550542385,6.29389648224542
C17orf96,7.62343789682542,7.95606612593863,6.93754130447294,7.47406567085696,8.57225565967267,3.26172012878237,5.02991886152868,8.26537964941576,9.2008954395415,5.85889101698195,8.58606428044673,8.36948549402049,6.89337026947062,6.42403831479858,7.56156862894925,9.56262208846839,7.61279585088216,5.23603828333966,8.02478331957366,9.45202624127475
C1orf204,7.49639723951121,8.14996637544745,5.71267052490049,7.27166063575071,8.76499840322188,4.72421302297433,4.12943872464171,8.2273567723169,8.96133417318249,5.82553245475493,8.23457458073943,8.11145173684886,6.56706825668175,7.93467244280017,7.62008399435426,10.2444078925706,7.42085719647183,3.67299607148945,7.52840153376837,9.53651153756078
CD34,8.65813353194292,7.26499569797804,5.80107656837687,9.36193555445051,10.8883144723444,10.8312682385368,11.0129416732331,1.83411957195024,3.00509584708409,11.2932414628063,3.55006676551235,2.34458892191381,7.6024657786188,8.94434781797273,10.2623325649606,10.3417040621724,8.15626329871223,8.5691654655752,7.436502519907,8.04453561928786
FAM159B,7.28849290967946,7.37318189245744,5.74397411859852,7.41987649873445,8.44339648172231,8.63024076005672,8.50548428154972,4.22898156442269,3.04882301502067,8.83444081440751,3.71130882709232,3.98246886721725,6.50636332477488,8.05524875721665,7.29318020175413,9.64521134086585,5.55373799155055,4.41909433265658,5.7453182175842,7.30682828140984
HBXIP,7.3709733054628,6.41558290716918,6.34753617134143,5.46953891179892,7.85804085891675,4.47688823832097,4.79159294060733,8.09093989809841,8.70502619524329,2.57203018778494,8.66881805292218,7.97561177867428,5.88388528878542,8.02615543180778,6.45794061020889,9.27132538065352,7.17019076438688,4.72554168409105,6.81424667452552,7.54304810975455
MAP3K1,7.56530188387395,6.39194477634442,3.82401402824322,6.19364165489489,8.48962285146301,8.91382399255212,8.85296089852995,3.84489025448498,3.43602584998136,8.96623000718135,1.59396376934571,3.6031097200614,5.90372964037578,7.28144477473566,7.21021025667344,9.60820318851414,7.4226615537324,4.01736753756887,6.08464586789677,7.77831020294645
ODZ3,8.84766137378742,8.93834102562544,8.84481191836218,10.8706182749761,11.8140295521538,11.7959645139665,11.6196942138078,3.80931297189287,3.74616478764647,12.1599286235515,3.8607707955741,3.02549376220761,9.17728743541221,10.4058888040914,11.3812510176296,11.1431491895327,8.91547923772837,10.0965127100163,9.04885778601574,8.97080280927323
PCSK91,8.9591755829297,5.49571555260387,4.88457109970828,8.58022786365465,9.91380715923054,10.0034626199727,9.89749949361238,8.08825361597123,9.41951191539038,10.3770583676502,8.44743425089994,8.3558385386194,2.61541919925761,8.36917654061795,8.79284240036769,8.27145819193892,8.32167771870699,5.06123401162456,4.6071486377388,4.9320434456072
PPP1R12C-Exon2,7.93477148506739,8.72308629853074,6.84044349191388,6.35716135814077,8.77771980122679,4.93565229125775,6.45549817833878,9.40974355588867,10.3618844732095,6.81241683464795,9.15938425988346,9.84277717846803,5.28032649717803,5.82520645244196,6.68138989784665,10.3357110779788,7.75155729281608,4.0998824622329,7.79814726757089,8.08559108561781
PTPLB,6.06381864229029,6.03209159553281,5.49147642849764,4.27947885135155,6.79563713001666,6.8626957703419,6.63678515039761,7.25259936177339,7.66388708847734,7.00898748325878,7.45806418279502,7.12115696669927,5.62888017850984,5.48598972085377,4.67840082159576,8.4821037583868,5.91500142252846,3.67746152172206,6.15012696480016,7.89432273155973
RP4-697K147,8.14356996547499,5.95521647762897,5.23115061536692,8.77080651759779,9.77953189781686,10.1235287383987,10.0722420385455,7.78774595503777,9.18822436704922,10.5616650641211,8.66100574707888,8.15837077095978,5.43077688122706,7.23992879711988,8.37354455368988,3.10741710557272,8.06000675129297,7.81651762224256,4.41150249297561,4.91214984608681
TMEM57,7.10814664197992,7.30195820208271,3.60690935176087,8.35715393296137,9.32820348064759,9.53313144253119,9.37215353182074,7.77530932319802,8.71089486483148,9.73879177248675,8.14912040086907,8.04576262966452,7.65419798648452,6.66769498922401,7.98866623398444,6.67128871892805,6.12548338601248,5.65113285621567,6.54903463142885,9.017590531585
TPH22,8.76627872848685,8.68153840242037,6.10943205061647,7.07272069465365,8.65491994732277,6.21291544677433,6.51266184989985,8.54274229250209,8.9658673132632,5.94732465165921,8.48007657632416,8.56297686897054,6.46135090704204,8.703129861519,7.47482002559531,10.6058428050325,8.64586176772982,2.49122760170746,8.34392142257444,10.1508848013758
XRCC6,8.71116124067996,6.31470930133198,8.86135723955875,10.6130983515622,11.3350453811657,8.8663876073587,9.16887000344971,8.47793292576964,8.7512582712648,9.7629992914928,8.3289073415174,8.41732249700489,5.45913637671189,10.0181638189063,10.8743645096931,8.09207110334584,8.62348531552993,9.57797334280593,5.02493892456093,4.29402834756453
ZNF498,7.77095368906472,4.97635787605237,5.51801329329196,9.46421567085044,10.2628894379365,8.48035178297747,8.58562795224182,6.61964142593793,7.30156340067613,9.05339664343263,6.54400725724639,6.42976655537781,3.98330080656426,8.48208738935242,9.75452387185059,4.63810151730184,7.57241016106467,7.74367067570344,4.17346533762137,3.15093560669107
