A2LD1,ATP5G1,BRP44,C16orf93,CD34,MAP3K1,PCSK91,PPP1R12C-Exon2,TPH22,XRCC6
A2LD1,2.88552625385732,7.64214655981355,6.45588618204813,8.31027749031884,8.20979188781435,9.59589960806261,7.15827913649607,7.29626899204424,5.44123278127518,8.08587484326754
ATP5G1,6.90243613236619,1.55709505691123,6.34121753900634,7.94114706874593,4.5286968517198,4.24056200051298,5.56894480566906,5.42769414114921,3.6087935011755,4.30155567826765
BRP44,6.03697554824949,6.33169654009962,5.91896224868964,7.50004502618852,7.95589626999943,7.35150129190622,5.79999912231239,7.20096562689454,5.00810831315539,6.96683574244081
C16orf93,7.33865455873654,4.86790882479277,5.92669947497413,7.10155519077941,6.43140439146736,7.01925599863249,4.03991400150779,7.08464421241579,4.97464449079995,4.58310475590765
CD34,8.47262431734303,6.99995141484027,9.09217836655004,10.8160748495343,1.54448382652139,3.45915607863204,8.56650521349911,9.2852930860219,9.10670768857119,8.57989273206752
MAP3K1,6.55613672588589,4.99540869507143,6.23740573359021,8.04512548046681,3.28458878520085,1.71667028613922,4.68679892863475,7.26176535052707,4.9026137623749,5.42942540882092
PCSK91,7.33411926552467,6.51605968457122,8.42879932833678,9.85832291147837,6.2683101237246,6.01808613352072,1.78847068519865,8.61107208516788,6.11200160853401,4.18957700738907
PPP1R12C-Exon2,7.12940034403428,6.81957025293043,5.82316474691711,7.58583791502553,8.39416070347579,8.28464663187498,6.04016697514136,6.156387737567,3.89715568540152,7.80726251647362
TPH22,5.96206844140132,3.12202804278257,5.54534091388313,6.90858927982836,5.14002516191237,4.92513145864544,4.97906890702265,5.77078077607912,1.52698822641067,5.28274511937469
XRCC6,5.82278684294707,5.35201169141197,6.61765723493444,7.29455193757527,5.83166841916882,5.7146393576493,3.39591630844392,6.38825832286388,5.95762747778438,2.56616879568828
