A2LD1,AR,ATP5G1,BRP44,C16orf93,C17orf96,C1orf204,CD34,FAM159B,HBXIP,MAP3K1,ODZ3,PCSK91,PPP1R12C-Exon2,PTPLB,RP4-697K147,TMEM57,TPH22,XRCC6,ZNF498
A2LD1,2.80871010003153,6.77872229468306,6.64447968737355,6.9462546234277,8.11437748716622,7.82479843756639,7.97186854857966,8.01663141626454,9.18749925027192,8.42932118879708,8.75245539260662,8.89840201786301,4.78047968965076,7.18137823457552,7.33885997755014,8.16372471161821,5.4447967423435,4.13385658222583,6.27797979494191,6.05407293282961
AR,6.64195962105667,3.55549674669302,3.34572595027303,7.27677516237394,8.71471724076666,8.66998913305268,8.49656689136654,4.96033541916156,5.24789452115382,8.84787692108944,4.51371295195153,4.8711798602828,3.82694557229648,6.92159644391883,7.91186004952498,7.36412653360726,4.16054251217379,4.39321981242801,3.06689308595782,2.52892036223276
ATP5G1,8.70447529623146,6.48577727154522,2.1994422516577,8.47675936594799,9.69039835118739,9.61427515640531,9.29648803965725,7.95485707858639,8.39138950173752,9.72512211193197,7.59866793031161,7.53347081297886,5.72827278474194,7.68161964674872,8.12760004891149,9.19620469646184,8.12009827199207,4.37894468773374,4.69693027370167,6.83914507488748
BRP44,4.36165163996881,6.93811913747423,5.85989318512109,5.32791391189397,7.63425781607582,6.40218028788599,6.5748694129572,8.42405752024903,8.29541827324292,6.62294222987435,7.83013999862739,8.19839917212612,6.45747881828518,7.05684030696835,6.62671494049697,9.58139677387262,5.71661276898256,4.56979718493209,7.36559043024686,8.46835288279749
C16orf93,8.05475287281074,4.58258800047631,3.97359740287343,5.81004557466769,7.97692976421148,8.64512621638197,8.6955598864045,6.71061735753646,7.73643431389469,8.53574693884184,7.39100881615201,7.2164540567282,4.6601654873372,7.70225724398479,6.33223932504074,7.89760119257465,7.79782705274551,5.25930059020912,4.60298492922474,5.49341961071235
C17orf96,6.62881590269746,7.97660164418157,6.12474451898166,7.73978145592594,8.67966022655289,4.28262798433447,5.80912357967173,7.87560185847142,9.28125570089784,6.63709656784706,8.81883240766784,8.26322394359717,7.03463490195256,5.7817593262065,7.386637814236,9.36359004191946,6.40846345087599,6.03651030530715,7.3195664864216,8.76758284411675
C1orf204,5.33642693963578,7.89975441738133,6.42817148611245,7.11570956965063,8.38428472693591,5.4027767725556,4.35171186946889,7.42638376528826,7.83016775982028,6.39954205496768,7.31815857202825,7.48753282804947,7.02064222042492,7.07304597162317,7.78442953529128,9.85954369322173,5.10817145997511,5.08870127388427,7.25214016527127,7.9042385217447
CD34,8.57160978023162,7.32872072879631,7.22980952499742,9.44121608563749,11.1395018012748,10.8044306820741,11.0461870422104,1.64420837862156,2.96802863362699,11.3443754014331,3.54037015357149,2.46790345451393,7.25411658392919,9.59440090639445,10.4563243595987,10.2248697903589,8.34519878176274,9.31794297368842,7.47500263541466,7.10183407094387
FAM159B,6.80328714593127,5.45093750792041,4.88735208895968,6.93537873785966,7.76056100963454,8.12990547084179,7.79833347600261,3.55767321467684,2.00868863175213,8.18338689039754,3.38288863202207,3.58833824212608,4.81139628617878,7.12588971587333,6.72616425933729,7.88576995883867,5.05285482662378,4.80903601871812,4.10675892030461,4.57580868043116
HBXIP,6.6414092776332,6.55695658521092,5.59514873498502,5.53189268278843,7.81087994621627,4.76608580082083,5.08161285215173,7.96070528992553,8.7263381432618,1.50176379865784,8.4413334797243,8.09425814458253,6.2795197654582,7.56083566136769,6.41804668114442,9.24323490049698,6.4605711746026,5.05114411636684,6.53342404902517,7.45090238158492
