A2LD1,AR,ATP5G1,BRP44,C16orf93,C17orf96,C1orf204,CD34,FAM159B,HBXIP,MAP3K1,ODZ3,PCSK91,PPP1R12C-Exon2,RP4-697K147,TMEM57,TPH22,XRCC6,ZNF498
A2LD1,4.11613530676228,7.59158543164112,7.92585295681064,6.44302489206934,8.24374455696807,7.903079904941,8.14312385192023,8.2200739942992,9.39856783058995,8.30026448813337,9.32222559798643,8.68298274337041,6.97154450441485,7.86751097349872,9.49091352602934,6.34875009982759,5.29677097937815,8.23248290249873,9.14970187778155
AR,7.29022427313939,3.86587933637343,3.5608222453245,7.60952987377192,9.02407447941404,8.99990559738474,8.74929734207316,5.07805892304546,5.28434033675679,9.2300603177289,4.67608873367852,4.89111045037168,4.08457802829495,7.30423057545808,7.68795152604047,4.64256077708719,5.00255849761984,3.53445988366073,2.76271679243009
ATP5G1,8.68350583485555,6.82626617587819,2.30014721417545,8.51705615019876,9.77187418308139,9.19656101518043,8.84243437431986,7.99018948021246,8.59221985743261,9.40223976366518,7.83850164052515,7.53200049785578,6.29131535956978,7.8240781477119,9.39290986554637,8.22137804848838,4.58941579335483,5.17845296059132,7.55116971379795
BRP44,4.16428662940355,5.83299441753731,6.04244947398888,5.47526065846332,7.7307563625387,6.01580251225986,6.32400393269404,8.48165880975564,8.11987750667769,6.41478939863635,7.90129105980728,8.09080058390162,4.89312727063774,7.07912188884204,8.79709504781576,5.5692578796911,4.57052210394557,6.01441449342103,6.05795490280392
C16orf93,8.1065787585135,5.17077408928181,4.69577551456801,6.53273165043335,8.51266468711732,8.83494001448928,8.84219202300796,4.71091828735753,5.34446217887018,8.87278751569522,5.12689994241091,4.92860507028878,5.16211229363054,7.71809007807288,8.26979725765932,7.84996241419169,5.36848255666466,4.77078735157412,5.94516399703074
C17orf96,5.91525534749733,7.8427281760572,7.08704828876801,6.9493532192487,7.93563022547422,3.26632077780953,4.6208111112913,8.57994054038162,8.97607639856958,5.49214760136045,8.32990745568645,8.10041731840114,7.28727690801329,5.52991879839163,9.02097286747092,6.24255068672756,5.11329615990793,7.72636707516025,8.45503614386248
C1orf204,5.78326559069845,8.65436836803599,7.99201644188549,7.07903877033986,8.27464848749235,5.50043354629521,4.51947482666426,9.2697438498159,9.50839007067053,6.27512801931697,9.10223382708473,9.35353227197713,7.72601406444758,7.48702251609625,10.0058317166386,5.77121082590693,5.41235309844281,8.45162046471204,9.13508401227807
CD34,9.11608567153686,7.80945617412907,7.39083815329169,10.0753950647919,11.6622044123522,11.2440517454751,11.5825080131056,1.86742222426356,3.42421493311738,11.8511021406434,3.8812569194327,2.7529317490893,7.84522500769943,10.0442859117393,10.8083837603485,8.77167501197841,10.0263056908174,8.14543803856662,7.90917893092269
FAM159B,5.96009067496428,6.3249900291906,6.02067736474292,5.9618012280817,6.95458440598166,7.14394210883189,6.87906650332106,4.40071210020512,3.03591140591102,7.30034048405153,4.26041582378146,4.20029180801732,5.25933023134726,7.00126141483864,8.09425822096015,5.86466494662562,4.46467101529026,5.19064491497246,7.14176133705688
HBXIP,6.89710198525106,7.91734705166232,6.0341113117431,6.06470849407414,7.80510069526509,4.57672632907367,4.85352154924081,8.04700198397042,8.87008571535994,1.5762726918993,8.31795010293376,8.47068475728899,7.24954590216679,7.56764382007798,9.45048785268653,6.82346615823661,5.26430418568884,7.19309694963207,8.75931262148586
MAP3K1,8.31377098444113,6.44939082508879,4.65783220917984,7.16439098060071,9.43067805218062,10.130480970895,9.92250767770629,3.64041429023671,3.50946412203666,9.73935703651441,1.19996297713097,3.54704393067865,4.55628109957781,8.53275800108398,9.7928474068284,6.49156898647548,5.39563552949522,5.40494018143301,4.71448243252733
ODZ3,7.69021850568704,8.55571201135452,7.92723210486425,9.88943784876318,10.4479918129428,10.6862652641262,10.3005763224654,3.29703464315773,3.37991234272165,10.8989866792326,3.51170681308958,2.72759520977005,8.64214435094589,9.35896130581999,10.0108240712182,7.80767345844927,9.1030551416704,8.35006928128543,8.36012600342988
PCSK91,9.41990393682087,5.81963487728869,8.17955106195376,9.47000922548012,11.064285101609,10.8221059772469,10.7875616804489,8.85827903230463,9.52012528003885,11.2431411401996,8.80643218822691,9.25356166360541,2.73877954152684,10.0978920558743,8.64864837754371,9.15544017954131,7.77237065098615,5.38730219956007,4.56870285389365
PPP1R12C-Exon2,7.29752534723199,8.05773486404737,6.83309161335145,6.11066281248317,8.78866656536064,4.50687282256349,6.21350131469863,8.92698357153316,9.95531775797145,6.79911241171821,8.67551615151975,9.54316708552828,5.01566801912744,4.35770258981154,9.46887150860267,7.15239160771962,4.83066936540349,7.18936297053929,6.83950088401606
RP4-697K147,8.72819565142562,6.42411513246618,6.97165006729296,10.2186820370972,10.9497771305334,10.9700219185968,10.9291782728326,9.05149180258583,10.2206452093146,11.4344633059215,9.80339605225481,9.52256587229728,5.45019443121277,9.4767717568468,3.52150755362593,8.87398748436322,9.20428930405819,5.34828926985191,4.71656616103801
TMEM57,7.47132280541713,6.42303662820795,5.95396361483981,7.51714328437982,9.15150601773041,9.35907774672921,9.1110194444455,7.77272994199974,8.60289812675256,9.61995949618662,8.65567794753155,7.56382100682547,8.28365536814292,7.55506187214702,5.8003317216451,6.743047073118,7.21370740280679,7.61325216418518,9.26042500486632
TPH22,6.98176186268349,7.0604299701199,4.57611332191251,6.40797346923104,7.79125184584639,5.44273738011622,5.67404969778332,6.7097667101387,7.23191036811942,6.11165562078325,6.55453356758031,6.78830856621083,5.96665178527563,7.05238228863456,9.14138210581957,6.74810642666726,2.17676130631718,6.54047700432549,8.51577156527708
XRCC6,8.89635383301192,5.63683976337582,6.40008780809576,9.74457050984558,10.6905665193082,8.34396093080784,8.37466922466662,9.05112258769342,9.70705190409615,9.07221450692996,8.90269165927531,8.99653630324782,4.93895179235356,9.13217109873271,8.16689276895442,8.58254403814449,8.51335580277147,2.83042783709339,4.43673118183246
ZNF498,8.78377561776305,5.85548618840679,7.10135371137951,10.091544405619,10.942161629785,11.1843616948675,10.9909820691657,9.02813598047194,9.50466095300812,11.3079822292364,8.65428302996416,9.19852653996323,4.55159825563963,9.50900740507038,3.70039821507588,8.54962182317789,8.83835622465751,5.50809437448111,3.754595215188
