A2LD1,AR,ATP5G1,BRP44,C16orf93,C17orf96,C1orf204,CD34,FAM159B,HBXIP,MAP3K1,ODZ3,PCSK91,PPP1R12C-Exon2,PTPLB,RP4-697K147,TMEM57,TPH22,XRCC6,ZNF498
A2LD1,3.84633601854887,8.93727309803473,8.79288767291247,7.59865669384621,9.09770801078484,9.09373257045142,9.23529830380847,7.05539849946019,8.13146651451794,9.72585542184477,8.40667024812348,7.37137479880223,8.17786651504992,8.68745078034047,8.04116902903826,10.7807045260056,6.27447203832523,6.37054766874089,8.28493407359693,9.86430209125931
AR,8.15986127482131,5.08419677798578,5.46232423343654,8.92064581562601,10.2165424897673,10.0530206562964,9.82414034269319,8.52693198580995,9.09737078189216,10.2540978515713,8.39062338217256,8.6729118649412,5.15001575185293,8.5006642491974,9.53643232284055,8.24709220814585,5.09497084439604,7.39817424140609,4.66174768821831,2.65687016119186
ATP5G1,7.76079464701342,7.2981946157863,1.88770696932397,8.47014109105675,9.6872580550014,9.64769176345973,9.27351026382953,8.1092908392831,8.61969002864747,9.78280037934443,7.770643296838,7.73340488592225,7.09484588360649,7.49784302640515,8.07847658982232,10.0119364751977,7.23094464094347,4.12764403425902,5.82565459338893,8.91644618070239
BRP44,5.96861751772317,6.41309896603792,5.90602749687794,6.35185213332041,8.97661704744563,9.14775396049703,9.08262458333708,8.54043115066981,8.49851441410173,9.16371712649384,7.81771936530414,7.85056197848498,6.62048784959859,8.08677088043576,7.88143723372187,9.93958195296111,7.62895787872806,5.19596367945681,7.19969384958521,8.90827536766025
C16orf93,8.7876199271826,4.94550911379175,4.54590587238969,6.47315084967954,8.73406886181928,9.32296840273051,9.31413699323862,7.10777166400079,8.31195716920449,9.31432275340072,7.92813261650419,7.58203543451974,5.17992209618119,8.50096940606703,6.94941295473575,8.63394201337205,8.49634660043257,5.7508397965595,5.05916075171066,6.14378204424933
C17orf96,7.90303963717709,7.6031302468429,7.38087103226943,8.04409133915446,9.43344950035707,4.39490440933062,5.8079058891913,8.96324223430957,9.95589265991586,6.74348969497792,9.54017718371651,9.17028598163774,5.48128872299075,7.49593536229621,8.17816150555517,9.32703412940919,7.64843369031356,6.1974444435294,7.22280146794339,7.258518414693
C1orf204,7.1836601246368,8.07656047222184,6.67040725319429,8.53899331488829,10.2529561249135,6.41421033268688,4.67367562729624,5.64940067831329,5.98493685768293,7.42570930166011,5.58087940990363,5.39154530063866,6.37511274488524,8.73921258807218,9.36883731766395,10.6230835833345,6.9545007868952,5.90343884755848,6.86313363917983,7.86217923702773
CD34,9.20551084312783,8.47807224876099,7.65385813319421,9.94607545155491,11.5416932200086,11.1851505834831,11.3506225577092,2.32538893174676,3.24014613560725,11.7444117218588,3.75743994195484,2.59044462756502,9.49040172252036,10.0135799594283,10.9693944418755,11.3667120767902,8.98316182430605,10.0379358320168,9.11764706462901,9.98658344146113
FAM159B,7.9174467825258,7.26699885980188,7.06150025195607,8.2069306112822,9.19632499924701,9.30951843702077,8.96449668303741,4.78005466735133,2.58718819363191,9.47823870555722,4.43944296563636,4.51103203270981,6.90557763255491,8.45037302266082,8.48566455909917,9.15876771639912,7.66082005794527,6.94924162097609,6.8740672442962,7.54511765437653
HBXIP,7.42777759772208,7.07257422005117,7.10295131511624,6.1944633037293,8.82769688649829,5.26002622109532,5.71271191222893,5.82982045746972,6.35577474663238,1.7215874697441,6.46688693811413,5.77738542766074,6.77662582484875,8.83688833435946,7.3588927418733,10.110640562475,7.38406908746986,5.89081222521399,7.37771045596289,7.94313277356591
MAP3K1,8.12537787231039,7.01905314907922,4.7463792632533,7.6982168655658,9.48933397520512,9.54568484484961,9.35847831570031,3.64061935438201,3.45330646524927,9.66229869652436,1.14444549180305,3.4754419146012,5.97585598266717,8.2584554832078,8.45080049411257,10.1193021355752,6.59670906077849,5.3319777665761,6.54628115056838,7.01470422714448
ODZ3,8.41196058827076,8.01109595157813,8.29169841344135,9.61805629223683,11.1376175024548,11.108479207856,10.8647289977787,3.30301281349643,3.08301098885385,11.3114493874703,3.83723543606077,2.66056054845956,9.1600049602847,9.99412406021547,10.7267385859579,10.7592036303515,8.44651542774858,10.1448962872923,8.64478036069444,8.81906120156233
PCSK91,9.97523305536196,6.39380669850517,7.63511975934587,9.25977740476034,11.0183203068914,10.7892931377551,10.88935280116,9.58524582282582,10.6274758114274,11.239389133642,9.54872690037465,10.0949149277437,2.83394311817726,10.0328517672784,9.90354176491246,9.1719474019314,9.49184761538204,6.91117489954184,5.85517830942827,5.23112893430041
PPP1R12C-Exon2,8.17715440709462,9.09456806040106,7.03864161534442,7.22098657208967,9.76739654110061,5.19506851494146,7.56457403278154,9.59124801823296,11.0061652738852,7.94313888381911,10.2017348938493,10.4221654802593,6.02406009757566,4.71471800279682,7.35743872834469,10.5781069482977,7.79594879497788,5.68154535611871,7.91260777418124,7.95277172994933
PTPLB,6.4937225662705,6.53237475939993,5.13072062074482,5.25952925141137,7.6345777551799,7.62682138666167,7.59483040563131,6.87810233644797,7.83022446362006,7.99263719960127,7.53638652302302,7.2074468599555,5.92496265909663,6.07838795402721,5.19766250745893,8.61541542271427,6.43308859545497,5.28343482103141,6.55035263262119,8.08668224989226
RP4-697K147,6.69290111376204,6.89141668715973,6.65719605460255,9.32514921139598,10.0966879166042,9.94082799632695,9.89741701200467,8.40545472585421,9.8609132777245,10.6031165100206,9.33904841793622,8.68873778221659,6.07262696003917,8.58146355420749,8.99879422190924,2.82231186864264,7.05565440820626,8.41299759906693,5.78221572377193,5.48160605007372
TMEM57,6.94707000047695,6.48856650202033,6.53348787164192,7.91848899462226,9.65838833601076,10.0061239865626,9.33399736285105,8.47957739140748,9.18816802043215,10.0849653890754,9.22397560425465,8.35731416975701,8.84133887220992,8.11424683548541,9.257237237078,6.06289859642545,6.17290024494865,7.19529775639383,8.06147100755796,9.92188580292655
TPH22,7.56034845742845,7.46754958203971,4.31537063015834,6.87655950535193,8.37849462674093,5.97660398932713,6.26933223308281,7.13716551753798,7.60044038042301,6.73717704616533,7.00770522466183,7.0728189253621,6.28660460602402,7.34405404614347,7.17986413007235,9.74769415645356,7.34522681307573,2.2726546616109,6.8894812748619,9.06858521570951
XRCC6,7.1306053239619,5.33396499642519,6.11482262827209,9.08073496637724,9.9724846284104,9.96488649996101,9.78975820781204,6.17303975781627,6.45874789432307,10.3320167410512,5.97599260511695,5.94903143172527,4.75830276871691,8.54493212181438,9.2764313883748,7.8725150169844,7.01184542003246,7.62404578083715,2.91612687698258,4.1006913849906
ZNF498,9.4939950457432,5.90567578841113,6.43552029644454,10.9703842100144,11.7276307920451,12.0347241200066,11.9540055042583,9.81308759416805,10.4944158475027,12.1153305538112,9.53039174181942,9.98980837409493,4.63578460845003,9.9450614504398,11.367544377602,4.04067207278172,9.1837215157195,8.86306056051819,5.07849056933524,3.78580027570749
