A2LD1,ATP5G1,BRP44,C16orf93,CD34,MAP3K1,PCSK91,PPP1R12C-Exon2,TPH22,XRCC6
A2LD1,2.27798913224764,7.23319499703723,6.99067928646427,8.30916798572741,6.33111632791905,7.03611465634475,7.10926531763731,7.25452681999677,4.83330635205519,7.89037428889213
ATP5G1,7.50543487397311,2.80056828078489,7.59396439833039,8.83728636839239,7.49406388448555,7.24219955254811,6.87077468271258,6.99512145424158,4.5372132286035,5.65616697934201
BRP44,6.8592840166091,6.98220335419833,7.42912140127984,8.72875967850381,8.6978748550709,7.8951162694603,6.84900037019972,8.11887047391823,6.20322383496743,7.78777186342718
C16orf93,8.18300924517622,6.0270642458132,6.37266651562595,7.85894995264685,7.06989127599578,7.95530558886086,5.14243399124416,8.01545166732786,5.743550705762,5.86052990648487
CD34,8.45655317085279,8.34901462959859,9.40155885114889,11.104515119996,2.03786437950904,3.83975540350237,8.85729066865589,9.60103277608217,9.62230979451742,9.26059415558802
MAP3K1,6.53606844850793,4.27665943590181,7.0460555326588,8.26208126961989,3.4405152175231,2.4332891145705,4.32370229372159,6.93612293282357,4.65416483260356,4.87463809240361
PCSK91,8.73378959906783,7.32813761027976,8.65105378674411,10.1531662426104,8.88464382385302,8.89019050408162,2.26468980530963,9.21424824260201,6.90856842626938,4.6648755788721
PPP1R12C-Exon2,6.33509153808045,6.28193523092323,5.86088904148217,7.85968160243618,7.76272468573584,8.22018344538035,6.89974155970114,4.18253209644526,4.75792358454204,7.5857446078034
TPH22,6.36941399208983,3.88378163292257,5.72293897360942,7.10606183565263,5.20412397002852,4.9536318477438,5.11786359756481,6.29941611379052,2.13666660811698,5.74910596254058
XRCC6,6.17025007891818,5.22899327160856,6.28459966196304,7.14552437701565,6.45361888758352,6.35800817931087,3.87074208045999,6.25528341754915,5.56346734272123,3.43109446599948
