A2LD1,AR,ATP5G1,BRP44,C16orf93,C17orf96,C1orf204,CD34,FAM159B,HBXIP,MAP3K1,ODZ3,PCSK91,PPP1R12C-Exon2,PTPLB,RP4-697K147,TMEM57,TPH22,XRCC6,ZNF498
A2LD1,3.46198810215533,8.30842694372127,7.05521300307068,6.77991658404231,8.72590365329841,8.55723553694637,8.62301704661204,7.21375287743137,8.41928088122425,9.13782792536951,8.27627886343876,7.55985022016143,7.29374559032221,7.16626059272579,7.12758742243691,10.21234832886,5.79630620220154,5.13498900741694,7.80292399544507,9.36973413807697
AR,6.97758442155956,4.00070010817632,3.80867396328805,7.41710923867356,8.78625797354987,8.7411890862088,8.55693879082628,5.05867270224102,5.28973115332485,8.9618783743524,4.72479335465861,4.90462408487472,4.06740952520011,7.14001073978726,8.024984709384,7.3336916993281,4.60209125720931,5.0319904528998,3.39864096938342,2.72010656231247
ATP5G1,8.97384480241734,6.93688159035807,2.60025617247522,9.43734909211543,10.5797396093262,10.3129009659948,10.0331868410015,6.38561710805951,6.46915300953403,10.4936406989223,5.92902308829237,5.86373545273988,7.42781473055159,8.00397820736391,9.29682147754159,9.78068189617498,8.44218767101466,5.92243406512356,5.35919135188502,7.75414488029719
BRP44,6.09511851069221,5.8066600791403,6.45130281516828,5.57076456085591,8.15627350410695,5.7963832866607,5.9798018752765,7.6409144933164,7.21356717082669,6.39548844021219,7.33196772932904,7.18766064798336,4.88396814569529,8.15503939432965,7.11120024968111,9.25985372335319,7.47688165798093,3.65396150034817,6.76215286755593,7.95093434544562
C16orf93,8.65784741529437,4.86698194881883,3.20893759410149,7.03912269843267,9.30120526410942,9.72898278240532,9.61363682844866,7.15442113231545,7.96793745475799,9.71051375334048,7.51691547625371,7.15200114594467,6.07169403134662,7.85963845735948,7.82271603966965,8.91202676321835,8.24915646079068,5.6980618856382,4.51378976786905,6.42930946108412
C17orf96,8.66182131260289,8.62313222306411,8.0883115198949,8.19721109744309,9.3657611230296,5.27357838312654,6.07783375672588,9.0696128260588,9.83426804934366,6.83525227259036,9.26094577454847,9.07588924304591,7.74666911184849,8.05004077418326,8.47400947747922,10.1911891938313,8.54801901589057,6.14714194978257,8.81110618431682,10.0671566257848
C1orf204,7.7642952922549,8.21862876922566,6.86726558387314,7.66163317534818,8.97366574774993,4.80976321825636,3.92038742220728,9.09018411269871,9.64179455712598,5.90693925863872,9.04385998822293,8.98981454660995,6.62110410522084,8.18125669507538,7.99842657304648,10.0459589142191,7.65822505099738,4.53719613341826,7.78672962318133,8.96293818963778
CD34,8.32562621918678,7.13698244702016,6.07116490584644,9.15655967789582,10.7155450700347,9.3508391857426,9.693596729649,1.48488976469165,2.87054918390444,10.1581376700099,3.34467588164404,2.15784033681932,7.25140911165144,8.85486176588723,10.049418393505,9.97250487618326,7.82263730611957,8.59185811831889,7.29942589344444,7.58801282056609
FAM159B,7.6310159269195,7.36646811591568,5.39741046001763,7.27782706226691,8.19686651436694,8.35615514988273,8.32214421285056,4.2454530098343,3.32402100206073,8.5155476491029,3.80543348355974,4.1395478156308,6.19411448579159,7.97494030201158,7.06880827824677,9.36181101680916,6.17358660139944,4.20841547411537,5.79323927768388,7.01974662245343
HBXIP,7.42574592748478,6.8389129774974,5.97470455302345,5.49970203584131,7.89524005299493,4.4670581817874,4.76564272376363,7.94722824521774,8.67822461247366,2.54113149677664,8.57246293061886,7.92583016456345,6.71440579643494,7.97009068227723,6.43114540094721,9.65439871912479,7.23538398391557,4.76399537449698,7.28135899209585,8.73783796697584
MAP3K1,7.60790764881956,6.09540806885345,3.51770641468845,6.41658393000653,8.52265471972813,9.07118336542911,8.9713967554674,3.40220959452209,3.23101702150843,8.92217935780402,1.28745878543751,3.26623314362371,4.85833281498173,7.42927230216425,7.16419338249389,9.22887067179727,5.90557447679102,4.0805861671438,5.1700176387959,5.22577791844368
