Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.999658703071661	17.0	14.0	24.0	27.0
2.0	0.999658703071661	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	1.0	8.0	10.0	27.0	26.0
6.0	1.0	12.0	20.0	22.0	27.0
7.0	1.0	14.0	20.0	20.0	22.0
8.0	0.999658703071661	24.0	5.0	20.0	20.0
9.0	0.999658703071661	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	1.0	11.0	22.0	25.0	29.0
12.0	0.999658703071661	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	1.0	11.0	24.0	24.0	26.0
15.0	1.0	12.0	19.0	21.0	24.0
16.0	0.999658703071661	19.0	12.0	24.0	24.0
17.0	0.999658703071661	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	1.0	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.999658703071661	20.0	13.0	27.0	26.0
22.0	0.999658703071661	24.0	17.0	29.0	26.0
23.0	0.999658703071661	23.0	23.0	29.0	24.0
24.0	0.999658703071661	24.0	10.0	28.0	24.0
25.0	0.999658703071661	22.0	15.0	28.0	28.0
26.0	0.999658703071661	22.0	22.0	28.0	25.0
27.0	0.999658703071661	24.0	6.0	26.0	20.0
28.0	0.999658703071661	24.0	8.0	26.0	25.0
29.0	0.999658703071661	21.0	24.0	28.0	25.0
30.0	0.999658703071661	20.0	13.0	29.0	25.0
31.0	0.999658703071661	20.0	12.0	27.0	28.0
32.0	0.999658703071661	21.0	24.0	28.0	20.0
33.0	0.999658703071661	20.0	18.0	28.0	26.0
34.0	0.999658703071661	24.0	24.0	26.0	28.0
35.0	0.999658703071661	21.0	24.0	27.0	24.0
36.0	0.999658703071661	20.0	10.0	26.0	23.0
37.0	0.999658703071661	24.0	16.0	29.0	20.0
38.0	0.999658703071661	24.0	5.0	24.0	23.0
39.0	0.999658703071661	19.0	15.0	26.0	29.0
40.0	0.999658703071661	22.0	10.0	29.0	20.0
41.0	0.999658703071661	24.0	24.0	26.0	20.0
42.0	0.999658703071661	19.0	13.0	26.0	26.0
43.0	0.999658703071661	21.0	11.0	27.0	24.0
44.0	0.999658703071661	24.0	21.0	29.0	29.0
45.0	0.999658703071661	19.0	19.0	29.0	20.0
46.0	0.999658703071661	18.0	24.0	29.0	22.0
47.0	1.0	24.0	5.0	29.0	29.0
48.0	0.999658703071661	24.0	9.0	25.0	23.0
49.0	0.999658703071661	21.0	5.0	29.0	20.0
50.0	0.999658703071661	22.0	7.0	27.0	22.0
51.0	0.999658703071661	17.0	13.0	26.0	27.0
52.0	0.999658703071661	24.0	5.0	29.0	20.0
53.0	0.999658703071661	24.0	19.0	25.0	29.0
54.0	0.999658703071661	24.0	20.0	29.0	20.0
55.0	0.999658703071661	19.0	24.0	26.0	22.0
56.0	0.999658703071661	20.0	11.0	25.0	26.0
57.0	0.999658703071661	24.0	24.0	21.0	29.0
58.0	0.999658703071661	24.0	5.0	23.0	20.0
59.0	0.999658703071661	22.0	24.0	24.0	27.0
60.0	0.999658703071661	21.0	15.0	29.0	22.0
61.0	0.999658703071661	19.0	21.0	29.0	23.0
62.0	0.999658703071661	21.0	20.0	27.0	29.0
