Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5682018116822571	17.0	14.0	24.0	27.0
2.0	0.5838590304022974	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	0.4558725483687175	8.0	10.0	27.0	26.0
6.0	0.5790637224237375	12.0	20.0	22.0	27.0
7.0	0.5910510738016885	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.6072527308706654	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.5623642379868441	11.0	22.0	25.0	29.0
12.0	0.5899137054741578	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5808616818882745	11.0	24.0	24.0	26.0
15.0	0.5756864445446769	12.0	19.0	21.0	24.0
16.0	0.5664053542292387	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.5768857193041825	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.5821035767178728	16.0	19.0	24.0	27.0
22.0	0.5840839362186139	17.0	18.0	23.0	25.0
23.0	0.48153154283242794	8.0	13.0	29.0	28.0
24.0	0.45307111891990276	7.0	12.0	29.0	27.0
25.0	0.47340614582777163	8.0	12.0	28.0	27.0
26.0	1.0	6.0	10.0	29.0	28.0
27.0	0.5114461399535123	10.0	15.0	28.0	27.0
28.0	0.5167447693824875	11.0	15.0	29.0	27.0
29.0	0.5016883216651354	10.0	14.0	28.0	26.0
30.0	0.49467484000607737	10.0	14.0	29.0	26.0
31.0	0.49603032530119157	9.0	14.0	28.0	26.0
32.0	0.48385193344266586	8.0	12.0	28.0	25.0
33.0	0.46325174199553115	7.0	13.0	29.0	26.0
34.0	0.584117435094434	14.0	24.0	24.0	28.0
35.0	0.5534853179761058	13.0	17.0	26.0	25.0
36.0	0.48296605401721476	8.0	13.0	28.0	26.0
37.0	0.47074894298657083	8.0	11.0	27.0	26.0
38.0	0.5554742559189602	14.0	20.0	29.0	28.0
39.0	0.5586470942334636	18.0	16.0	29.0	25.0
40.0	0.5774632839837075	22.0	16.0	25.0	26.0
41.0	0.5707592472420037	18.0	16.0	26.0	21.0
42.0	0.4604646590742082	8.0	12.0	29.0	26.0
43.0	0.5781360757640117	21.0	20.0	29.0	25.0
44.0	0.5647059597885722	15.0	20.0	29.0	23.0
45.0	0.48872351097658884	9.0	13.0	28.0	26.0
46.0	0.5873867604259664	24.0	18.0	29.0	20.0
47.0	0.5276387327948429	13.0	15.0	29.0	21.0
48.0	0.5649879367862458	13.0	16.0	24.0	20.0
49.0	0.600648681521159	23.0	19.0	20.0	29.0
50.0	0.5663064791065459	19.0	18.0	29.0	29.0
51.0	0.5962806225732474	22.0	18.0	21.0	20.0
52.0	0.5117901449570506	9.0	15.0	29.0	20.0
53.0	0.53502408309472	11.0	17.0	29.0	23.0
54.0	0.49732298423345545	9.0	14.0	29.0	24.0
55.0	0.48339615376356204	9.0	13.0	29.0	25.0
56.0	0.4946000913749362	9.0	13.0	28.0	25.0
57.0	0.5707696173623914	24.0	15.0	29.0	29.0
58.0	0.591676102617392	21.0	24.0	29.0	20.0
59.0	0.5896625030632373	24.0	21.0	29.0	29.0
60.0	0.5903828707872616	24.0	13.0	20.0	29.0
61.0	1.0	5.0	13.0	29.0	20.0
62.0	0.5434142418528372	11.0	17.0	28.0	20.0
63.0	0.5286798769778868	16.0	13.0	29.0	29.0
64.0	0.6058880417702356	19.0	24.0	20.0	20.0
65.0	0.5482827650346698	20.0	12.0	27.0	29.0
66.0	0.6103370388062804	24.0	24.0	20.0	29.0
67.0	0.5606518692067846	13.0	24.0	29.0	29.0
68.0	0.5347021390913205	14.0	16.0	27.0	29.0
69.0	0.5751501181539093	15.0	16.0	20.0	29.0
70.0	0.5987348487263493	18.0	24.0	20.0	29.0
71.0	0.5820430192027031	16.0	15.0	20.0	20.0
72.0	0.49467484000607737	10.0	14.0	29.0	26.0
73.0	0.5185745322038638	11.0	14.0	29.0	22.0
74.0	0.5976370279020098	24.0	15.0	20.0	24.0
75.0	0.5992880031564243	24.0	24.0	29.0	25.0
76.0	0.5698136569061014	18.0	19.0	29.0	20.0
77.0	0.5650673075308987	24.0	11.0	25.0	29.0
78.0	0.5745613231823549	24.0	14.0	29.0	24.0
79.0	0.5771475522177104	15.0	24.0	29.0	20.0
80.0	0.5800581870836519	24.0	14.0	25.0	20.0
81.0	0.6145751200080528	24.0	24.0	20.0	20.0
82.0	0.5414507547811743	18.0	13.0	29.0	20.0
83.0	0.5776939287481739	19.0	13.0	20.0	29.0
84.0	0.5269752999724002	15.0	13.0	29.0	25.0
85.0	1.0	10.0	15.0	20.0	20.0
86.0	0.5830253996087057	15.0	20.0	24.0	20.0
87.0	0.5447465076232997	16.0	13.0	26.0	20.0
88.0	0.5730175923838766	24.0	7.0	20.0	29.0
89.0	0.4621542934377735	7.0	13.0	29.0	27.0
90.0	0.5016411755987092	12.0	12.0	29.0	29.0
91.0	0.5756672665558985	20.0	13.0	22.0	20.0
92.0	0.5911336538524553	24.0	19.0	25.0	29.0
93.0	0.5988416496458692	15.0	24.0	20.0	25.0
94.0	0.5709239312046628	14.0	24.0	29.0	25.0
95.0	0.5286250830855027	13.0	13.0	26.0	29.0
96.0	0.6034079323257864	20.0	21.0	20.0	25.0
97.0	0.4991066720110208	16.0	9.0	29.0	29.0
98.0	0.5246348597264341	18.0	11.0	29.0	27.0
99.0	0.514128147823682	16.0	11.0	27.0	29.0
100.0	0.5175010407709892	19.0	9.0	29.0	29.0
101.0	0.5576722037100765	20.0	9.0	23.0	29.0
102.0	0.5533253392117362	24.0	10.0	29.0	29.0
103.0	0.5712725957040165	13.0	21.0	25.0	25.0
104.0	1.0	24.0	5.0	24.0	29.0
105.0	0.5749670795714827	22.0	10.0	20.0	29.0
106.0	0.5709549556372118	17.0	23.0	29.0	29.0
107.0	0.5631925576283273	22.0	14.0	29.0	20.0
108.0	0.5871406302673292	12.0	24.0	20.0	29.0
109.0	0.58421698849106	15.0	19.0	20.0	26.0
110.0	0.5985477418687544	24.0	24.0	25.0	29.0
111.0	0.5286433513415773	10.0	18.0	29.0	29.0
112.0	0.5923895808138833	18.0	18.0	20.0	20.0
113.0	0.5622933641402714	12.0	17.0	24.0	29.0
114.0	0.5779338928297947	21.0	13.0	23.0	29.0
115.0	0.4968853761925115	14.0	11.0	29.0	27.0
116.0	0.48729255737013305	10.0	13.0	29.0	26.0
117.0	0.48872351097658884	9.0	13.0	28.0	26.0
118.0	0.5935224884832094	24.0	18.0	25.0	23.0
119.0	0.6037161582754066	24.0	24.0	26.0	20.0
120.0	0.590714426354809	18.0	24.0	25.0	20.0
121.0	0.5857854889779275	19.0	24.0	29.0	25.0
122.0	0.4765273310752469	9.0	13.0	29.0	26.0
123.0	0.48872351097658884	9.0	13.0	28.0	26.0
124.0	0.4535831350879042	8.0	10.0	28.0	26.0
125.0	0.5834727956390906	24.0	13.0	24.0	25.0
126.0	0.5093793001127858	14.0	12.0	29.0	20.0
127.0	0.5918603865996603	19.0	18.0	20.0	29.0
128.0	0.5218463712723183	16.0	11.0	29.0	23.0
129.0	0.5540044590076391	20.0	13.0	29.0	24.0
130.0	0.6064546238937796	24.0	20.0	20.0	24.0
131.0	0.5583608361288368	17.0	11.0	23.0	29.0
132.0	0.5743275731135221	15.0	16.0	23.0	22.0
133.0	0.5948550217754007	24.0	14.0	20.0	20.0
134.0	0.519596771072791	11.0	14.0	28.0	20.0
135.0	0.5840093368880208	20.0	20.0	25.0	29.0
136.0	0.5094455037512468	11.0	15.0	29.0	29.0
137.0	0.5823779420456434	24.0	10.0	20.0	26.0
138.0	0.5228553150167788	17.0	10.0	29.0	20.0
139.0	0.5892182254640391	21.0	20.0	25.0	20.0
140.0	0.5552008213881007	13.0	20.0	29.0	20.0
141.0	0.5709642600002535	19.0	10.0	20.0	25.0
142.0	0.5557323228734331	19.0	7.0	20.0	29.0
143.0	0.5528147944268152	22.0	12.0	29.0	29.0
144.0	0.5665262432379864	17.0	10.0	20.0	20.0
145.0	0.5430772344425312	18.0	10.0	25.0	20.0
146.0	0.5769515158795552	24.0	15.0	25.0	29.0
147.0	0.5471850283156103	20.0	11.0	27.0	20.0
148.0	0.5442801292541293	10.0	22.0	29.0	29.0
149.0	0.598231673611872	14.0	24.0	20.0	20.0
150.0	0.5843005247131792	24.0	18.0	29.0	25.0
151.0	0.5485259889684831	11.0	20.0	29.0	26.0
152.0	0.5646603656427223	24.0	11.0	29.0	20.0
153.0	0.5474900990253634	12.0	19.0	27.0	29.0
154.0	0.506287079829191	15.0	11.0	29.0	29.0
155.0	0.5554990610417515	11.0	15.0	20.0	29.0
156.0	0.5196769851586437	16.0	11.0	27.0	26.0
157.0	0.56453481789118	14.0	12.0	20.0	29.0
158.0	0.5315749197322942	18.0	9.0	26.0	29.0
159.0	0.6138611295430906	24.0	24.0	20.0	25.0
160.0	1.0	17.0	5.0	29.0	29.0
161.0	0.5563514479294049	15.0	17.0	27.0	20.0
162.0	0.594579750675112	24.0	24.0	29.0	29.0
163.0	0.5751404470205385	14.0	15.0	20.0	26.0
164.0	0.5796034671803392	13.0	24.0	25.0	20.0
165.0	0.50951166853884	17.0	10.0	29.0	29.0
166.0	0.5414822258414973	21.0	10.0	27.0	26.0
167.0	0.5974607549724903	24.0	22.0	29.0	20.0
168.0	0.5949188809308495	14.0	24.0	23.0	23.0
169.0	0.4535831350879042	8.0	10.0	28.0	26.0
170.0	0.560518508852131	17.0	10.0	20.0	29.0
171.0	0.5604590179243939	24.0	11.0	29.0	26.0
172.0	0.4918451087445982	14.0	9.0	29.0	20.0
173.0	0.4967873824136164	12.0	11.0	29.0	20.0
174.0	0.49285396395586056	13.0	10.0	28.0	29.0
175.0	0.5662842392048142	11.0	24.0	29.0	20.0
176.0	0.4535831350879042	8.0	10.0	28.0	26.0
177.0	0.5744342872942048	11.0	19.0	20.0	29.0
178.0	0.5140223861919635	15.0	10.0	27.0	20.0
179.0	0.4535831350879042	8.0	10.0	28.0	26.0
180.0	1.0	5.0	13.0	20.0	29.0
181.0	0.5775089228670642	20.0	11.0	20.0	22.0
182.0	0.4535831350879042	8.0	10.0	28.0	26.0
183.0	0.5998562825465406	20.0	24.0	23.0	27.0
184.0	0.45307111891990276	7.0	12.0	29.0	27.0
185.0	0.4535831350879042	8.0	10.0	28.0	26.0
186.0	0.534396118277601	9.0	19.0	29.0	20.0
187.0	0.4535831350879042	8.0	10.0	28.0	26.0
188.0	0.4535831350879042	8.0	10.0	28.0	26.0
