Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5102532601963765	17.0	14.0	24.0	27.0
2.0	0.6145000293835204	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.4808732126603834	8.0	24.0	22.0	23.0
5.0	0.3179621530091272	8.0	10.0	27.0	26.0
6.0	0.4715243503529777	12.0	20.0	22.0	27.0
7.0	0.48627972021205845	14.0	20.0	20.0	22.0
8.0	0.5043691599108571	24.0	5.0	20.0	20.0
9.0	0.6273883524074593	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.5101643108470676	11.0	22.0	25.0	29.0
12.0	0.5184906635877758	17.0	24.0	26.0	24.0
13.0	0.42567442586075055	6.0	24.0	28.0	24.0
14.0	0.4879760671119277	11.0	24.0	24.0	26.0
15.0	0.47535316745559786	12.0	19.0	21.0	24.0
16.0	0.5173003646773996	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.5145581267181897	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.4083135565318649	8.0	11.0	28.0	26.0
22.0	0.3028837280726458	7.0	11.0	28.0	27.0
23.0	1.0	6.0	11.0	27.0	27.0
24.0	0.48800261940454426	9.0	24.0	22.0	23.0
25.0	0.4183671601282428	6.0	23.0	28.0	24.0
26.0	0.42567442586075055	6.0	23.0	28.0	25.0
27.0	0.41086801258442196	6.0	23.0	29.0	24.0
28.0	1.0	5.0	23.0	29.0	24.0
29.0	0.3028837280726458	7.0	11.0	28.0	27.0
30.0	0.4734499891198234	12.0	20.0	21.0	27.0
31.0	0.48271581834253807	12.0	19.0	21.0	25.0
32.0	0.4790643349764889	12.0	20.0	21.0	26.0
33.0	0.4695761610689694	12.0	19.0	22.0	26.0
34.0	0.47883848344182256	7.0	23.0	29.0	24.0
35.0	0.4809010888307723	12.0	20.0	22.0	25.0
36.0	0.4790643349764889	13.0	20.0	22.0	26.0
37.0	0.48271581834253807	13.0	19.0	22.0	25.0
38.0	0.3028837280726458	7.0	11.0	28.0	27.0
39.0	0.4809010888307723	12.0	19.0	22.0	25.0
40.0	0.48627972021205845	13.0	20.0	21.0	24.0
41.0	0.4183671601282428	6.0	24.0	29.0	24.0
42.0	0.3028837280726458	7.0	11.0	28.0	27.0
43.0	0.4257113015813534	6.0	24.0	29.0	23.0
44.0	0.42567442586075055	7.0	23.0	27.0	25.0
45.0	0.4351585615182218	7.0	24.0	28.0	23.0
46.0	0.4183671601282428	7.0	23.0	27.0	24.0
47.0	0.3028837280726458	7.0	11.0	28.0	27.0
48.0	0.3028837280726458	7.0	11.0	28.0	27.0
