Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.524961857265654	17.0	14.0	24.0	27.0
2.0	0.5822759054333714	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.54568347856503	8.0	24.0	22.0	23.0
5.0	1.0	8.0	10.0	27.0	26.0
6.0	0.5476326972362652	12.0	20.0	22.0	27.0
7.0	0.5523364542628366	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.599392374521175	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.531910376553058	11.0	22.0	25.0	29.0
12.0	0.5755390395927924	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	1.0	11.0	24.0	24.0	26.0
15.0	0.5387883954708098	12.0	19.0	21.0	24.0
16.0	0.5217060401275335	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.5439010382731351	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.5717619032038408	19.0	19.0	21.0	26.0
22.0	0.5670745063957313	18.0	18.0	22.0	26.0
23.0	0.5724496767167465	18.0	18.0	22.0	25.0
24.0	0.5246036823190494	13.0	20.0	25.0	29.0
25.0	0.5340719624038148	8.0	23.0	20.0	21.0
26.0	0.5395296597746713	20.0	14.0	24.0	25.0
27.0	0.5413852544378522	14.0	18.0	20.0	27.0
28.0	0.5240598951224607	17.0	14.0	24.0	24.0
29.0	1.0	6.0	24.0	21.0	22.0
30.0	0.5418548627157365	10.0	23.0	21.0	22.0
31.0	0.5605449903196494	16.0	20.0	20.0	20.0
32.0	0.5572794644917114	19.0	18.0	25.0	29.0
33.0	0.5627457324560754	17.0	18.0	23.0	25.0
34.0	0.5716016202789157	18.0	18.0	23.0	29.0
35.0	0.5561853591136752	15.0	20.0	20.0	20.0
36.0	0.5612314195265004	18.0	18.0	24.0	25.0
37.0	0.5683595704883134	16.0	19.0	20.0	24.0
38.0	0.529804366073234	18.0	17.0	25.0	26.0
39.0	0.529804366073234	18.0	17.0	25.0	26.0
