Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.569757134876094	17.0	14.0	24.0	27.0
2.0	0.608813019904487	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.472384227246566	8.0	24.0	22.0	23.0
5.0	1.0	8.0	10.0	27.0	26.0
6.0	0.5655496759201161	12.0	20.0	22.0	27.0
7.0	0.5820898531482005	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.6160804542099269	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.5593509882994007	11.0	22.0	25.0	29.0
12.0	0.5767550433834444	17.0	24.0	26.0	24.0
13.0	0.5111182151938274	6.0	24.0	28.0	24.0
14.0	0.5656253991331867	11.0	24.0	24.0	26.0
15.0	0.5579436889775498	12.0	19.0	21.0	24.0
16.0	0.5735701622940635	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.5868915708964435	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.5476131549997472	8.0	24.0	25.0	20.0
22.0	0.563002847961462	17.0	18.0	26.0	25.0
23.0	0.5376582026183653	10.0	24.0	29.0	23.0
24.0	0.593910280868976	20.0	19.0	20.0	29.0
25.0	0.5004116822919935	9.0	24.0	20.0	20.0
26.0	0.5081023982845433	10.0	24.0	21.0	22.0
27.0	1.0	5.0	24.0	20.0	20.0
28.0	0.5766346868195938	12.0	24.0	23.0	22.0
29.0	0.5690462667783525	12.0	24.0	25.0	22.0
30.0	0.5859927369965433	14.0	24.0	20.0	24.0
31.0	0.5376582026183653	10.0	24.0	29.0	23.0
32.0	0.4564258415281865	8.0	24.0	24.0	23.0
33.0	0.6107308986818927	24.0	16.0	26.0	28.0
34.0	0.5482360193644158	14.0	22.0	29.0	29.0
35.0	0.6108914364590661	22.0	18.0	29.0	20.0
36.0	0.554521896663555	9.0	21.0	25.0	23.0
37.0	0.6071247808596526	24.0	18.0	20.0	20.0
38.0	0.5797667483752664	16.0	21.0	24.0	29.0
39.0	0.6106329424302807	24.0	24.0	20.0	29.0
40.0	0.6044414803349514	19.0	24.0	20.0	20.0
41.0	0.5212134962692357	9.0	24.0	29.0	28.0
42.0	0.6080634861873846	19.0	24.0	29.0	20.0
43.0	0.593089142082005	24.0	13.0	20.0	29.0
44.0	0.5797847698396716	16.0	16.0	25.0	20.0
45.0	0.6097191553394276	21.0	16.0	24.0	23.0
46.0	0.5827595114328478	18.0	16.0	29.0	29.0
47.0	0.5537991095829766	14.0	19.0	29.0	20.0
48.0	0.5223056669502633	11.0	24.0	20.0	20.0
49.0	0.5299578081865419	12.0	19.0	29.0	26.0
50.0	0.592460581718164	16.0	24.0	20.0	29.0
51.0	0.6144641314777523	24.0	24.0	29.0	26.0
52.0	0.5860963355823463	17.0	15.0	29.0	23.0
53.0	0.5077722853727374	12.0	15.0	20.0	20.0
54.0	0.4984953945712272	10.0	19.0	20.0	20.0
55.0	0.5648590762385248	11.0	17.0	23.0	20.0
56.0	0.6122008181011308	24.0	24.0	20.0	20.0
57.0	0.48160481182954124	9.0	24.0	23.0	23.0
58.0	1.0	5.0	5.0	20.0	20.0
59.0	0.5398296333300885	8.0	24.0	26.0	24.0
60.0	1.0	5.0	24.0	29.0	21.0
61.0	0.4967815871776575	6.0	24.0	29.0	26.0
62.0	0.49055053456969416	9.0	23.0	22.0	20.0
63.0	0.5458369144118473	14.0	22.0	29.0	24.0
64.0	0.4663856513528559	8.0	24.0	23.0	22.0
65.0	0.5846313321818726	16.0	15.0	20.0	20.0
66.0	0.5732965756357434	15.0	16.0	20.0	29.0
67.0	0.6010861407243792	24.0	12.0	29.0	29.0
68.0	0.6012168343576585	21.0	12.0	24.0	29.0
69.0	0.618526513944148	24.0	24.0	29.0	20.0
70.0	0.5617437616834725	14.0	24.0	29.0	20.0
71.0	0.49255360147279026	8.0	22.0	29.0	26.0
72.0	0.5144083994942791	10.0	20.0	29.0	29.0
73.0	0.515491277746256	11.0	24.0	20.0	29.0
74.0	0.49103210185099666	12.0	15.0	20.0	24.0
75.0	0.4734694746901715	10.0	16.0	20.0	22.0
76.0	0.5023929059574899	12.0	16.0	20.0	22.0
77.0	0.46112999582553427	10.0	14.0	20.0	22.0
78.0	0.4641545588087039	9.0	15.0	20.0	20.0
79.0	0.4939039495326204	10.0	24.0	20.0	26.0
80.0	0.40971042193012697	8.0	14.0	20.0	22.0
81.0	1.0	6.0	14.0	20.0	22.0
82.0	0.44278871581651813	9.0	14.0	20.0	22.0
83.0	0.5351666121525737	11.0	22.0	29.0	26.0
84.0	0.4800368883310321	9.0	21.0	21.0	22.0
85.0	0.5646681157705988	12.0	14.0	22.0	22.0
86.0	0.4399311028967538	9.0	15.0	20.0	24.0
87.0	0.4167926735446897	9.0	13.0	20.0	24.0
88.0	0.4521023608558359	10.0	14.0	20.0	25.0
89.0	0.46812911648989713	10.0	12.0	20.0	20.0
90.0	0.4661832636029708	11.0	12.0	20.0	23.0
91.0	0.5593581628605007	13.0	11.0	20.0	20.0
92.0	0.44630370460515756	9.0	14.0	21.0	23.0
93.0	0.5475943280296182	13.0	18.0	27.0	29.0
94.0	0.47277427690879875	8.0	18.0	29.0	26.0
95.0	0.5030995681290332	9.0	18.0	29.0	23.0
96.0	0.47142970218674857	6.0	19.0	29.0	25.0
97.0	0.4655181103666325	6.0	20.0	29.0	28.0
98.0	1.0	5.0	17.0	29.0	27.0
99.0	0.48658358798976875	8.0	20.0	29.0	25.0
100.0	0.4718596500104667	6.0	21.0	29.0	26.0
101.0	0.48178884378925846	7.0	21.0	29.0	29.0
102.0	0.5200807376425317	9.0	18.0	27.0	26.0
103.0	0.47277427690879875	8.0	20.0	29.0	27.0
104.0	0.42471204177155475	10.0	14.0	20.0	29.0
105.0	0.44328807861329983	10.0	16.0	20.0	28.0
106.0	0.5358116336768284	11.0	15.0	22.0	29.0
107.0	0.4051677345236009	9.0	14.0	20.0	28.0
108.0	0.3830904973822502	8.0	15.0	20.0	29.0
109.0	0.31462622491790837	7.0	13.0	20.0	29.0
110.0	0.36352046000913185	8.0	12.0	20.0	29.0
111.0	1.0	6.0	12.0	20.0	29.0
112.0	0.36352046000913185	8.0	13.0	20.0	29.0
113.0	0.31691707944022207	7.0	14.0	20.0	29.0
114.0	0.31462622491790837	7.0	13.0	20.0	29.0
115.0	0.40188400238713684	8.0	12.0	20.0	22.0
116.0	0.4358696771163644	9.0	12.0	20.0	22.0
117.0	0.31462622491790837	7.0	13.0	20.0	29.0
118.0	0.45203730705888967	11.0	14.0	20.0	27.0
