Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5190389250801383	17.0	14.0	24.0	27.0
2.0	0.5687589458107114	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	0.3846870957268289	8.0	10.0	27.0	26.0
6.0	0.5392003062810363	12.0	20.0	22.0	27.0
7.0	0.5712388375793366	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5898871618617624	23.0	23.0	24.0	23.0
10.0	0.361327911802789	9.0	8.0	25.0	25.0
11.0	0.53741668334237	11.0	22.0	25.0	29.0
12.0	0.5710606942305645	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.546681020743568	11.0	24.0	24.0	26.0
15.0	0.5447375650295138	12.0	19.0	21.0	24.0
16.0	0.509931603230223	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.5232326540988886	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.40417827377741156	8.0	10.0	24.0	25.0
22.0	0.38085186125279874	8.0	9.0	25.0	26.0
23.0	0.4218854277652766	10.0	10.0	25.0	25.0
24.0	0.3686601012621382	7.0	9.0	25.0	24.0
25.0	0.3432261023882748	8.0	8.0	24.0	24.0
26.0	0.5574033682813399	15.0	24.0	23.0	29.0
27.0	0.558677449609693	16.0	17.0	26.0	23.0
28.0	1.0	7.0	9.0	21.0	20.0
29.0	1.0	5.0	12.0	29.0	26.0
30.0	0.5515241207882187	18.0	19.0	22.0	26.0
31.0	0.5359046054621497	15.0	20.0	27.0	28.0
32.0	0.5583165797686325	22.0	16.0	25.0	26.0
33.0	0.4729949876217566	11.0	12.0	27.0	28.0
34.0	0.5601653924184099	21.0	16.0	23.0	20.0
35.0	0.5833413955401374	24.0	23.0	20.0	29.0
36.0	0.5116591101069528	16.0	14.0	29.0	29.0
