Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.4575622658152957	17.0	14.0	24.0	27.0
2.0	0.5229954671324074	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	0.32382436230807443	8.0	10.0	27.0	26.0
6.0	0.48511402268253384	12.0	20.0	22.0	27.0
7.0	0.48818425171318297	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.526572654062607	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.48028128191673247	11.0	22.0	25.0	29.0
12.0	0.5163023392088399	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.48570710122136707	11.0	24.0	24.0	26.0
15.0	0.46867906076804805	12.0	19.0	21.0	24.0
16.0	0.43090999676543906	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.474937131661917	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.48623131873036357	16.0	18.0	24.0	26.0
22.0	0.5138666603114506	17.0	20.0	22.0	27.0
23.0	0.3932985719671152	9.0	13.0	29.0	28.0
24.0	1.0	7.0	12.0	29.0	27.0
25.0	0.49700445689561534	18.0	19.0	24.0	27.0
26.0	0.4879895510922409	17.0	18.0	24.0	27.0
27.0	0.5050315560541547	18.0	19.0	23.0	27.0
28.0	0.4879895510922409	17.0	18.0	24.0	27.0
29.0	0.36411008114138854	9.0	11.0	27.0	27.0
30.0	0.4006010218790391	10.0	13.0	28.0	28.0
31.0	0.35618800657329863	9.0	11.0	27.0	26.0
32.0	0.46459890173108664	18.0	15.0	24.0	24.0
33.0	0.49688357543226885	14.0	22.0	24.0	27.0
34.0	0.3856493211940889	10.0	14.0	29.0	29.0
35.0	0.4802120896410539	20.0	14.0	23.0	26.0
36.0	0.3225923858182827	8.0	11.0	26.0	26.0
37.0	0.4694832118135422	14.0	16.0	21.0	25.0
38.0	0.37359428717079235	10.0	12.0	29.0	29.0
39.0	0.4601943710839004	14.0	17.0	23.0	21.0
40.0	0.44133820330254836	12.0	16.0	25.0	24.0
41.0	0.42628805686995574	12.0	14.0	29.0	26.0
42.0	0.4286981422023092	15.0	14.0	27.0	24.0
43.0	0.45041842114801683	14.0	17.0	28.0	24.0
44.0	0.44268310165917857	17.0	15.0	29.0	27.0
45.0	0.43656890458090986	19.0	14.0	28.0	24.0
46.0	0.4324903294168033	17.0	15.0	27.0	20.0
47.0	0.46926343220572253	18.0	18.0	29.0	23.0
48.0	0.41689120936469487	13.0	15.0	27.0	20.0
49.0	0.3953869651368771	15.0	13.0	24.0	21.0
50.0	0.3828964988542475	15.0	12.0	27.0	20.0
51.0	0.39913372369663425	18.0	12.0	25.0	20.0
52.0	0.37619754700299424	17.0	12.0	29.0	22.0
53.0	0.4010897811887149	15.0	14.0	29.0	21.0
54.0	0.5002311121403071	22.0	17.0	29.0	29.0
55.0	0.42167589636745206	19.0	13.0	29.0	20.0
56.0	0.4521091862673652	22.0	15.0	25.0	20.0
57.0	0.5016382384104553	24.0	17.0	29.0	22.0
58.0	0.3737001451688517	11.0	14.0	23.0	20.0
59.0	0.4132521862869104	13.0	14.0	20.0	20.0
60.0	0.3335280268518004	9.0	15.0	20.0	20.0
61.0	0.376717139026794	10.0	15.0	21.0	22.0
62.0	1.0	7.0	14.0	22.0	20.0
63.0	0.38002475783117506	10.0	16.0	20.0	20.0
64.0	0.3417050738949624	10.0	14.0	20.0	20.0
65.0	0.39824977723322363	12.0	14.0	23.0	22.0
66.0	0.5069438165477043	21.0	17.0	20.0	20.0
67.0	0.43292814066038743	17.0	11.0	21.0	20.0
68.0	0.3854463847602775	13.0	12.0	23.0	20.0
69.0	0.4760627951113982	15.0	19.0	29.0	29.0
70.0	0.5320438579082936	24.0	18.0	20.0	29.0
71.0	0.5016973672036734	14.0	24.0	29.0	29.0
72.0	0.5376872292158208	24.0	24.0	29.0	20.0
73.0	0.39409687898225254	10.0	15.0	20.0	25.0
74.0	0.5382561677611248	19.0	24.0	20.0	20.0
75.0	0.42923254559174406	12.0	15.0	20.0	29.0
76.0	0.38595514857163693	11.0	14.0	20.0	23.0
77.0	0.4301160659618294	19.0	12.0	28.0	29.0
78.0	0.48082507355428733	24.0	12.0	26.0	29.0
79.0	0.329524110947612	8.0	13.0	20.0	29.0
80.0	0.36824230356087595	9.0	13.0	22.0	29.0
81.0	1.0	6.0	12.0	21.0	29.0
82.0	0.34565472089231497	9.0	14.0	20.0	29.0
83.0	0.331750049163837	9.0	12.0	20.0	29.0
84.0	0.3558668980505262	9.0	13.0	20.0	28.0
85.0	0.33873017734376143	9.0	13.0	20.0	29.0
86.0	0.40975544785002604	11.0	14.0	23.0	27.0
87.0	0.3865629103349407	17.0	11.0	26.0	22.0
88.0	0.4026473099027873	13.0	14.0	24.0	20.0
89.0	0.3913001890418367	16.0	11.0	29.0	26.0
90.0	0.4126860812414126	15.0	12.0	29.0	29.0
91.0	0.41633495856236025	10.0	16.0	23.0	29.0
92.0	0.46103772695739587	14.0	19.0	29.0	20.0
93.0	1.0	17.0	9.0	29.0	29.0
94.0	0.42709390476775366	15.0	13.0	29.0	26.0
95.0	0.44268310165917857	17.0	14.0	27.0	29.0
96.0	0.3686634546194178	15.0	11.0	29.0	23.0
97.0	0.3579102854374401	16.0	10.0	29.0	20.0
98.0	0.35984163192039775	13.0	12.0	29.0	20.0
99.0	0.46661328329637786	21.0	13.0	28.0	27.0
100.0	1.0	24.0	11.0	20.0	29.0
101.0	0.5553546869656321	24.0	24.0	20.0	29.0
102.0	0.5208631406281938	14.0	24.0	20.0	29.0
103.0	0.5008781171872255	16.0	24.0	29.0	20.0
104.0	0.3743248961123023	16.0	9.0	25.0	20.0
105.0	0.35110334265364757	14.0	10.0	28.0	20.0
106.0	0.48985365060783614	19.0	19.0	25.0	20.0
107.0	0.5364144732614688	24.0	23.0	29.0	27.0
108.0	0.39059781867496157	11.0	14.0	29.0	22.0
109.0	0.46142046387037905	24.0	13.0	29.0	20.0
110.0	0.4143752813182393	17.0	12.0	27.0	25.0
111.0	0.5405709464059536	24.0	21.0	20.0	20.0
112.0	0.3808462477679959	11.0	12.0	24.0	29.0
113.0	0.35402936904354504	12.0	12.0	27.0	22.0
114.0	0.35887673378597074	13.0	12.0	29.0	22.0
115.0	0.38391959392348274	14.0	9.0	20.0	20.0
116.0	0.416240673306804	12.0	13.0	26.0	27.0
117.0	0.3976602985941531	11.0	14.0	20.0	29.0
118.0	0.40899581681914804	13.0	13.0	20.0	20.0
119.0	0.5047473251038755	24.0	17.0	24.0	24.0
120.0	1.0	15.0	5.0	20.0	20.0
121.0	0.3976602985941531	14.0	11.0	20.0	22.0
122.0	0.4187405988852587	12.0	13.0	25.0	27.0
123.0	0.4132521862869104	13.0	14.0	20.0	20.0
124.0	0.5166605496616676	24.0	19.0	25.0	29.0
125.0	0.40975544785002604	15.0	10.0	22.0	20.0
126.0	0.32684410447427853	10.0	11.0	29.0	20.0
127.0	0.3390589054135697	11.0	12.0	28.0	20.0
128.0	0.34005132067783994	12.0	10.0	29.0	20.0
129.0	0.4800757754959776	24.0	13.0	29.0	29.0
130.0	0.4381994102845098	14.0	12.0	20.0	29.0
131.0	0.3410425725460812	11.0	11.0	29.0	21.0
132.0	0.37919847974229176	17.0	10.0	27.0	20.0
133.0	0.4910625264476556	24.0	14.0	20.0	20.0
134.0	0.4878602851838348	14.0	22.0	29.0	24.0
135.0	0.5410422618729069	19.0	24.0	20.0	26.0
136.0	0.5055407370858229	15.0	24.0	24.0	20.0
137.0	0.5009952223535358	20.0	20.0	29.0	20.0
138.0	1.0	15.0	7.0	29.0	20.0
139.0	0.3733858116834224	15.0	10.0	25.0	20.0
140.0	1.0	5.0	8.0	29.0	20.0
141.0	0.3993295114692996	10.0	17.0	29.0	20.0
142.0	0.5121756190543194	24.0	19.0	25.0	20.0
143.0	0.44083278696706757	24.0	12.0	25.0	20.0
144.0	0.4634706578161807	11.0	19.0	29.0	29.0
145.0	0.3705577179308268	16.0	11.0	29.0	20.0
146.0	0.44675000975654444	11.0	18.0	29.0	23.0
147.0	0.43152607406221966	13.0	14.0	23.0	29.0
148.0	0.47465503642978557	17.0	15.0	20.0	20.0
149.0	0.4558403129201951	21.0	14.0	26.0	29.0
150.0	0.47380352965409067	24.0	13.0	26.0	24.0
151.0	0.35012518338613074	11.0	11.0	29.0	20.0
152.0	0.34990801025769613	9.0	13.0	29.0	20.0
153.0	0.35110334265364757	12.0	11.0	27.0	20.0
154.0	0.5016973672036734	17.0	16.0	20.0	29.0
155.0	0.3449955215883005	10.0	12.0	28.0	21.0
156.0	0.5401370142806972	24.0	20.0	20.0	25.0
157.0	0.37003482900076823	8.0	16.0	20.0	29.0
158.0	0.43466883231688896	21.0	12.0	23.0	20.0
159.0	0.39019680471712975	17.0	10.0	24.0	20.0
160.0	0.43073409463256196	21.0	12.0	27.0	21.0
161.0	0.3401630695836851	12.0	10.0	20.0	20.0
162.0	0.5252234403340563	20.0	24.0	29.0	24.0
163.0	0.5266194928367373	15.0	24.0	20.0	24.0
164.0	0.3812564197385952	12.0	11.0	29.0	27.0
165.0	0.4500955134080683	19.0	14.0	29.0	29.0
166.0	1.0	11.0	11.0	20.0	29.0
167.0	0.4714416019628854	16.0	13.0	20.0	29.0
168.0	0.37505439449953926	10.0	13.0	24.0	29.0
169.0	0.4132521862869104	10.0	16.0	20.0	28.0
170.0	0.41670591061122125	14.0	14.0	29.0	29.0
171.0	0.35208010656848077	13.0	11.0	28.0	21.0
172.0	0.40040594447937555	13.0	12.0	26.0	29.0
173.0	0.3752621465780482	11.0	13.0	26.0	20.0
174.0	0.3734917151839232	13.0	10.0	20.0	20.0
175.0	0.3319720282559919	11.0	11.0	20.0	21.0
176.0	0.29481242472631397	10.0	10.0	20.0	20.0
177.0	0.26682883123343343	10.0	8.0	20.0	20.0
178.0	1.0	8.0	7.0	20.0	20.0
179.0	0.29605992567856926	11.0	8.0	20.0	20.0
180.0	1.0	5.0	17.0	29.0	20.0
181.0	0.29174872659118956	10.0	9.0	20.0	20.0
