Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.3629902501626052	17.0	14.0	24.0	27.0
2.0	0.47586252907842075	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	0.1819081069934831	8.0	10.0	27.0	26.0
6.0	0.3509877494310659	12.0	20.0	22.0	27.0
7.0	0.36135166745054914	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5051832346532853	23.0	23.0	24.0	23.0
10.0	0.2223434116470227	9.0	8.0	25.0	25.0
11.0	0.3731407034208106	11.0	22.0	25.0	29.0
12.0	0.44471797058071444	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.3870936809534845	11.0	24.0	24.0	26.0
15.0	0.3155892509154511	12.0	19.0	21.0	24.0
16.0	0.35690952429934963	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.359492312879116	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.2206933672973771	8.0	10.0	24.0	25.0
22.0	1.0	8.0	9.0	25.0	27.0
23.0	0.2206933672973771	8.0	10.0	24.0	25.0
24.0	0.3361138161586834	17.0	14.0	24.0	28.0
25.0	0.2249356565300163	9.0	9.0	25.0	25.0
26.0	0.1819081069934831	8.0	10.0	27.0	25.0
27.0	1.0	8.0	9.0	25.0	24.0
28.0	0.33344836247294085	18.0	13.0	24.0	28.0
29.0	0.2232787335138126	9.0	10.0	24.0	25.0
30.0	0.3361138161586834	18.0	14.0	23.0	28.0
31.0	0.32099575306973094	13.0	19.0	21.0	23.0
32.0	0.2249356565300163	10.0	9.0	25.0	25.0
33.0	0.35359457485165613	13.0	20.0	20.0	24.0
34.0	0.2206933672973771	8.0	11.0	24.0	25.0
35.0	0.18908247647132653	9.0	10.0	27.0	25.0
36.0	0.20542565230324722	9.0	11.0	26.0	26.0
37.0	0.19550403784199133	8.0	11.0	27.0	26.0
38.0	0.18908247647132653	9.0	10.0	27.0	26.0
39.0	0.17109367099791772	8.0	10.0	28.0	25.0
40.0	0.23015117822354947	10.0	8.0	24.0	25.0
41.0	0.21555618463188508	8.0	10.0	23.0	25.0
42.0	0.1819081069934831	8.0	10.0	27.0	25.0
43.0	0.1819081069934831	8.0	10.0	27.0	25.0
