Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.9999999999999889	17.0	14.0	24.0	27.0
2.0	0.9999999999999889	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.5734781176996772	8.0	24.0	22.0	23.0
5.0	1.0	8.0	10.0	27.0	26.0
6.0	0.5702504914096076	12.0	20.0	22.0	27.0
7.0	0.5493524978530575	14.0	20.0	20.0	22.0
8.0	0.9999999999999889	24.0	5.0	20.0	20.0
9.0	0.9999999999999889	23.0	23.0	24.0	23.0
10.0	0.31844158981397747	9.0	8.0	25.0	25.0
11.0	0.5563836144842035	11.0	22.0	25.0	29.0
12.0	0.9999999999999889	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5729147746751492	11.0	24.0	24.0	26.0
15.0	0.5345450995481391	12.0	19.0	21.0	24.0
16.0	0.9999999999999889	19.0	12.0	24.0	24.0
17.0	0.9999999999999889	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.48947154946626603	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.31844158981397747	9.0	8.0	25.0	25.0
22.0	0.31844158981397747	9.0	8.0	25.0	25.0
