Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.4912485325365684	17.0	14.0	24.0	27.0
2.0	0.5484049714054726	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.525032672054121	8.0	24.0	22.0	23.0
5.0	0.37266190810371974	8.0	10.0	27.0	26.0
6.0	0.515241134417541	12.0	20.0	22.0	27.0
7.0	0.5373177296786644	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5630960212933224	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.503776722589094	11.0	22.0	25.0	29.0
12.0	0.5583635495768006	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5370257996037685	11.0	24.0	24.0	26.0
15.0	0.5104704636350509	12.0	19.0	21.0	24.0
16.0	0.5069517096168412	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.5175089312979331	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.501627469166238	16.0	19.0	24.0	26.0
22.0	0.5053525641002842	17.0	18.0	23.0	26.0
23.0	0.394615333026749	7.0	12.0	28.0	27.0
24.0	0.4065127435446746	9.0	12.0	29.0	27.0
25.0	0.3802132465082604	6.0	11.0	29.0	27.0
26.0	0.3921718771448762	7.0	11.0	28.0	25.0
27.0	0.4594173790820865	15.0	17.0	29.0	29.0
28.0	0.38891614241127237	7.0	11.0	28.0	27.0
29.0	0.521592347107496	23.0	16.0	26.0	29.0
30.0	0.5235354028866076	18.0	16.0	29.0	23.0
31.0	0.3954001539286294	7.0	11.0	29.0	26.0
32.0	0.5529905813610256	16.0	24.0	20.0	29.0
33.0	0.44438946595428597	12.0	15.0	27.0	25.0
34.0	0.5395856105797139	10.0	24.0	20.0	20.0
35.0	0.4065127435446746	8.0	12.0	28.0	26.0
36.0	0.5371881080041955	24.0	17.0	20.0	29.0
37.0	1.0	5.0	9.0	29.0	29.0
38.0	0.4164502611432535	7.0	13.0	29.0	25.0
39.0	0.3990663341930417	12.0	15.0	27.0	29.0
40.0	0.395007951479606	7.0	12.0	28.0	26.0
41.0	0.44471802680622236	13.0	13.0	29.0	28.0
42.0	1.0	5.0	12.0	29.0	26.0
43.0	0.38482893113617767	8.0	10.0	28.0	26.0
44.0	0.3921718771448762	7.0	11.0	29.0	27.0
45.0	0.4336841319092658	11.0	14.0	28.0	27.0
46.0	0.40689210680227705	9.0	12.0	29.0	26.0
47.0	0.41230524780820255	9.0	12.0	28.0	26.0
48.0	0.4061329365380159	8.0	12.0	28.0	27.0
49.0	0.4297259186756081	9.0	14.0	29.0	25.0
50.0	0.45459471596471424	14.0	15.0	27.0	28.0
51.0	0.41988428660404953	12.0	16.0	29.0	29.0
52.0	0.4460925737336028	12.0	17.0	27.0	28.0
53.0	0.38191950374378436	9.0	14.0	28.0	29.0
54.0	0.3785821177920886	10.0	13.0	27.0	29.0
55.0	0.41534565081325325	9.0	14.0	26.0	28.0
56.0	0.4343720410695159	8.0	13.0	29.0	23.0
57.0	0.43960338900000356	12.0	13.0	25.0	28.0
58.0	0.43257942445932535	8.0	14.0	27.0	24.0
59.0	0.390983908237755	11.0	13.0	29.0	29.0
60.0	0.4729373859108557	12.0	16.0	24.0	26.0
61.0	0.41193236278442535	9.0	12.0	28.0	27.0
62.0	0.41230524780820255	9.0	12.0	28.0	26.0
63.0	0.48760070635900454	14.0	18.0	29.0	25.0
64.0	0.43188645365836315	11.0	15.0	24.0	29.0
65.0	0.4053719946163031	9.0	17.0	29.0	29.0
66.0	0.4965903835772276	11.0	20.0	29.0	29.0
67.0	0.49328315015464563	14.0	16.0	25.0	22.0
68.0	0.39058710689877163	10.0	15.0	29.0	29.0
69.0	0.4239217258935095	8.0	15.0	29.0	27.0
70.0	0.3962615299218925	10.0	16.0	27.0	29.0
71.0	0.46648390452970895	18.0	13.0	29.0	29.0
72.0	0.46671862692311317	14.0	15.0	21.0	29.0
73.0	0.4968302804802156	19.0	17.0	29.0	29.0
74.0	0.5084855377648342	12.0	16.0	29.0	20.0
75.0	0.5069075842875836	9.0	16.0	24.0	20.0
76.0	1.0	7.0	11.0	27.0	26.0
77.0	0.38482893113617767	10.0	14.0	28.0	29.0
78.0	0.3990663341930417	11.0	15.0	28.0	29.0
79.0	0.38482893113617767	9.0	10.0	27.0	26.0
80.0	0.4264857800675689	9.0	15.0	28.0	28.0
81.0	0.41379222351222966	7.0	12.0	29.0	25.0
82.0	0.42060959795863884	10.0	13.0	28.0	28.0
83.0	0.38482893113617767	10.0	14.0	26.0	29.0
84.0	0.42902500682056677	11.0	15.0	27.0	28.0
85.0	0.40376827997657116	8.0	11.0	28.0	25.0
86.0	0.38151385416345357	11.0	13.0	27.0	29.0
87.0	0.38442603451947016	9.0	15.0	27.0	29.0
88.0	0.40261803972802584	12.0	14.0	28.0	29.0
89.0	0.38191950374378436	8.0	15.0	29.0	29.0
90.0	0.39018990154386	8.0	16.0	28.0	29.0
91.0	0.3811078273174481	11.0	12.0	28.0	29.0
92.0	1.0	7.0	11.0	29.0	24.0
93.0	0.38191950374378436	10.0	14.0	27.0	29.0
94.0	0.3982116389241573	7.0	12.0	29.0	26.0
95.0	0.4107360767970493	7.0	12.0	28.0	25.0
96.0	0.3962615299218925	9.0	16.0	28.0	29.0
97.0	0.436492145320853	12.0	13.0	28.0	28.0
98.0	0.39343499203736026	10.0	15.0	26.0	29.0
99.0	0.363226408585932	7.0	14.0	28.0	29.0
100.0	0.363226408585932	8.0	14.0	27.0	29.0
101.0	0.37224805112009085	8.0	13.0	28.0	29.0
102.0	0.4179897048324859	8.0	14.0	28.0	28.0
103.0	0.38563356107761737	7.0	11.0	28.0	28.0
104.0	0.35891411254533384	9.0	11.0	28.0	29.0
105.0	1.0	7.0	15.0	27.0	29.0
106.0	0.3666694396441116	7.0	14.0	29.0	29.0
107.0	0.3692581184339446	9.0	13.0	26.0	29.0
108.0	0.4179897048324859	10.0	13.0	29.0	28.0
109.0	0.4179897048324859	10.0	13.0	29.0	28.0
