Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.4928083188815497	17.0	14.0	24.0	27.0
2.0	0.5794949287056443	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	0.3077681754754211	8.0	10.0	27.0	26.0
6.0	0.4978099034463259	12.0	20.0	22.0	27.0
7.0	0.5201208532625421	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5876010808776952	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.5089561058913803	11.0	22.0	25.0	29.0
12.0	0.546443653137025	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5233434232244613	11.0	24.0	24.0	26.0
15.0	0.4845832400349199	12.0	19.0	21.0	24.0
16.0	0.4882651278566325	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.5086819346485796	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.5133530215290723	16.0	18.0	24.0	26.0
22.0	0.49933753919148727	16.0	19.0	22.0	26.0
23.0	0.31353951158159643	8.0	12.0	29.0	27.0
24.0	1.0	7.0	11.0	28.0	27.0
25.0	0.5283418381006931	17.0	19.0	23.0	26.0
26.0	0.5221224674445806	17.0	18.0	23.0	26.0
27.0	0.5183464664987912	17.0	18.0	24.0	27.0
28.0	0.5183464664987912	17.0	18.0	24.0	27.0
