Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5551537482393168	17.0	14.0	24.0	27.0
2.0	0.6040276545226573	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.5359494760845666	8.0	24.0	22.0	23.0
5.0	1.0	8.0	10.0	27.0	26.0
6.0	0.569031125242414	12.0	20.0	22.0	27.0
7.0	0.5686837778101458	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5931893055106919	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.5779860796251057	11.0	22.0	25.0	29.0
12.0	0.5851637358886294	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5852380402603282	11.0	24.0	24.0	26.0
15.0	0.5480653694593676	12.0	19.0	21.0	24.0
16.0	0.520547064726726	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.5513094056151262	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.5380493588111355	9.0	24.0	20.0	21.0
22.0	0.5640100281973464	20.0	16.0	25.0	24.0
23.0	0.6000520249789896	15.0	24.0	20.0	29.0
24.0	0.5520800250829507	11.0	24.0	21.0	23.0
25.0	0.5832462971581894	15.0	21.0	25.0	29.0
26.0	0.5508581879599093	17.0	15.0	24.0	22.0
27.0	0.5786334079729538	24.0	16.0	21.0	29.0
28.0	0.5625379980868112	19.0	16.0	23.0	25.0
29.0	0.5910808091657239	24.0	24.0	29.0	20.0
30.0	0.5765001695624496	24.0	16.0	29.0	29.0
31.0	0.5593814631601448	22.0	12.0	24.0	29.0
32.0	0.5314293056979063	10.0	20.0	22.0	20.0
33.0	0.5186634150535955	9.0	21.0	20.0	20.0
34.0	0.5916075170479836	24.0	24.0	20.0	20.0
35.0	0.6095223328699149	24.0	24.0	20.0	29.0
36.0	0.5314293056979063	10.0	22.0	21.0	20.0
37.0	0.5281393080546194	9.0	22.0	21.0	22.0
38.0	1.0	5.0	24.0	20.0	20.0
39.0	0.56198281571087	12.0	22.0	21.0	20.0
40.0	0.5332341878446268	11.0	22.0	20.0	22.0
41.0	0.5132224111877248	11.0	18.0	20.0	20.0
42.0	0.5738826228761653	24.0	17.0	20.0	20.0
43.0	0.5713366714608138	24.0	17.0	29.0	20.0
44.0	0.5628138614460902	18.0	20.0	29.0	20.0
45.0	0.5527201022054079	19.0	15.0	29.0	29.0
46.0	0.5441827403891916	11.0	21.0	21.0	22.0
47.0	0.5798596110914457	20.0	21.0	29.0	25.0
48.0	0.5245559187155625	18.0	14.0	29.0	20.0
49.0	0.5475939717915391	19.0	14.0	29.0	24.0
50.0	0.5406162087294422	9.0	24.0	20.0	24.0
51.0	0.5500745351726256	20.0	14.0	26.0	20.0
52.0	0.5882825843117263	15.0	24.0	29.0	29.0
53.0	0.5001362121208142	14.0	16.0	29.0	20.0
54.0	0.515206080305731	16.0	16.0	29.0	20.0
55.0	0.5090635937868752	14.0	14.0	27.0	20.0
56.0	0.49111996753542053	14.0	14.0	29.0	20.0
57.0	0.5651848373189483	24.0	13.0	23.0	24.0
58.0	0.5168561128748543	14.0	15.0	29.0	23.0
59.0	0.4987928903040545	15.0	14.0	29.0	20.0
60.0	0.5643832996812713	16.0	17.0	20.0	29.0
61.0	0.48017542142095404	12.0	15.0	29.0	20.0
62.0	0.5550352102955421	24.0	10.0	20.0	29.0
63.0	0.6084926547394099	24.0	24.0	29.0	29.0
64.0	0.5554610178173003	20.0	12.0	20.0	29.0
65.0	0.5120222767289201	11.0	15.0	26.0	20.0
66.0	0.5404724991174552	14.0	18.0	29.0	29.0
67.0	0.49194890214990367	14.0	11.0	20.0	20.0
68.0	0.41002846660668735	11.0	12.0	20.0	20.0
69.0	0.37456718579695336	9.0	11.0	20.0	20.0
70.0	1.0	5.0	5.0	20.0	20.0
71.0	0.4011050308007703	8.0	13.0	20.0	20.0
72.0	0.38739048784607144	9.0	12.0	20.0	20.0
73.0	0.37456718579695336	9.0	11.0	20.0	20.0
74.0	0.37456718579695336	10.0	10.0	20.0	20.0
75.0	0.39383872322337865	10.0	11.0	21.0	20.0
76.0	0.39062793468217416	10.0	11.0	20.0	20.0
77.0	0.35794863127503207	9.0	10.0	20.0	20.0
78.0	1.0	5.0	12.0	29.0	20.0
79.0	0.34997507455282184	9.0	9.0	20.0	20.0
80.0	1.0	12.0	6.0	20.0	20.0
81.0	0.39702227475406043	9.0	12.0	20.0	23.0
82.0	0.4782193750539134	12.0	13.0	20.0	24.0
83.0	0.34997507455282184	9.0	9.0	20.0	21.0
84.0	0.55441559105387	13.0	24.0	29.0	20.0
85.0	0.48042440158391087	10.0	14.0	20.0	29.0
86.0	1.0	5.0	11.0	20.0	29.0
87.0	1.0	24.0	9.0	29.0	29.0
88.0	0.5825680391061984	19.0	24.0	20.0	20.0
89.0	0.6020648095182645	24.0	20.0	25.0	29.0
90.0	0.46628146517722396	9.0	15.0	20.0	24.0
91.0	0.5404724991174552	18.0	15.0	20.0	20.0
92.0	0.5014651672740287	14.0	12.0	29.0	29.0
93.0	0.5350026685373082	12.0	15.0	24.0	29.0
94.0	0.5222902490610283	13.0	12.0	20.0	29.0
95.0	1.0	24.0	5.0	20.0	29.0
96.0	0.508221007250588	11.0	17.0	20.0	29.0
97.0	0.4344559620013273	15.0	9.0	29.0	20.0
98.0	0.4503091863973533	15.0	10.0	29.0	23.0
99.0	0.5394302483543033	24.0	12.0	20.0	20.0
100.0	0.5298480329793268	24.0	11.0	29.0	20.0
101.0	0.4727766692948854	18.0	9.0	29.0	20.0
102.0	0.4795261661752309	13.0	11.0	24.0	20.0
103.0	0.5340453302611637	13.0	20.0	29.0	24.0
104.0	0.5970584895971043	20.0	24.0	20.0	25.0
105.0	1.0	16.0	8.0	29.0	29.0
106.0	0.5027798664104964	11.0	15.0	29.0	29.0
107.0	0.41484157625203555	12.0	10.0	29.0	20.0
108.0	0.5322571515560903	11.0	20.0	29.0	20.0
109.0	0.5074938071288886	13.0	13.0	29.0	27.0
110.0	0.5654498468672493	24.0	12.0	20.0	26.0
