Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.38582221430052477	17.0	14.0	24.0	27.0
2.0	0.501047364086004	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.39521172321957343	8.0	24.0	22.0	23.0
5.0	0.2044719370608099	8.0	10.0	27.0	26.0
6.0	0.4163938918365264	12.0	20.0	22.0	27.0
7.0	0.4437279325790186	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5083005245714098	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.41648319242432397	11.0	22.0	25.0	29.0
12.0	0.4657350975221207	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.44238426307865963	11.0	24.0	24.0	26.0
15.0	0.42792179616193493	12.0	19.0	21.0	24.0
16.0	0.37266603787227665	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.4390596986182119	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.41980624791937055	16.0	18.0	24.0	26.0
22.0	0.4346078295188219	16.0	18.0	23.0	26.0
23.0	1.0	7.0	11.0	28.0	27.0
24.0	0.3821521636347358	17.0	14.0	24.0	28.0
25.0	0.3950687531231072	17.0	15.0	24.0	27.0
26.0	0.3896292383597262	18.0	13.0	23.0	25.0
27.0	0.3726409083861963	19.0	13.0	25.0	25.0
28.0	0.39694358457676554	19.0	14.0	24.0	24.0
29.0	0.20835617692322844	9.0	10.0	27.0	25.0
30.0	0.2044719370608099	8.0	10.0	27.0	26.0
31.0	0.41812734862209255	11.0	22.0	22.0	24.0
32.0	0.2044719370608099	8.0	10.0	27.0	26.0
33.0	0.2044719370608099	8.0	10.0	27.0	26.0
