Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5979354805234983	17.0	14.0	24.0	27.0
2.0	0.6094897379556301	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.5634975332884617	8.0	24.0	22.0	23.0
5.0	0.5597810999768401	8.0	10.0	27.0	26.0
6.0	0.6083052231887472	12.0	20.0	22.0	27.0
7.0	0.6228973433837454	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.6327309676423492	23.0	23.0	24.0	23.0
10.0	0.5765709342753207	9.0	8.0	25.0	25.0
11.0	0.5921536642967551	11.0	22.0	25.0	29.0
12.0	0.5879459602662461	17.0	24.0	26.0	24.0
13.0	0.5744324492529095	6.0	24.0	28.0	24.0
14.0	0.6024064086016324	11.0	24.0	24.0	26.0
15.0	0.6116233258394697	12.0	19.0	21.0	24.0
16.0	0.5980564137282094	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	0.5411309492595615	10.0	6.0	28.0	24.0
19.0	0.6133801582429871	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.5807344379965486	11.0	14.0	29.0	20.0
22.0	0.5963216713314262	8.0	24.0	26.0	20.0
23.0	1.0	6.0	7.0	29.0	21.0
24.0	0.5577648809879785	12.0	9.0	28.0	25.0
25.0	0.575193488019691	13.0	18.0	28.0	25.0
26.0	1.0	10.0	6.0	29.0	27.0
27.0	0.5597810999768401	8.0	10.0	27.0	26.0
28.0	0.5411309492595615	10.0	6.0	28.0	24.0
29.0	0.6324868180404617	23.0	22.0	24.0	23.0
30.0	0.565630302538438	11.0	7.0	27.0	23.0
31.0	0.5563106291753137	10.0	10.0	27.0	24.0
32.0	0.56636593214292	12.0	12.0	28.0	25.0
33.0	0.5833370055007097	14.0	21.0	26.0	26.0
34.0	0.5884628302017499	9.0	12.0	25.0	26.0
35.0	0.5898528875667617	15.0	15.0	26.0	23.0
36.0	0.5886019077136337	10.0	22.0	28.0	23.0
37.0	0.6086984212621965	11.0	24.0	23.0	21.0
38.0	0.5892512312059951	13.0	18.0	29.0	20.0
39.0	0.5756560304751221	13.0	24.0	29.0	28.0
40.0	0.6022124767092022	15.0	24.0	24.0	29.0
41.0	0.5984654851708787	16.0	19.0	29.0	29.0
42.0	0.5716743772594324	6.0	24.0	20.0	20.0
43.0	0.6124945428193302	18.0	19.0	29.0	23.0
44.0	0.6053844926039773	9.0	18.0	25.0	20.0
45.0	0.5728279522542349	14.0	11.0	29.0	23.0
46.0	0.608804484700728	20.0	19.0	22.0	29.0
47.0	1.0	5.0	21.0	29.0	20.0
48.0	0.575945350039868	9.0	24.0	29.0	26.0
49.0	0.5889755740214832	14.0	24.0	29.0	22.0
50.0	0.6050870441685778	12.0	15.0	24.0	20.0
51.0	0.612044291713647	23.0	16.0	27.0	29.0
52.0	0.5716743772594324	8.0	20.0	20.0	20.0
53.0	0.6245158116821425	24.0	24.0	20.0	29.0
54.0	0.6168841741445775	24.0	15.0	20.0	29.0
55.0	0.628209594127258	20.0	24.0	29.0	20.0
56.0	0.6029854000896832	17.0	14.0	29.0	26.0
57.0	0.623378485131582	21.0	16.0	25.0	24.0
58.0	1.0	11.0	5.0	28.0	23.0
59.0	0.5563106291753137	10.0	10.0	27.0	24.0
60.0	0.5563106291753137	10.0	10.0	27.0	24.0
