Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5106966731022783	17.0	14.0	24.0	27.0
2.0	0.5309709546723126	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.5042849491868355	8.0	24.0	22.0	23.0
5.0	0.30039129889133687	8.0	10.0	27.0	26.0
6.0	0.5036348187198075	12.0	20.0	22.0	27.0
7.0	0.5176090896862386	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5758883978256533	23.0	23.0	24.0	23.0
10.0	0.30103522448554587	9.0	8.0	25.0	25.0
11.0	0.48290817107145456	11.0	22.0	25.0	29.0
12.0	0.5434480608748835	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5134554095875078	11.0	24.0	24.0	26.0
15.0	0.49293801976536683	12.0	19.0	21.0	24.0
16.0	0.5275861987554914	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	0.3186092019202796	10.0	6.0	28.0	24.0
19.0	0.5275861987554914	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.27883561441813864	8.0	9.0	27.0	22.0
22.0	1.0	5.0	6.0	27.0	24.0
23.0	0.34674512732441964	10.0	10.0	27.0	24.0
24.0	0.35237972081930247	10.0	8.0	26.0	23.0
25.0	0.29906736350983176	8.0	10.0	25.0	24.0
26.0	0.29974727225616077	8.0	11.0	27.0	20.0
27.0	0.33405557546122794	9.0	9.0	29.0	21.0
28.0	0.31537703924639615	10.0	8.0	29.0	27.0
29.0	0.2762250824003689	7.0	11.0	28.0	22.0
30.0	0.367754852510338	6.0	13.0	22.0	20.0
31.0	1.0	5.0	13.0	26.0	20.0
32.0	0.30757466043781073	8.0	11.0	28.0	22.0
33.0	0.403395746071142	8.0	12.0	21.0	20.0
34.0	0.31797040048539577	10.0	8.0	27.0	26.0
35.0	0.3404069541800505	9.0	11.0	25.0	27.0
36.0	1.0	5.0	13.0	20.0	22.0
37.0	0.3404069541800505	9.0	10.0	25.0	20.0
38.0	0.2814478629913976	7.0	10.0	28.0	21.0
39.0	0.403395746071142	9.0	14.0	23.0	20.0
40.0	0.341692514142858	12.0	6.0	29.0	25.0
41.0	0.34359973753199846	10.0	11.0	29.0	29.0
42.0	0.354872904803263	8.0	12.0	29.0	26.0
43.0	0.4321646497643638	13.0	15.0	29.0	29.0
44.0	1.0	11.0	5.0	29.0	29.0
45.0	0.3101787698518923	10.0	8.0	29.0	25.0
46.0	1.0	12.0	5.0	29.0	22.0
47.0	0.35922103771711267	11.0	10.0	29.0	27.0
48.0	0.29126105566988725	7.0	12.0	28.0	29.0
49.0	0.3314959040602949	8.0	10.0	29.0	28.0
50.0	1.0	5.0	14.0	29.0	29.0
51.0	0.29387586537304067	8.0	11.0	27.0	29.0
52.0	0.32829616814116014	8.0	12.0	28.0	28.0
53.0	0.2919058405760537	7.0	10.0	29.0	23.0
54.0	0.5322271364273332	24.0	16.0	29.0	29.0
55.0	0.48895894121819944	15.0	20.0	29.0	29.0
56.0	0.5451785521811876	16.0	24.0	20.0	29.0
57.0	0.4505832077217967	14.0	15.0	29.0	20.0
58.0	0.37919075003476926	10.0	10.0	24.0	24.0
59.0	0.5072373054892242	20.0	17.0	29.0	20.0
60.0	0.2919058405760537	8.0	10.0	27.0	20.0
61.0	0.5609087915123523	24.0	16.0	20.0	29.0
62.0	0.4733479296509081	16.0	16.0	29.0	25.0
63.0	0.3786368687662936	11.0	12.0	27.0	20.0
64.0	0.5140517445342851	11.0	24.0	20.0	20.0
65.0	0.49892735791699405	15.0	15.0	24.0	20.0
66.0	0.4265424470502148	11.0	14.0	25.0	29.0
67.0	0.2528741272951235	7.0	10.0	27.0	23.0
68.0	0.5671354211493644	24.0	17.0	20.0	20.0
69.0	0.5624454482420715	24.0	24.0	29.0	20.0
70.0	1.0	6.0	11.0	26.0	29.0
71.0	0.3095369408253823	8.0	11.0	28.0	29.0
72.0	0.36718780888758507	10.0	11.0	28.0	24.0
73.0	0.364746004920795	10.0	11.0	28.0	25.0
74.0	0.3327940945693384	9.0	12.0	27.0	29.0
75.0	0.284061419608126	8.0	10.0	27.0	23.0
76.0	0.5778999808199349	24.0	24.0	20.0	29.0
77.0	0.3205593846736061	11.0	7.0	28.0	25.0
78.0	0.4951074653583407	15.0	21.0	29.0	20.0
79.0	0.31082040534704003	9.0	9.0	26.0	25.0
80.0	0.30757466043781073	8.0	10.0	28.0	22.0
81.0	0.3542590304121202	10.0	10.0	27.0	28.0
82.0	0.5644226973754886	19.0	24.0	20.0	20.0
83.0	0.45336754457082423	18.0	12.0	29.0	29.0
84.0	1.0	8.0	5.0	20.0	20.0
85.0	0.30625368234977074	8.0	10.0	26.0	22.0
86.0	0.34106735585340725	8.0	12.0	29.0	29.0
87.0	0.3314959040602949	8.0	10.0	29.0	20.0
88.0	1.0	5.0	24.0	20.0	20.0
89.0	0.5564815131293658	24.0	24.0	29.0	29.0
90.0	0.3492587722068289	9.0	11.0	28.0	28.0
91.0	0.538249932677093	24.0	9.0	20.0	29.0
