Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.47786352566506557	17.0	14.0	24.0	27.0
2.0	0.5596409755006858	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.5199356592455678	8.0	24.0	22.0	23.0
5.0	0.37496545313480534	8.0	10.0	27.0	26.0
6.0	0.49241871139544646	12.0	20.0	22.0	27.0
7.0	0.536564677990196	14.0	20.0	20.0	22.0
8.0	0.4859619777029368	24.0	5.0	20.0	20.0
9.0	0.5842983179423121	23.0	23.0	24.0	23.0
10.0	0.4006879907840443	9.0	8.0	25.0	25.0
11.0	0.5007485516062554	11.0	22.0	25.0	29.0
12.0	0.5637529224779904	17.0	24.0	26.0	24.0
13.0	0.5044333059237964	6.0	24.0	28.0	24.0
14.0	0.5370772108515499	11.0	24.0	24.0	26.0
15.0	0.5259227506402654	12.0	19.0	21.0	24.0
16.0	0.5288393163392333	19.0	12.0	24.0	24.0
17.0	0.4894504786281159	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.5231415264377643	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.3638704612037883	8.0	9.0	26.0	26.0
22.0	0.41543452478867166	8.0	10.0	25.0	25.0
23.0	0.3410343189159822	9.0	10.0	26.0	27.0
24.0	0.31314047028204495	7.0	10.0	26.0	28.0
25.0	0.3260885988012832	8.0	11.0	27.0	29.0
26.0	0.28677312416981204	6.0	10.0	28.0	29.0
27.0	1.0	5.0	12.0	29.0	28.0
28.0	0.28120966348863086	7.0	9.0	27.0	29.0
29.0	0.3087191583243779	7.0	10.0	28.0	29.0
30.0	0.27565229573923183	6.0	9.0	27.0	29.0
31.0	0.2748236650315794	6.0	9.0	28.0	29.0
32.0	0.3367128459737989	8.0	10.0	25.0	29.0
33.0	0.37599316621878776	11.0	12.0	26.0	29.0
34.0	0.45146848459572464	14.0	15.0	28.0	29.0
35.0	1.0	6.0	7.0	23.0	26.0
36.0	0.4638368082234138	12.0	12.0	25.0	25.0
37.0	0.3900241502991908	9.0	13.0	24.0	29.0
38.0	0.4526419098254423	13.0	15.0	23.0	29.0
39.0	0.49303663092084915	20.0	14.0	29.0	29.0
40.0	0.47215761294862246	24.0	7.0	29.0	29.0
41.0	0.28760370855265693	6.0	10.0	27.0	29.0
42.0	0.5450184830886464	24.0	11.0	29.0	20.0
43.0	1.0	24.0	5.0	23.0	29.0
44.0	0.5059667685298183	16.0	19.0	25.0	29.0
45.0	0.5133012821513202	15.0	16.0	29.0	24.0
46.0	0.5522488902977748	24.0	17.0	20.0	29.0
47.0	0.5282932763446532	10.0	24.0	29.0	20.0
48.0	0.47160448440881064	11.0	12.0	22.0	20.0
