Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.4220150256124676	17.0	14.0	24.0	27.0
2.0	0.5204424311420799	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.49237747270929755	8.0	24.0	22.0	23.0
5.0	0.264837448988266	8.0	10.0	27.0	26.0
6.0	0.4848146925976955	12.0	20.0	22.0	27.0
7.0	0.4883205778540834	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5215893416084706	23.0	23.0	24.0	23.0
10.0	0.27810723265846066	9.0	8.0	25.0	25.0
11.0	0.4967258982047852	11.0	22.0	25.0	29.0
12.0	0.5191140637229392	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5362187803442894	11.0	24.0	24.0	26.0
15.0	0.4483927002962894	12.0	19.0	21.0	24.0
16.0	0.418316574568911	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	0.23055830271703803	10.0	6.0	28.0	24.0
19.0	0.4434073564579337	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.24755302292034714	8.0	9.0	28.0	21.0
22.0	1.0	6.0	5.0	29.0	24.0
23.0	0.26257810665480275	11.0	9.0	27.0	23.0
24.0	0.241235939462481	10.0	8.0	28.0	24.0
25.0	1.0	11.0	6.0	27.0	22.0
26.0	0.27203565960018644	9.0	9.0	27.0	24.0
27.0	0.23422442345466538	10.0	7.0	28.0	25.0
28.0	0.27583441672738973	10.0	9.0	27.0	25.0
29.0	0.2584264551178864	9.0	10.0	28.0	22.0
30.0	0.2982972693161042	11.0	10.0	28.0	24.0
31.0	1.0	10.0	6.0	29.0	25.0
32.0	0.28687032807062673	9.0	11.0	27.0	24.0
33.0	0.29068002827318373	10.0	11.0	27.0	24.0
34.0	0.29068002827318373	10.0	11.0	27.0	24.0
