Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.43935111868444776	17.0	14.0	24.0	27.0
2.0	0.5638955842786911	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	0.2959626736755731	8.0	10.0	27.0	26.0
6.0	0.41107767742355616	12.0	20.0	22.0	27.0
7.0	0.3841015824408939	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5303878681280646	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.47947137331643436	11.0	22.0	25.0	29.0
12.0	0.5429378207347889	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5013652995250235	11.0	24.0	24.0	26.0
15.0	0.3804654258150941	12.0	19.0	21.0	24.0
16.0	0.45635824177932693	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.4274023735746204	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.42421327431025657	16.0	18.0	22.0	25.0
22.0	0.4274023735746204	14.0	18.0	24.0	26.0
23.0	0.24167097547322786	7.0	12.0	29.0	27.0
24.0	0.24560121523205408	8.0	12.0	28.0	27.0
25.0	1.0	6.0	11.0	28.0	26.0
26.0	0.24560121523205408	8.0	12.0	29.0	27.0
27.0	0.24560121523205408	8.0	11.0	28.0	27.0
28.0	0.3392495588383656	9.0	11.0	27.0	27.0
29.0	0.19722229624831916	7.0	12.0	29.0	28.0
30.0	0.19722229624831916	7.0	13.0	29.0	28.0
31.0	0.42421327431025657	14.0	20.0	22.0	24.0
32.0	0.42421327431025657	13.0	18.0	21.0	26.0
33.0	0.37310367545824175	15.0	15.0	23.0	24.0
34.0	0.20087306913176234	8.0	13.0	28.0	28.0
35.0	0.24954748926340048	8.0	14.0	29.0	27.0
36.0	0.20087306913176234	8.0	11.0	28.0	29.0
37.0	0.20087306913176234	8.0	12.0	29.0	29.0
38.0	0.19722229624831916	8.0	10.0	29.0	29.0
39.0	0.3804654258150941	14.0	16.0	20.0	21.0
40.0	0.3045668379072294	11.0	13.0	29.0	29.0
41.0	0.2266695044123116	9.0	13.0	29.0	29.0
42.0	0.2266695044123116	9.0	13.0	29.0	29.0
