Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.43080591032323473	17.0	14.0	24.0	27.0
2.0	0.5288651246567884	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.4544633423052471	8.0	24.0	22.0	23.0
5.0	0.21032153318786406	8.0	10.0	27.0	26.0
6.0	0.4586319866562854	12.0	20.0	22.0	27.0
7.0	0.4762331166912097	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5288651246567884	23.0	23.0	24.0	23.0
10.0	0.2411988162508556	9.0	8.0	25.0	25.0
11.0	0.44909602556199063	11.0	22.0	25.0	29.0
12.0	0.4863248183903034	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.4776110345993553	11.0	24.0	24.0	26.0
15.0	0.45313483471745497	12.0	19.0	21.0	24.0
16.0	0.42634790972739733	19.0	12.0	24.0	24.0
17.0	0.3371246798932552	22.0	5.0	29.0	23.0
18.0	0.22377198642457286	10.0	6.0	28.0	24.0
19.0	0.467151532795881	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.23168767712560384	9.0	9.0	27.0	22.0
22.0	1.0	5.0	7.0	28.0	25.0
23.0	0.22590700091088012	10.0	9.0	27.0	25.0
24.0	0.2415354432566602	9.0	11.0	26.0	25.0
25.0	0.22197180454822268	11.0	7.0	27.0	22.0
26.0	0.25744557404217766	9.0	11.0	27.0	28.0
27.0	0.23351396233008476	12.0	6.0	29.0	24.0
28.0	0.27389269764800345	12.0	10.0	29.0	20.0
29.0	1.0	11.0	5.0	29.0	20.0
30.0	0.24557449780381035	11.0	8.0	27.0	23.0
31.0	0.21417784843418097	11.0	6.0	27.0	25.0
32.0	0.2675358745283149	10.0	8.0	25.0	22.0
33.0	0.26188522501096495	10.0	12.0	27.0	20.0
34.0	0.2555723776966777	10.0	12.0	29.0	23.0
35.0	1.0	11.0	7.0	29.0	26.0
36.0	0.22771824166394067	11.0	6.0	27.0	24.0
37.0	0.22771824166394067	9.0	9.0	26.0	24.0
38.0	0.22377198642457286	9.0	10.0	26.0	26.0
39.0	0.27389269764800345	11.0	11.0	27.0	22.0
40.0	0.2415354432566602	9.0	11.0	28.0	24.0
41.0	0.20474983486278453	10.0	6.0	26.0	25.0
42.0	0.22771824166394067	13.0	5.0	28.0	24.0
43.0	1.0	8.0	12.0	28.0	26.0
44.0	0.2537019647433626	10.0	10.0	27.0	23.0
45.0	0.2596636806753739	9.0	11.0	28.0	22.0
46.0	0.2430467322582736	8.0	9.0	26.0	28.0
47.0	0.21806167269038718	9.0	10.0	27.0	25.0
48.0	0.22197180454822268	9.0	7.0	27.0	23.0
49.0	0.279918793144592	13.0	7.0	28.0	23.0
50.0	0.25744557404217766	9.0	11.0	26.0	29.0
51.0	0.29233657805801394	12.0	13.0	29.0	21.0
52.0	1.0	8.0	9.0	26.0	26.0
53.0	0.21806167269038718	10.0	7.0	26.0	24.0
54.0	0.2415354432566602	10.0	7.0	26.0	23.0
55.0	0.23567895393175103	10.0	9.0	26.0	24.0
56.0	0.2411988162508556	9.0	8.0	25.0	24.0
57.0	0.21806167269038718	9.0	10.0	27.0	26.0
58.0	0.23168767712560384	10.0	10.0	26.0	26.0
59.0	0.2492910308530315	10.0	8.0	25.0	25.0
60.0	0.2511542793667759	8.0	10.0	26.0	28.0
61.0	0.24523638872522308	9.0	9.0	26.0	29.0
62.0	0.2415354432566602	10.0	7.0	28.0	23.0
63.0	0.23168767712560384	9.0	9.0	28.0	24.0
64.0	0.24557449780381035	10.0	10.0	29.0	23.0
65.0	0.26719195418646924	9.0	7.0	24.0	25.0
66.0	0.2313551985104415	8.0	9.0	27.0	29.0
67.0	0.2656502949877094	11.0	11.0	29.0	21.0
68.0	0.3081829861148251	10.0	10.0	24.0	24.0
69.0	0.18645738255197203	10.0	5.0	27.0	24.0
70.0	1.0	11.0	5.0	26.0	25.0
71.0	0.20474983486278453	10.0	6.0	27.0	25.0
72.0	0.24557449780381035	10.0	8.0	27.0	22.0
73.0	0.20474983486278453	9.0	6.0	27.0	24.0
74.0	0.2596636806753739	10.0	10.0	28.0	21.0
75.0	0.20856397166256024	10.0	7.0	26.0	25.0
76.0	0.1901130213246588	10.0	5.0	27.0	23.0
77.0	0.21806167269038718	10.0	6.0	27.0	24.0
78.0	0.26342350092585237	9.0	11.0	26.0	27.0
79.0	0.1828367136622946	9.0	5.0	28.0	24.0
80.0	0.23168767712560384	8.0	10.0	27.0	23.0
81.0	0.28216002439228854	12.0	11.0	27.0	20.0
82.0	0.26342350092585237	9.0	10.0	25.0	22.0
83.0	0.25778738443778026	10.0	10.0	26.0	20.0
84.0	0.2780240507092624	12.0	9.0	26.0	21.0
85.0	0.20474983486278453	8.0	8.0	26.0	21.0
86.0	0.17408993849680904	9.0	5.0	27.0	24.0
87.0	0.1917995865053671	10.0	5.0	28.0	24.0
88.0	0.18449141134206187	8.0	6.0	26.0	22.0
89.0	0.2411988162508556	8.0	7.0	24.0	21.0
90.0	1.0	7.0	6.0	26.0	20.0
91.0	0.21385460584765464	8.0	6.0	25.0	23.0
92.0	0.1972134390291393	8.0	7.0	26.0	22.0
93.0	0.20096597482260858	9.0	6.0	26.0	23.0
94.0	0.2511542793667759	8.0	8.0	25.0	22.0
95.0	0.27544000376975886	9.0	9.0	23.0	20.0
96.0	0.2732029599069485	9.0	7.0	22.0	22.0
97.0	0.23784995340521886	15.0	5.0	29.0	24.0
98.0	0.23351396233008476	7.0	10.0	26.0	20.0
99.0	0.2675358745283149	8.0	12.0	25.0	20.0
100.0	1.0	7.0	12.0	28.0	20.0
101.0	0.26342350092585237	8.0	10.0	25.0	20.0
102.0	0.33863496306148344	10.0	13.0	24.0	20.0
103.0	1.0	6.0	11.0	24.0	20.0
104.0	0.2713123604300569	10.0	7.0	23.0	20.0
105.0	0.23751479022821215	8.0	9.0	26.0	21.0
106.0	0.310416390390181	12.0	9.0	23.0	20.0
107.0	0.296821735661618	17.0	6.0	28.0	23.0
108.0	0.30474535168024264	14.0	11.0	29.0	22.0
109.0	0.28595313477667184	9.0	12.0	25.0	21.0
110.0	0.1776212959142453	9.0	5.0	27.0	23.0
111.0	1.0	17.0	5.0	29.0	26.0
112.0	0.22804899626059505	14.0	5.0	29.0	23.0
113.0	0.31521922309260453	17.0	8.0	28.0	21.0
114.0	1.0	15.0	5.0	27.0	22.0
115.0	0.31898129923877605	19.0	7.0	29.0	22.0
116.0	0.30285233493233	16.0	8.0	29.0	23.0
117.0	0.2814686976273162	10.0	8.0	20.0	20.0
118.0	0.2241007541015479	14.0	5.0	29.0	24.0
119.0	1.0	8.0	6.0	21.0	20.0
120.0	0.33206566090949086	10.0	9.0	22.0	22.0
121.0	0.3342605078203438	12.0	9.0	20.0	20.0
