Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.500516041457139	17.0	14.0	24.0	27.0
2.0	0.5782090072757712	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.5245119568983081	8.0	24.0	22.0	23.0
5.0	1.0	8.0	10.0	27.0	26.0
6.0	0.5119439062138779	12.0	20.0	22.0	27.0
7.0	0.530695452473359	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5829616772208435	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.5271851237381296	11.0	22.0	25.0	29.0
12.0	0.5744238447124911	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	1.0	11.0	24.0	24.0	26.0
15.0	0.5152584087229019	12.0	19.0	21.0	24.0
16.0	0.5153507409613177	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.5271031504637621	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.5420365994270249	18.0	18.0	21.0	26.0
22.0	0.5486273253160101	18.0	19.0	21.0	26.0
23.0	0.534854939888098	18.0	18.0	22.0	26.0
24.0	0.5214004805843387	13.0	20.0	25.0	29.0
25.0	0.5310234424387867	8.0	23.0	20.0	21.0
26.0	0.5157345939297349	14.0	18.0	21.0	26.0
27.0	0.5402225384843715	18.0	15.0	25.0	24.0
28.0	0.5352427253427365	20.0	14.0	23.0	27.0
29.0	0.5115462983380533	12.0	19.0	21.0	29.0
30.0	0.5678096361606538	20.0	21.0	28.0	24.0
31.0	0.5603839184763696	18.0	21.0	23.0	20.0
32.0	0.5182782176720998	6.0	24.0	21.0	22.0
33.0	0.5252117384946559	15.0	16.0	21.0	20.0
34.0	0.5548702194141569	20.0	17.0	20.0	20.0
35.0	0.5451261691402378	19.0	16.0	27.0	29.0
36.0	0.5820575914853796	20.0	24.0	28.0	20.0
37.0	0.5699633243867913	24.0	19.0	24.0	29.0
38.0	0.5902281372699812	23.0	24.0	20.0	29.0
39.0	0.5109551971324977	11.0	18.0	20.0	20.0
40.0	0.5255597168673203	12.0	19.0	23.0	20.0
41.0	0.5736121743831817	24.0	18.0	20.0	24.0
42.0	0.5201308389134691	17.0	16.0	23.0	29.0
43.0	0.5694823171240664	24.0	17.0	25.0	20.0
44.0	0.5677616547006036	24.0	17.0	29.0	27.0
45.0	1.0	11.0	20.0	24.0	29.0
46.0	0.5453359583129805	14.0	21.0	20.0	20.0
47.0	0.5426094706423007	14.0	20.0	20.0	20.0
48.0	0.5317538129349381	17.0	18.0	20.0	25.0
49.0	0.5361737207469757	13.0	20.0	20.0	20.0
50.0	0.5335156711998899	17.0	18.0	20.0	26.0
51.0	0.5371678737586909	19.0	18.0	23.0	27.0
52.0	0.5371678737586909	12.0	21.0	20.0	20.0
53.0	0.5317538129349381	17.0	18.0	20.0	25.0
54.0	0.5295446721186368	19.0	17.0	23.0	27.0
55.0	0.5395613255500955	13.0	22.0	26.0	29.0
56.0	0.5331967823955238	15.0	20.0	24.0	29.0
57.0	0.526760820542714	13.0	20.0	20.0	28.0
58.0	0.5292914015504403	14.0	19.0	26.0	28.0
59.0	0.5106504294763063	12.0	19.0	21.0	27.0
60.0	0.5249464235153944	14.0	18.0	21.0	29.0
61.0	0.5247784762787693	15.0	18.0	23.0	23.0
62.0	0.5307742792316892	14.0	20.0	22.0	26.0
63.0	0.4977539747636923	13.0	16.0	20.0	23.0
64.0	0.49674757755262416	15.0	15.0	22.0	25.0
65.0	0.481787210946765	12.0	16.0	22.0	22.0
66.0	0.4839021775705289	15.0	14.0	23.0	22.0
67.0	0.4811629752804879	13.0	15.0	24.0	20.0
68.0	0.44730248948230744	12.0	14.0	21.0	20.0
69.0	0.44669152466427947	10.0	15.0	22.0	20.0
70.0	0.4336651710577845	10.0	14.0	20.0	20.0
71.0	0.46517101173424963	10.0	15.0	20.0	22.0
72.0	0.4237818386866258	7.0	15.0	20.0	20.0
73.0	0.38238720485341116	7.0	13.0	20.0	20.0
74.0	1.0	5.0	13.0	20.0	20.0
75.0	0.4947109460928587	12.0	16.0	20.0	20.0
76.0	0.4947109460928587	12.0	16.0	20.0	20.0
