Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.4191242490524586	17.0	14.0	24.0	27.0
2.0	0.5471327199134619	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	0.2978102840052419	8.0	10.0	27.0	26.0
6.0	1.0	12.0	20.0	22.0	27.0
7.0	1.0	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5453864065742725	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.5068055037327447	11.0	22.0	25.0	29.0
12.0	0.5363010024007467	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5176385540694237	11.0	24.0	24.0	26.0
15.0	1.0	12.0	19.0	21.0	24.0
16.0	0.43417225857941244	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	0.2667090773731217	10.0	6.0	28.0	24.0
19.0	0.4852912092298727	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.44632189294075053	18.0	13.0	24.0	25.0
22.0	0.2731141894315255	10.0	7.0	29.0	24.0
23.0	0.2863647320171468	8.0	10.0	29.0	26.0
24.0	1.0	10.0	5.0	29.0	24.0
25.0	0.2863647320171468	8.0	10.0	29.0	26.0
26.0	0.2811297766776004	10.0	7.0	28.0	24.0
27.0	0.2978102840052419	8.0	10.0	28.0	26.0
28.0	0.28334787412865753	9.0	9.0	29.0	25.0
29.0	0.26551952656883476	8.0	9.0	29.0	26.0
30.0	0.2723186924113456	8.0	9.0	29.0	25.0
31.0	1.0	9.0	7.0	29.0	25.0
32.0	0.2723186924113456	8.0	9.0	29.0	25.0
33.0	0.2811297766776004	10.0	7.0	28.0	24.0
34.0	0.44850174625095507	18.0	14.0	23.0	26.0
35.0	0.2723186924113456	8.0	9.0	29.0	25.0
36.0	0.2867637677698507	8.0	10.0	29.0	25.0
37.0	0.2739099293970112	10.0	7.0	28.0	23.0
38.0	0.28033236180654897	11.0	7.0	29.0	24.0
39.0	0.26212917642313227	7.0	9.0	28.0	26.0
40.0	0.28334787412865753	7.0	10.0	28.0	25.0
41.0	1.0	7.0	10.0	27.0	26.0
42.0	0.2837467790792463	8.0	9.0	28.0	25.0
43.0	0.3126310017568761	9.0	10.0	27.0	26.0
44.0	0.2811297766776004	10.0	7.0	28.0	24.0
45.0	0.2685192786033828	7.0	9.0	29.0	25.0
46.0	0.2617336451312925	7.0	9.0	29.0	26.0
47.0	0.2689163291444735	7.0	9.0	28.0	25.0
48.0	0.29820905783658314	8.0	10.0	27.0	25.0
49.0	0.2978102840052419	8.0	10.0	27.0	26.0
50.0	0.2841457061082675	7.0	10.0	28.0	24.0
51.0	0.2811297766776004	10.0	7.0	28.0	24.0
52.0	0.2811297766776004	10.0	7.0	28.0	24.0
