Iteration	Y	var_1	var_2	var_3	var_4
1.0	1.0	17.0	14.0	24.0	27.0
2.0	0.5030000665805636	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	1.0	8.0	10.0	27.0	26.0
6.0	0.40841528774274805	12.0	20.0	22.0	27.0
7.0	1.0	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.527225623364724	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.38421486597279647	11.0	22.0	25.0	29.0
12.0	0.484286424429254	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.41231024207305045	11.0	24.0	24.0	26.0
15.0	1.0	12.0	19.0	21.0	24.0
16.0	1.0	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	1.0	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.41834149847767665	13.0	23.0	24.0	28.0
22.0	0.4333479261285333	14.0	23.0	24.0	29.0
23.0	0.4007409382077103	12.0	22.0	24.0	28.0
24.0	0.4075221211022372	12.0	22.0	23.0	29.0
25.0	0.4338261325235082	13.0	24.0	26.0	27.0
26.0	0.4007409382077103	12.0	22.0	24.0	28.0
27.0	0.3936621864737651	12.0	20.0	22.0	29.0
28.0	0.48238342094535247	18.0	24.0	22.0	27.0
29.0	0.4075221211022372	11.0	24.0	25.0	29.0
30.0	0.39344002272729	12.0	21.0	28.0	29.0
31.0	0.45276697872524346	13.0	24.0	20.0	28.0
32.0	0.5286972162475211	23.0	24.0	29.0	23.0
33.0	0.41194636523285677	12.0	24.0	29.0	29.0
34.0	0.5267206336251283	24.0	24.0	20.0	29.0
35.0	0.41096595681411574	13.0	21.0	22.0	28.0
36.0	0.44436436382878974	15.0	23.0	29.0	29.0
37.0	0.36626195324604555	11.0	20.0	25.0	29.0
38.0	0.5332104842757145	24.0	24.0	20.0	20.0
39.0	0.49836333516734294	18.0	24.0	29.0	20.0
40.0	1.0	24.0	19.0	29.0	20.0
41.0	0.5024945608782014	19.0	24.0	23.0	20.0
42.0	0.5235061782899455	24.0	24.0	29.0	29.0
43.0	0.3878889524517111	11.0	20.0	23.0	28.0
44.0	0.5166081879899029	21.0	24.0	20.0	24.0
45.0	0.38034091196485575	12.0	20.0	25.0	29.0
46.0	0.5044453959462587	24.0	18.0	20.0	29.0
47.0	0.5142557864082455	24.0	21.0	24.0	29.0
48.0	0.35411718524106783	10.0	19.0	29.0	29.0
49.0	0.36851872424420995	10.0	21.0	29.0	29.0
50.0	1.0	5.0	5.0	20.0	20.0
51.0	0.4936514936732127	19.0	24.0	29.0	25.0
52.0	0.3568373642265338	10.0	20.0	28.0	29.0
53.0	0.3630005919991832	11.0	20.0	29.0	29.0
54.0	1.0	24.0	11.0	20.0	29.0
55.0	0.4986915538867994	24.0	20.0	20.0	25.0
56.0	0.3664344701586495	11.0	19.0	27.0	29.0
57.0	0.4834468393248775	20.0	21.0	20.0	29.0
58.0	0.4401823131681777	13.0	24.0	22.0	26.0
59.0	0.45700932632412467	14.0	24.0	29.0	22.0
60.0	0.37626369926561964	10.0	20.0	29.0	27.0
61.0	0.39702855851995966	12.0	21.0	29.0	26.0
62.0	0.3595456908839467	10.0	19.0	29.0	28.0
63.0	0.4136486229643062	12.0	24.0	29.0	26.0
64.0	0.37569354491384793	11.0	20.0	27.0	28.0
65.0	0.5266454558825704	24.0	24.0	25.0	27.0
66.0	1.0	24.0	18.0	20.0	20.0
67.0	0.47338484419405014	20.0	20.0	29.0	29.0
68.0	0.4861649808191669	24.0	17.0	29.0	29.0
69.0	1.0	5.0	5.0	20.0	29.0
70.0	0.3324107235005792	11.0	17.0	29.0	29.0
71.0	0.3658530316481192	13.0	17.0	29.0	29.0
72.0	0.29433497327764524	11.0	15.0	29.0	29.0
73.0	1.0	12.0	14.0	29.0	29.0
74.0	0.26825175836928783	9.0	15.0	29.0	29.0
75.0	0.3324107235005792	9.0	18.0	29.0	29.0
76.0	0.35001562376174344	10.0	18.0	29.0	29.0
77.0	0.35001562376174344	10.0	18.0	29.0	29.0
