Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5835789956519761	17.0	14.0	24.0	27.0
2.0	0.6029467562165336	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.5488750795487988	8.0	24.0	22.0	23.0
5.0	0.5322235948660745	8.0	10.0	27.0	26.0
6.0	0.5976411847967906	12.0	20.0	22.0	27.0
7.0	0.6022282444314229	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.6245844409406839	23.0	23.0	24.0	23.0
10.0	0.5685092296015731	9.0	8.0	25.0	25.0
11.0	0.5705328726908412	11.0	22.0	25.0	29.0
12.0	0.5759391462362577	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5839042813377113	11.0	24.0	24.0	26.0
15.0	0.5981546009987468	12.0	19.0	21.0	24.0
16.0	0.5825928544469525	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.598935403117466	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.4615668768793503	8.0	11.0	24.0	25.0
22.0	1.0	5.0	9.0	24.0	26.0
23.0	0.5697420543988562	9.0	11.0	25.0	25.0
24.0	0.4939438468602075	9.0	10.0	23.0	25.0
25.0	0.4774933558861375	8.0	12.0	23.0	24.0
26.0	0.47640515139744083	8.0	12.0	23.0	26.0
27.0	0.4742061360495292	8.0	11.0	23.0	25.0
28.0	0.5668467333671329	11.0	24.0	21.0	23.0
29.0	0.5805571516006078	15.0	22.0	25.0	28.0
30.0	0.4401383440534319	7.0	13.0	24.0	25.0
31.0	0.5394051987223427	7.0	14.0	27.0	27.0
32.0	0.4741565584619005	6.0	14.0	25.0	23.0
33.0	0.4753094182603273	7.0	15.0	23.0	24.0
34.0	1.0	6.0	16.0	22.0	20.0
35.0	0.46393397149392707	7.0	15.0	25.0	25.0
36.0	0.6072789511052742	19.0	18.0	26.0	24.0
37.0	1.0	6.0	13.0	28.0	24.0
38.0	0.444072749042905	7.0	14.0	24.0	24.0
39.0	0.4333667401403439	8.0	14.0	24.0	28.0
40.0	0.5308571312735464	9.0	12.0	26.0	29.0
41.0	0.4466571460649549	7.0	15.0	24.0	27.0
42.0	0.5614641991292382	9.0	16.0	25.0	28.0
43.0	0.4579583231809862	7.0	13.0	25.0	27.0
44.0	0.6192074260242167	23.0	16.0	23.0	29.0
45.0	1.0	5.0	15.0	24.0	25.0
46.0	0.46510596192683185	8.0	14.0	24.0	26.0
47.0	0.5717450428497087	8.0	15.0	25.0	24.0
48.0	0.5717450428497087	8.0	14.0	25.0	27.0
49.0	0.4413986034841608	7.0	14.0	23.0	28.0
50.0	0.4817713257452601	8.0	15.0	23.0	27.0
51.0	0.3827717182589604	7.0	14.0	24.0	29.0
52.0	0.3795649802232785	7.0	13.0	24.0	29.0
53.0	0.31676963015668314	6.0	13.0	26.0	29.0
54.0	0.32027976092835997	6.0	14.0	26.0	29.0
55.0	0.5143229133478461	6.0	13.0	27.0	29.0
56.0	0.4958643975900914	10.0	13.0	22.0	29.0
57.0	0.5094343056055785	9.0	14.0	20.0	25.0
58.0	0.3779528956791456	6.0	13.0	25.0	29.0
59.0	0.5883038094361802	13.0	15.0	20.0	29.0
60.0	0.5970884258736626	17.0	24.0	20.0	29.0
61.0	0.5287677876829467	7.0	14.0	26.0	29.0
62.0	1.0	5.0	14.0	26.0	29.0
63.0	0.5600633294663919	9.0	13.0	24.0	28.0
64.0	0.5693337549977303	9.0	13.0	24.0	27.0
65.0	0.5600633294663919	9.0	13.0	24.0	28.0
66.0	0.4774933558861375	8.0	14.0	23.0	25.0
67.0	0.4719768471517889	7.0	13.0	23.0	24.0
68.0	0.4060934605960477	7.0	14.0	24.0	28.0
69.0	0.46393397149392707	8.0	13.0	24.0	25.0
70.0	0.4414575060822911	7.0	13.0	24.0	24.0
71.0	0.4752601791546423	7.0	14.0	24.0	23.0
72.0	0.42918613497591807	8.0	14.0	23.0	29.0
73.0	1.0	6.0	13.0	23.0	29.0
74.0	0.46393397149392707	7.0	14.0	25.0	25.0
75.0	0.4440145360994828	7.0	15.0	23.0	28.0
76.0	0.449153802052319	8.0	14.0	23.0	28.0
77.0	0.5111632164984499	8.0	13.0	22.0	25.0
78.0	0.47640515139744083	7.0	14.0	23.0	27.0
79.0	0.41496999007878355	8.0	15.0	24.0	29.0
80.0	0.447880580458481	8.0	16.0	23.0	29.0
81.0	0.45663052175323793	9.0	15.0	23.0	29.0
82.0	0.46737525750377695	8.0	15.0	21.0	29.0
83.0	0.4977569624973829	9.0	16.0	22.0	28.0
84.0	0.5184616843091359	8.0	16.0	22.0	25.0
85.0	0.5005439400433767	9.0	14.0	21.0	28.0
86.0	0.5323146248736171	8.0	14.0	22.0	23.0
87.0	0.5281876568342886	10.0	12.0	22.0	25.0
88.0	0.4685245551051297	6.0	12.0	24.0	22.0
89.0	0.4741565584619005	7.0	11.0	24.0	23.0
90.0	0.5763068219731976	8.0	12.0	25.0	22.0
91.0	0.5023272245747288	8.0	10.0	23.0	23.0
92.0	0.4638813142466005	7.0	16.0	21.0	28.0
93.0	1.0	6.0	11.0	22.0	22.0
94.0	0.4741565584619005	6.0	12.0	25.0	23.0
95.0	0.4949076373274352	8.0	15.0	20.0	27.0
96.0	0.4730453683015547	6.0	13.0	25.0	21.0
97.0	0.4627012773610073	8.0	17.0	20.0	29.0
98.0	0.49869283589476165	8.0	17.0	20.0	27.0
99.0	0.5851888026336968	10.0	10.0	23.0	23.0
100.0	0.48386573160974505	9.0	16.0	20.0	29.0
