Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5871692078853725	17.0	14.0	24.0	27.0
2.0	0.6281693651837696	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.5609014165441689	8.0	24.0	22.0	23.0
5.0	1.0	8.0	10.0	27.0	26.0
6.0	0.588073881590408	12.0	20.0	22.0	27.0
7.0	0.5853361662121563	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.612151009067391	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.6044312882914114	11.0	22.0	25.0	29.0
12.0	0.6186236282110765	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.6103861121334747	11.0	24.0	24.0	26.0
15.0	0.5746653336897203	12.0	19.0	21.0	24.0
16.0	0.5742868594460635	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.5829547774553622	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.5566606534233951	9.0	24.0	20.0	21.0
22.0	0.5941880081771099	20.0	17.0	25.0	24.0
23.0	0.625510106717695	16.0	24.0	20.0	29.0
24.0	0.5773787565276726	11.0	24.0	20.0	23.0
25.0	0.612584897428749	15.0	21.0	25.0	29.0
26.0	0.6034821215133829	24.0	16.0	21.0	29.0
27.0	0.5816533438021647	11.0	24.0	22.0	20.0
28.0	0.5773787565276726	16.0	16.0	24.0	20.0
29.0	0.6215957363003973	24.0	24.0	29.0	20.0
30.0	0.5859531007377234	17.0	16.0	23.0	24.0
31.0	0.6068766024562184	24.0	17.0	29.0	29.0
32.0	0.5321204322343036	9.0	21.0	20.0	20.0
33.0	0.5321204322343036	9.0	21.0	20.0	20.0
