Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5553038874099101	17.0	14.0	24.0	27.0
2.0	0.5825825842181485	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	0.4291577522100952	8.0	10.0	27.0	26.0
6.0	0.5791856584713214	12.0	20.0	22.0	27.0
7.0	0.5825683943817656	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5941975151183078	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.5498073757056475	11.0	22.0	25.0	29.0
12.0	0.575004386870687	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5678360940968041	11.0	24.0	24.0	26.0
15.0	0.556235011814768	12.0	19.0	21.0	24.0
16.0	0.5498540691265612	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.5696080451772353	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.5573950654126857	16.0	19.0	24.0	26.0
22.0	0.5810378033501701	17.0	20.0	23.0	27.0
23.0	0.4737549082968692	9.0	13.0	29.0	28.0
24.0	0.44412278321683446	7.0	12.0	29.0	27.0
25.0	1.0	7.0	12.0	28.0	27.0
26.0	0.5705401163360433	17.0	19.0	25.0	27.0
27.0	0.5705401163360433	17.0	19.0	25.0	27.0
