Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.9991938418420162	17.0	14.0	24.0	27.0
2.0	0.9991938418420162	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	1.0	8.0	10.0	27.0	26.0
6.0	0.5881001668818681	12.0	20.0	22.0	27.0
7.0	0.5741108281532004	14.0	20.0	20.0	22.0
8.0	0.9991938418420162	24.0	5.0	20.0	20.0
9.0	0.9991938418420162	23.0	23.0	24.0	23.0
10.0	0.37906347589363765	9.0	8.0	25.0	25.0
11.0	0.5658289563156489	11.0	22.0	25.0	29.0
12.0	0.9991938418420162	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5877734448794291	11.0	24.0	24.0	26.0
15.0	0.5627181162052736	12.0	19.0	21.0	24.0
16.0	0.9991938418420162	19.0	12.0	24.0	24.0
17.0	0.9991938418420162	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.5319641923193411	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.5627181162052736	12.0	19.0	21.0	24.0
22.0	0.43552034956120783	9.0	8.0	24.0	25.0
23.0	0.3701827603030923	9.0	8.0	25.0	24.0
24.0	0.3815746342599067	10.0	8.0	25.0	24.0
25.0	0.3701827603030923	9.0	8.0	25.0	24.0
26.0	0.5559324377611414	17.0	16.0	20.0	23.0
27.0	1.0	9.0	7.0	25.0	24.0
28.0	0.5464372631519712	18.0	15.0	21.0	24.0
29.0	0.5432580604360236	17.0	15.0	20.0	23.0
30.0	0.5735323905045877	11.0	23.0	25.0	28.0
31.0	0.5482261094872702	17.0	15.0	20.0	24.0
32.0	0.5843952026109115	11.0	22.0	24.0	28.0
33.0	0.39608051582987736	9.0	9.0	25.0	24.0
34.0	0.5904854203696831	13.0	20.0	21.0	25.0
35.0	0.3701827603030923	9.0	8.0	25.0	24.0
36.0	0.574332039178824	13.0	20.0	20.0	23.0
37.0	0.5651082865858694	14.0	19.0	21.0	23.0
38.0	0.5692588479044179	13.0	20.0	22.0	23.0
39.0	0.3701827603030923	9.0	8.0	25.0	24.0
40.0	0.5445508384780096	19.0	14.0	20.0	23.0
41.0	0.5672070294069325	12.0	19.0	21.0	22.0
42.0	0.3701827603030923	9.0	8.0	25.0	24.0
43.0	0.3701827603030923	9.0	8.0	25.0	24.0
