Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5155456049417712	17.0	14.0	24.0	27.0
2.0	0.5905355133136304	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.5588505709418615	8.0	24.0	22.0	23.0
5.0	1.0	8.0	10.0	27.0	26.0
6.0	0.5371719507433245	12.0	20.0	22.0	27.0
7.0	0.5702805826609092	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.6003105232597186	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.5549691603609648	11.0	22.0	25.0	29.0
12.0	0.5850105293876307	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	1.0	11.0	24.0	24.0	26.0
15.0	0.5543764460473029	12.0	19.0	21.0	24.0
16.0	0.5415756696313206	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.5678811417921787	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.5634975132887409	19.0	18.0	22.0	27.0
22.0	0.5715266564060446	18.0	19.0	21.0	26.0
23.0	0.5602849383413859	19.0	18.0	22.0	26.0
24.0	0.5255158489439753	13.0	19.0	25.0	29.0
25.0	0.5461681837124979	8.0	23.0	20.0	21.0
26.0	0.5523087704382617	17.0	16.0	25.0	24.0
27.0	0.5579044771763482	14.0	18.0	21.0	28.0
28.0	0.5269561199038414	20.0	14.0	25.0	26.0
29.0	0.5678530963977623	19.0	20.0	27.0	26.0
30.0	0.5678951598982777	13.0	21.0	23.0	29.0
31.0	0.5574675141124369	13.0	21.0	28.0	29.0
32.0	0.5880946342706034	20.0	24.0	29.0	23.0
33.0	0.5490741376986218	17.0	18.0	26.0	29.0
34.0	0.5427541161399666	16.0	18.0	25.0	29.0
35.0	0.5734390200739127	18.0	21.0	24.0	20.0
36.0	0.5402765960725906	20.0	13.0	22.0	29.0
37.0	0.5718795884906842	24.0	16.0	24.0	29.0
38.0	1.0	6.0	24.0	21.0	22.0
39.0	0.5661341936299892	10.0	23.0	21.0	22.0
40.0	0.5538823546135427	18.0	18.0	24.0	29.0
41.0	0.5538823546135427	18.0	18.0	24.0	29.0
