Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5244561481287198	17.0	14.0	24.0	27.0
2.0	0.5764581358188313	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	0.3360605133736262	8.0	10.0	27.0	26.0
6.0	0.5233040586251689	12.0	20.0	22.0	27.0
7.0	0.5449311158445586	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5801224088203933	23.0	23.0	24.0	23.0
10.0	0.33109202761347045	9.0	8.0	25.0	25.0
11.0	0.5284844036090913	11.0	22.0	25.0	29.0
12.0	0.5506858064228705	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5435511949357997	11.0	24.0	24.0	26.0
15.0	0.5139949152124776	12.0	19.0	21.0	24.0
16.0	0.5021852893633749	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.5277209405034554	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.33709539895562307	8.0	10.0	25.0	25.0
22.0	0.3326131313093388	8.0	9.0	25.0	27.0
23.0	0.37550424409229266	9.0	10.0	25.0	26.0
24.0	0.25617825967043917	7.0	8.0	25.0	25.0
25.0	1.0	6.0	7.0	23.0	24.0
26.0	1.0	7.0	9.0	26.0	25.0
27.0	0.4686325987516479	8.0	21.0	27.0	20.0
28.0	0.5325314936021158	17.0	17.0	24.0	24.0
29.0	0.5447662136610496	23.0	11.0	24.0	28.0
30.0	1.0	8.0	13.0	22.0	29.0
31.0	0.5679167088515078	23.0	18.0	24.0	25.0
32.0	0.557388957108328	16.0	20.0	20.0	28.0
33.0	0.36272808332881146	9.0	9.0	25.0	26.0
34.0	0.36272808332881146	9.0	9.0	25.0	26.0
