Iteration	Y	var_1	var_2	var_3	var_4
1.0	1.0	17.0	14.0	24.0	27.0
2.0	1.0	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	1.0	8.0	10.0	27.0	26.0
6.0	1.0	12.0	20.0	22.0	27.0
7.0	1.0	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	1.0	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	1.0	11.0	22.0	25.0	29.0
12.0	1.0	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	1.0	11.0	24.0	24.0	26.0
15.0	1.0	12.0	19.0	21.0	24.0
16.0	1.0	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	1.0	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	1.0	15.0	8.0	24.0	23.0
22.0	1.0	6.0	5.0	23.0	25.0
23.0	1.0	6.0	23.0	28.0	20.0
24.0	1.0	22.0	5.0	28.0	27.0
25.0	1.0	10.0	5.0	21.0	24.0
26.0	1.0	20.0	8.0	21.0	28.0
27.0	1.0	8.0	21.0	27.0	20.0
28.0	1.0	17.0	17.0	24.0	24.0
29.0	1.0	23.0	11.0	24.0	28.0
30.0	1.0	8.0	13.0	22.0	29.0
31.0	1.0	23.0	18.0	24.0	25.0
32.0	1.0	16.0	20.0	20.0	28.0
33.0	1.0	15.0	9.0	25.0	27.0
34.0	1.0	12.0	14.0	21.0	24.0
35.0	1.0	17.0	23.0	28.0	26.0
36.0	0.5517378896386353	16.0	16.0	24.0	20.0
37.0	1.0	17.0	17.0	23.0	21.0
38.0	1.0	16.0	16.0	25.0	21.0
39.0	1.0	7.0	18.0	27.0	26.0
40.0	1.0	8.0	6.0	28.0	21.0
41.0	1.0	11.0	7.0	26.0	28.0
42.0	1.0	11.0	18.0	21.0	28.0
43.0	1.0	7.0	5.0	25.0	29.0
44.0	1.0	23.0	21.0	21.0	21.0
45.0	0.5514604985603628	16.0	15.0	26.0	20.0
46.0	0.5448988435716016	16.0	15.0	25.0	20.0
47.0	1.0	18.0	16.0	26.0	21.0
48.0	1.0	15.0	15.0	23.0	21.0
49.0	1.0	14.0	14.0	27.0	21.0
50.0	0.540918718350973	16.0	13.0	26.0	20.0
51.0	0.5514604985603628	16.0	15.0	26.0	20.0
52.0	0.5517378896386353	16.0	16.0	24.0	20.0
53.0	0.5446558846353464	15.0	17.0	27.0	20.0
54.0	0.5451410458150852	16.0	14.0	26.0	20.0
55.0	0.5446558846353464	15.0	17.0	27.0	20.0
56.0	0.540918718350973	16.0	13.0	26.0	20.0
57.0	0.540918718350973	16.0	13.0	26.0	20.0
