Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5505952768494783	17.0	14.0	24.0	27.0
2.0	0.5944401175123404	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	0.3529538134992497	8.0	10.0	27.0	26.0
6.0	0.5732740576430168	12.0	20.0	22.0	27.0
7.0	0.5959009122131056	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.6098298541457984	23.0	23.0	24.0	23.0
10.0	0.3524396998812517	9.0	8.0	25.0	25.0
11.0	0.5721855316885026	11.0	22.0	25.0	29.0
12.0	0.5943280307394133	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5759737117328829	11.0	24.0	24.0	26.0
15.0	0.5787018660847704	12.0	19.0	21.0	24.0
16.0	0.5154848456896466	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.5271872922079097	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.3918574031794065	8.0	10.0	25.0	25.0
22.0	0.3706560792410013	8.0	9.0	25.0	26.0
23.0	0.392483227243704	10.0	10.0	26.0	26.0
24.0	0.4891465937860066	8.0	12.0	28.0	28.0
25.0	0.39898972580136316	9.0	9.0	24.0	24.0
26.0	1.0	5.0	10.0	28.0	26.0
27.0	0.3854626663140399	9.0	10.0	26.0	26.0
28.0	0.37148452260443476	9.0	11.0	28.0	26.0
29.0	0.35582368870500175	8.0	8.0	24.0	25.0
30.0	0.5312698911226366	12.0	14.0	28.0	26.0
31.0	0.33770979477779983	9.0	10.0	28.0	27.0
32.0	0.5074434714103297	11.0	11.0	29.0	29.0
33.0	0.5482258513386387	17.0	16.0	26.0	21.0
34.0	0.5910367611376104	15.0	24.0	22.0	29.0
35.0	0.587831885123416	23.0	16.0	24.0	26.0
36.0	1.0	6.0	7.0	20.0	22.0
37.0	0.5072151585549087	13.0	13.0	24.0	23.0
38.0	0.5743092136310574	16.0	19.0	29.0	29.0
39.0	0.5719049051891022	22.0	17.0	20.0	20.0
40.0	0.5939644245048203	24.0	18.0	29.0	20.0
41.0	0.5870933694805966	19.0	18.0	20.0	29.0
42.0	0.3355438283004264	9.0	10.0	27.0	27.0
43.0	0.6091554706878723	24.0	24.0	20.0	29.0
44.0	0.6019902012251259	24.0	18.0	29.0	29.0
45.0	0.3543860326584536	9.0	8.0	24.0	26.0
46.0	0.5320106392111452	15.0	14.0	20.0	20.0
47.0	0.5823753615945512	24.0	12.0	20.0	29.0
48.0	0.5168857583469896	12.0	15.0	29.0	20.0
49.0	0.5947409284164779	15.0	20.0	29.0	20.0
50.0	1.0	9.0	8.0	27.0	29.0
51.0	0.3762935251280345	9.0	9.0	24.0	25.0
52.0	0.47272521070448426	10.0	12.0	26.0	21.0
53.0	0.4932882525102337	14.0	12.0	26.0	20.0
54.0	0.5149130196817053	12.0	15.0	24.0	20.0
55.0	0.35244834372107164	10.0	10.0	28.0	27.0
56.0	0.49798705889445827	16.0	13.0	29.0	24.0
57.0	0.41852782075615275	13.0	11.0	27.0	26.0
58.0	0.5424642970991429	16.0	12.0	29.0	29.0
59.0	0.5421833104438246	18.0	13.0	29.0	20.0
60.0	0.5134814480237488	18.0	12.0	23.0	20.0
61.0	0.6099772874229403	19.0	24.0	20.0	20.0
62.0	0.4714880692546726	13.0	10.0	23.0	20.0
63.0	0.48165710524799876	15.0	10.0	25.0	23.0
64.0	0.3766286766792865	11.0	11.0	27.0	27.0
65.0	0.5696201027810689	13.0	15.0	20.0	29.0
66.0	0.581267670919619	14.0	24.0	29.0	29.0
67.0	1.0	16.0	9.0	20.0	20.0
68.0	0.47654296800944174	10.0	12.0	23.0	20.0
69.0	0.5552511809452713	22.0	14.0	25.0	20.0
70.0	0.5870791890865817	24.0	12.0	29.0	29.0
71.0	0.6259059177731776	24.0	24.0	29.0	20.0
72.0	0.46944630483183303	12.0	10.0	25.0	22.0
73.0	0.5732946935574836	20.0	15.0	29.0	25.0
74.0	0.49589394323737035	7.0	15.0	25.0	20.0
75.0	0.5108121964601219	9.0	16.0	20.0	20.0
76.0	1.0	5.0	15.0	20.0	20.0
77.0	0.5449418209914197	12.0	16.0	20.0	20.0
78.0	0.4990553059580754	7.0	16.0	29.0	20.0
79.0	0.5571275707457688	18.0	16.0	22.0	20.0
80.0	1.0	24.0	5.0	20.0	29.0
81.0	0.618465323291417	24.0	24.0	20.0	20.0
82.0	0.5973892946150932	24.0	17.0	20.0	29.0
83.0	0.5123639112073064	9.0	17.0	26.0	20.0
84.0	0.6105585142973607	24.0	24.0	29.0	27.0
85.0	0.560524855239564	24.0	14.0	20.0	24.0
86.0	0.5772361965012763	15.0	20.0	25.0	26.0
87.0	0.33770979477779983	9.0	10.0	28.0	27.0
88.0	0.546709681264256	13.0	14.0	25.0	29.0
89.0	0.46006032343472136	8.0	12.0	29.0	20.0
90.0	0.5982192361929441	19.0	24.0	20.0	26.0
91.0	0.429410847149449	7.0	10.0	26.0	20.0
92.0	1.0	10.0	9.0	25.0	20.0
93.0	0.4460202891661429	6.0	12.0	27.0	20.0
94.0	0.4585482798104181	7.0	12.0	26.0	22.0
95.0	0.45438508119297977	12.0	11.0	26.0	24.0
96.0	0.4960374646782362	13.0	12.0	23.0	21.0
97.0	0.5070819522342775	9.0	14.0	24.0	22.0
98.0	1.0	5.0	9.0	27.0	20.0
99.0	0.4499870170239183	7.0	12.0	26.0	20.0
100.0	0.48459279941412686	9.0	14.0	28.0	22.0
101.0	0.4250142395316464	12.0	10.0	24.0	24.0
102.0	0.40175301460773516	12.0	11.0	29.0	26.0
103.0	0.45709885861526267	15.0	10.0	29.0	26.0
104.0	0.4576432932212149	13.0	11.0	29.0	23.0
105.0	0.49421351344865494	16.0	10.0	29.0	22.0
106.0	0.46204028642281414	11.0	13.0	20.0	24.0
107.0	0.42196822883647467	9.0	12.0	21.0	27.0
108.0	0.4582512247493511	11.0	12.0	22.0	26.0
109.0	0.5022386352248709	7.0	12.0	20.0	29.0
110.0	0.5368880154270894	9.0	15.0	20.0	26.0
111.0	1.0	8.0	9.0	22.0	27.0
112.0	0.5239764741207821	10.0	13.0	20.0	28.0
113.0	0.4721163877885691	9.0	13.0	23.0	26.0
114.0	0.48149799642807967	10.0	12.0	23.0	23.0
115.0	0.4607338744524784	16.0	11.0	27.0	25.0
116.0	1.0	8.0	14.0	22.0	28.0
117.0	0.4255813164353778	10.0	12.0	25.0	25.0
118.0	0.45113966402710126	14.0	12.0	29.0	25.0
119.0	0.4135674422959999	9.0	12.0	20.0	26.0
120.0	0.3970711660113746	9.0	11.0	27.0	24.0
121.0	0.4173630345777903	9.0	13.0	21.0	25.0
122.0	0.45916256931218946	10.0	12.0	29.0	23.0
123.0	0.5203750134019539	17.0	12.0	26.0	22.0
124.0	0.4279654121930676	15.0	10.0	25.0	28.0
125.0	0.47693534570287244	18.0	10.0	26.0	28.0
126.0	0.42670469178931125	15.0	9.0	26.0	26.0
127.0	0.45176477916673363	14.0	11.0	24.0	26.0
128.0	1.0	16.0	8.0	28.0	29.0
129.0	0.44336875534519005	17.0	10.0	24.0	27.0
130.0	0.564252340720215	20.0	12.0	24.0	29.0
131.0	0.443042132170926	16.0	11.0	26.0	27.0
132.0	0.5427931570798761	16.0	11.0	23.0	29.0
133.0	0.577376232163784	24.0	12.0	29.0	20.0
134.0	0.5679210503767564	14.0	15.0	20.0	25.0
135.0	1.0	5.0	15.0	28.0	20.0
136.0	0.522018533361086	9.0	17.0	29.0	20.0
137.0	0.4183070227651471	13.0	9.0	25.0	26.0
138.0	0.44679535320635105	8.0	11.0	27.0	21.0
139.0	0.4708169697507904	18.0	9.0	26.0	25.0
140.0	0.4949436937043652	20.0	11.0	27.0	26.0
141.0	0.5639199372508397	19.0	14.0	28.0	29.0
142.0	0.4832309456792285	11.0	13.0	20.0	20.0
143.0	0.5914128797043191	19.0	18.0	20.0	24.0
144.0	0.5479536015312907	11.0	17.0	29.0	29.0
145.0	0.54535362529503	24.0	12.0	25.0	24.0
146.0	0.47833818781756915	11.0	12.0	29.0	20.0
