Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5452760402525321	17.0	14.0	24.0	27.0
2.0	0.5899679048609979	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.5251433695580484	8.0	24.0	22.0	23.0
5.0	0.43658219048697494	8.0	10.0	27.0	26.0
6.0	0.5621498381225539	12.0	20.0	22.0	27.0
7.0	0.5753008676683794	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5991104181456867	23.0	23.0	24.0	23.0
10.0	0.43499037460463663	9.0	8.0	25.0	25.0
11.0	0.5679964803860861	11.0	22.0	25.0	29.0
12.0	0.5759035309626321	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5684251336269023	11.0	24.0	24.0	26.0
15.0	0.5598941191295556	12.0	19.0	21.0	24.0
16.0	0.5551460083267301	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.558203896422801	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.44242558529685605	8.0	10.0	24.0	25.0
22.0	0.43459532258429334	8.0	9.0	25.0	26.0
23.0	0.46890348854093183	10.0	10.0	25.0	25.0
24.0	1.0	7.0	9.0	25.0	24.0
25.0	0.4520179104387535	9.0	9.0	25.0	26.0
26.0	0.48181546429874206	9.0	10.0	24.0	26.0
27.0	0.43598423786720863	9.0	9.0	24.0	25.0
28.0	0.445676984569361	8.0	10.0	26.0	26.0
29.0	1.0	8.0	9.0	27.0	27.0
30.0	0.4617059705482619	9.0	10.0	25.0	25.0
31.0	0.44068997899171636	8.0	11.0	27.0	26.0
32.0	0.39892180887722817	8.0	10.0	27.0	25.0
33.0	0.4418426433703308	10.0	8.0	24.0	25.0
34.0	0.40516804568804604	9.0	10.0	27.0	25.0
35.0	0.42505994343308745	9.0	8.0	24.0	26.0
36.0	0.43179338493347535	8.0	9.0	24.0	26.0
37.0	1.0	7.0	11.0	23.0	26.0
38.0	0.45959335859939526	11.0	9.0	25.0	25.0
39.0	0.4877306671360081	11.0	10.0	23.0	24.0
40.0	0.5040850189449047	12.0	11.0	25.0	24.0
41.0	0.5038242991791873	12.0	10.0	24.0	26.0
42.0	0.4880258088476515	13.0	9.0	24.0	24.0
43.0	1.0	11.0	9.0	24.0	23.0
44.0	0.509842691747609	12.0	11.0	23.0	25.0
45.0	0.49125836200797945	13.0	10.0	25.0	25.0
46.0	0.4558424771994064	11.0	9.0	23.0	25.0
47.0	0.46823501761640735	10.0	10.0	22.0	25.0
48.0	0.46923674653777	14.0	9.0	23.0	25.0
49.0	0.5092157493202597	15.0	10.0	24.0	24.0
50.0	0.45109401478719	11.0	8.0	24.0	26.0
51.0	0.49886590216752613	12.0	10.0	21.0	24.0
52.0	0.5109578969126882	15.0	10.0	21.0	23.0
53.0	0.5229719387461144	14.0	12.0	22.0	23.0
54.0	0.538439600703905	16.0	11.0	22.0	25.0
55.0	0.39892180887722817	8.0	10.0	27.0	25.0
56.0	0.39892180887722817	8.0	10.0	27.0	25.0
