Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5610652596751863	17.0	14.0	24.0	27.0
2.0	0.5867222469326429	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	0.3892322556607488	8.0	10.0	27.0	26.0
6.0	0.5638825365737575	12.0	20.0	22.0	27.0
7.0	0.5723445345527015	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.6060180170508557	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.5525624327832811	11.0	22.0	25.0	29.0
12.0	0.5834340258266305	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5712670078670596	11.0	24.0	24.0	26.0
15.0	0.5503386316024699	12.0	19.0	21.0	24.0
16.0	0.5545140556095914	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.5577657671929064	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.5693280305755096	16.0	19.0	24.0	26.0
22.0	0.5696033446773253	17.0	19.0	22.0	26.0
23.0	0.45305448937273607	9.0	13.0	29.0	28.0
24.0	0.3924899295134239	7.0	12.0	29.0	27.0
25.0	1.0	7.0	12.0	28.0	27.0
26.0	0.5813585008654459	17.0	19.0	24.0	27.0
27.0	0.5781426427938953	17.0	19.0	25.0	27.0
28.0	0.577030369094338	17.0	18.0	25.0	28.0
29.0	0.5726248537082249	17.0	19.0	23.0	26.0
30.0	0.5457994131057664	15.0	17.0	29.0	29.0
31.0	0.5457994131057664	15.0	17.0	29.0	29.0
