Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5187082370286509	17.0	14.0	24.0	27.0
2.0	0.5873131800318812	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.5084540805562201	8.0	24.0	22.0	23.0
5.0	0.3335484907431088	8.0	10.0	27.0	26.0
6.0	0.5102173343212578	12.0	20.0	22.0	27.0
7.0	0.5424709777487947	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5950097988553764	23.0	23.0	24.0	23.0
10.0	0.31566574020641613	9.0	8.0	25.0	25.0
11.0	0.5254207219057437	11.0	22.0	25.0	29.0
12.0	0.574202423868599	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5371850245814545	11.0	24.0	24.0	26.0
15.0	0.5142800109986037	12.0	19.0	21.0	24.0
16.0	0.5238138055031863	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	0.31139809727287693	10.0	6.0	28.0	24.0
19.0	0.49588798789618693	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.3359917407368159	8.0	8.0	27.0	22.0
22.0	0.25767248746339455	7.0	6.0	28.0	25.0
23.0	1.0	5.0	5.0	29.0	29.0
24.0	0.2981196306735463	8.0	7.0	27.0	24.0
25.0	0.3079271938520168	8.0	7.0	29.0	24.0
26.0	1.0	7.0	5.0	28.0	23.0
27.0	0.30641670947629185	8.0	8.0	28.0	25.0
28.0	0.28382218179037205	8.0	6.0	28.0	25.0
29.0	0.3253865625586052	9.0	8.0	27.0	24.0
30.0	0.2599714101857439	7.0	7.0	28.0	25.0
31.0	1.0	7.0	6.0	27.0	26.0
32.0	0.33223800339034126	8.0	9.0	26.0	25.0
33.0	0.31433651020975634	9.0	8.0	26.0	25.0
34.0	0.2851607440169962	7.0	7.0	28.0	24.0
35.0	0.32653137794456544	8.0	8.0	26.0	23.0
36.0	0.273201876040795	7.0	6.0	29.0	25.0
37.0	0.30775110717813836	7.0	9.0	27.0	24.0
38.0	0.3487121263787223	8.0	10.0	27.0	24.0
39.0	0.3686554217238795	10.0	9.0	26.0	25.0
40.0	0.3461359451039264	10.0	7.0	26.0	24.0
41.0	0.32326819752437563	7.0	9.0	29.0	24.0
42.0	0.3406870930000572	7.0	10.0	28.0	22.0
43.0	0.35648029943659726	7.0	10.0	26.0	22.0
44.0	1.0	6.0	11.0	28.0	25.0
45.0	0.33144563974950925	8.0	9.0	28.0	23.0
46.0	0.3042749345084902	10.0	7.0	29.0	25.0
47.0	0.34467386448877524	9.0	10.0	26.0	27.0
48.0	0.3623035477852592	10.0	10.0	28.0	26.0
49.0	0.3361641499559418	12.0	6.0	28.0	25.0
50.0	0.3917349184750415	9.0	10.0	27.0	20.0
51.0	0.39991057237329325	12.0	7.0	29.0	23.0
52.0	0.3633949419192032	9.0	10.0	24.0	23.0
53.0	0.357414995137334	9.0	10.0	23.0	26.0
54.0	0.3869827887231705	10.0	12.0	25.0	26.0
55.0	0.4340855686607579	13.0	8.0	29.0	27.0
56.0	0.2755200118754413	7.0	7.0	29.0	25.0
57.0	0.29544316039648627	9.0	8.0	22.0	24.0
58.0	1.0	7.0	9.0	21.0	24.0
59.0	0.3450150954118515	10.0	8.0	23.0	24.0
60.0	0.3333756058923186	10.0	7.0	22.0	23.0
61.0	0.3120266180321649	10.0	8.0	21.0	24.0
62.0	1.0	6.0	9.0	27.0	20.0
63.0	0.3731190035693126	9.0	10.0	26.0	22.0
64.0	0.381191880067173	9.0	11.0	29.0	21.0
65.0	0.39868896399193376	11.0	11.0	22.0	25.0
66.0	0.364318704386948	11.0	8.0	27.0	20.0
67.0	0.4370868734238913	12.0	11.0	28.0	20.0
68.0	0.40084702482114	11.0	9.0	22.0	22.0
69.0	0.36306322019742127	13.0	6.0	26.0	22.0
70.0	0.3729562239307508	12.0	7.0	24.0	20.0
71.0	0.41689595807633995	14.0	8.0	26.0	20.0
72.0	1.0	12.0	5.0	26.0	20.0
73.0	0.38952277533818686	13.0	8.0	26.0	23.0
74.0	0.3810319177518293	14.0	6.0	26.0	24.0
75.0	0.3956586100434192	11.0	9.0	25.0	20.0
76.0	0.3850613267735307	14.0	7.0	24.0	22.0
77.0	0.39331400967176855	13.0	8.0	22.0	20.0
78.0	0.4471996537983035	15.0	7.0	27.0	22.0
79.0	0.26786882085637553	9.0	7.0	22.0	25.0
80.0	0.3790153219262693	10.0	11.0	23.0	29.0
81.0	0.43128334097801374	11.0	12.0	26.0	29.0
82.0	0.33904320813520805	10.0	8.0	22.0	26.0
83.0	0.44650528798016176	11.0	14.0	21.0	29.0
84.0	1.0	8.0	13.0	24.0	29.0
85.0	0.3605438865960655	11.0	10.0	24.0	28.0
86.0	0.3487121263787223	10.0	9.0	28.0	24.0
87.0	0.3184960675541685	9.0	8.0	29.0	24.0
88.0	0.5730841456292566	24.0	16.0	20.0	29.0
89.0	0.5929790162188089	24.0	17.0	29.0	20.0
90.0	0.4429758556972402	13.0	12.0	22.0	29.0
91.0	0.587111236532286	24.0	15.0	29.0	29.0
92.0	0.46268424115030676	13.0	13.0	28.0	26.0
93.0	0.324166696363195	11.0	6.0	20.0	21.0
94.0	1.0	10.0	5.0	20.0	23.0
95.0	0.346234004762055	11.0	7.0	20.0	20.0
96.0	1.0	12.0	6.0	21.0	20.0
97.0	0.3228451563589122	10.0	7.0	20.0	21.0
98.0	0.39055224837379005	13.0	8.0	24.0	21.0
99.0	0.3148630081149248	11.0	7.0	28.0	25.0
100.0	0.3731190035693126	11.0	9.0	26.0	24.0
101.0	0.3731190035693126	11.0	9.0	26.0	24.0
