Iteration	Y	var_1	var_2	var_3	var_4
1.0	1.0	17.0	14.0	24.0	27.0
2.0	0.7620459981084768	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	1.0	8.0	10.0	27.0	26.0
6.0	1.0	12.0	20.0	22.0	27.0
7.0	0.7082968715603821	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.7283161902710965	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	1.0	11.0	22.0	25.0	29.0
12.0	1.0	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	1.0	11.0	24.0	24.0	26.0
15.0	0.7116244232697344	12.0	19.0	21.0	24.0
16.0	1.0	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.623178389450938	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.6261148694902338	18.0	15.0	20.0	24.0
22.0	0.6257979195996971	17.0	14.0	20.0	23.0
23.0	0.623178389450938	18.0	15.0	21.0	23.0
24.0	0.6427557351205675	15.0	17.0	20.0	23.0
25.0	0.6205188198268082	13.0	17.0	20.0	22.0
26.0	0.6257979195996971	18.0	15.0	20.0	23.0
27.0	1.0	13.0	17.0	22.0	22.0
28.0	0.65814368399164	13.0	18.0	20.0	23.0
29.0	0.6208454586966651	15.0	16.0	20.0	22.0
30.0	0.6175459430634493	14.0	15.0	20.0	23.0
31.0	1.0	10.0	18.0	20.0	23.0
32.0	0.6208454586966651	14.0	16.0	20.0	22.0
33.0	0.6225337876059192	16.0	15.0	20.0	23.0
34.0	0.6257979195996971	19.0	14.0	20.0	23.0
35.0	0.6244605565807199	21.0	16.0	21.0	23.0
36.0	0.6292586554792644	20.0	17.0	20.0	21.0
37.0	0.7103983806997858	22.0	19.0	20.0	23.0
38.0	0.6301934747934892	22.0	15.0	20.0	21.0
39.0	1.0	22.0	17.0	22.0	20.0
40.0	0.6292586554792644	21.0	16.0	20.0	22.0
41.0	0.6267472925927589	22.0	14.0	20.0	23.0
42.0	0.6566691541515028	21.0	16.0	20.0	25.0
43.0	0.6289462462657447	20.0	14.0	20.0	21.0
44.0	0.7578442751347161	24.0	23.0	22.0	27.0
45.0	0.6524115537033796	19.0	18.0	20.0	22.0
46.0	0.6261148694902338	18.0	16.0	20.0	23.0
47.0	0.6301934747934892	18.0	16.0	20.0	20.0
48.0	0.7586605968529349	24.0	24.0	29.0	26.0
49.0	0.6238206151869993	20.0	15.0	21.0	24.0
50.0	0.6211714132035719	14.0	12.0	20.0	20.0
51.0	0.6218213221495064	15.0	14.0	20.0	20.0
52.0	0.6237559579888436	16.0	11.0	20.0	20.0
53.0	0.6205188198268082	15.0	12.0	20.0	22.0
54.0	0.6144364405859852	13.0	8.0	20.0	20.0
55.0	1.0	10.0	5.0	20.0	20.0
56.0	0.6184769767045054	14.0	9.0	20.0	20.0
57.0	0.6181449916135595	12.0	10.0	20.0	20.0
58.0	0.7291325719200642	24.0	24.0	20.0	22.0
59.0	0.7473987302536119	24.0	19.0	29.0	29.0
60.0	0.718862477972998	24.0	15.0	20.0	29.0
61.0	0.6334097421886415	24.0	15.0	20.0	24.0
62.0	0.617144149036054	13.0	10.0	20.0	21.0
63.0	0.734150914925968	24.0	24.0	29.0	20.0
64.0	1.0	24.0	9.0	20.0	29.0
65.0	0.7441897772858431	24.0	19.0	20.0	29.0
66.0	0.6289462462657447	20.0	16.0	20.0	22.0
67.0	0.6298822618608966	17.0	13.0	20.0	20.0
68.0	0.7241729260193309	24.0	17.0	23.0	26.0
69.0	0.6361645771218859	24.0	13.0	20.0	21.0
70.0	0.6208454586966651	14.0	14.0	20.0	22.0
71.0	0.7216623873236674	19.0	24.0	20.0	20.0
72.0	1.0	5.0	5.0	20.0	29.0
73.0	0.6361645771218859	23.0	14.0	20.0	22.0
74.0	0.6178122026304864	13.0	9.0	20.0	20.0
75.0	0.6301934747934892	22.0	12.0	20.0	20.0
76.0	1.0	16.0	7.0	20.0	20.0
77.0	0.7566773999236162	19.0	24.0	20.0	29.0
78.0	0.7434886589035602	20.0	24.0	20.0	24.0
79.0	0.7637963041626051	24.0	24.0	26.0	29.0
80.0	0.6188081735103038	14.0	10.0	20.0	20.0
81.0	1.0	5.0	5.0	29.0	20.0
82.0	0.7128504378790537	24.0	13.0	29.0	29.0
83.0	0.6221453024646617	15.0	17.0	20.0	20.0
84.0	0.6002545518711407	15.0	13.0	20.0	25.0
85.0	0.6175459430634493	15.0	13.0	20.0	24.0
86.0	0.6281304385966613	15.0	14.0	20.0	26.0
87.0	1.0	13.0	12.0	20.0	25.0
88.0	1.0	24.0	5.0	29.0	29.0
89.0	0.6072154198935921	16.0	14.0	20.0	25.0
90.0	0.6737063850114526	24.0	16.0	29.0	25.0
91.0	0.6068474537083801	16.0	13.0	20.0	25.0
92.0	0.6175459430634493	15.0	14.0	20.0	24.0
93.0	0.7309418370990587	24.0	20.0	29.0	23.0
94.0	0.6480778459620645	24.0	13.0	29.0	20.0
95.0	0.6441969460032554	24.0	13.0	29.0	23.0
96.0	0.6474822309948663	24.0	15.0	29.0	21.0
97.0	0.71442705516235	18.0	17.0	20.0	29.0
98.0	0.6068474537083801	16.0	13.0	20.0	25.0
99.0	1.0	5.0	15.0	29.0	20.0
100.0	0.6383535187176739	21.0	14.0	29.0	20.0
101.0	0.6374431986537274	22.0	15.0	29.0	23.0
102.0	0.621496696666684	13.0	16.0	20.0	20.0
103.0	0.6386565001530963	21.0	17.0	29.0	20.0
104.0	0.6374431986537274	18.0	16.0	29.0	20.0
105.0	0.6374431986537274	20.0	17.0	29.0	22.0
106.0	0.6383535187176739	19.0	19.0	29.0	20.0
107.0	0.7206718856435265	19.0	18.0	29.0	29.0
108.0	0.7220718246534968	21.0	19.0	29.0	25.0
109.0	0.7270315455671229	20.0	24.0	29.0	20.0
110.0	0.6365307168730959	18.0	12.0	29.0	20.0
111.0	0.7197377649085305	24.0	16.0	26.0	29.0
112.0	0.6358596004703286	21.0	11.0	29.0	20.0
113.0	0.6221453024646617	16.0	9.0	29.0	20.0
