Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.41124508004982907	17.0	14.0	24.0	27.0
2.0	0.5038330917476025	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	0.263131165306541	8.0	10.0	27.0	26.0
6.0	0.453667007454497	12.0	20.0	22.0	27.0
7.0	0.48244059029988245	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5078305497154639	23.0	23.0	24.0	23.0
10.0	0.2833838481987814	9.0	8.0	25.0	25.0
11.0	0.4636309945315392	11.0	22.0	25.0	29.0
12.0	0.4834840401258591	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.47510631345118454	11.0	24.0	24.0	26.0
15.0	0.44312902614303046	12.0	19.0	21.0	24.0
16.0	0.3967874119928677	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.44671252770715353	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.27771000936659934	8.0	10.0	24.0	25.0
22.0	0.2793256475606562	8.0	9.0	25.0	27.0
23.0	0.3092921417780603	10.0	10.0	25.0	26.0
24.0	0.26961160844009935	7.0	10.0	25.0	26.0
25.0	0.4085651170090201	15.0	16.0	26.0	23.0
26.0	0.28340041829348983	8.0	9.0	25.0	25.0
27.0	1.0	7.0	12.0	29.0	29.0
28.0	0.5009408260391706	15.0	24.0	23.0	29.0
29.0	0.4413336040071053	21.0	16.0	26.0	25.0
30.0	0.2817502518233784	8.0	11.0	26.0	24.0
31.0	0.39608285968449164	12.0	13.0	22.0	21.0
32.0	0.5085848541221007	24.0	18.0	20.0	29.0
33.0	0.2793256475606562	8.0	10.0	26.0	25.0
34.0	1.0	5.0	9.0	20.0	20.0
35.0	0.3396793432151453	11.0	13.0	24.0	24.0
36.0	0.49405799101965453	24.0	19.0	29.0	20.0
37.0	0.516947725099947	24.0	18.0	20.0	20.0
38.0	0.476108464891786	24.0	18.0	29.0	29.0
39.0	0.43953616792349526	18.0	15.0	24.0	20.0
40.0	0.46792488207172955	14.0	24.0	29.0	29.0
41.0	0.5489455064363337	24.0	24.0	20.0	29.0
42.0	0.4288937152664447	24.0	12.0	24.0	29.0
43.0	0.28904584798774136	8.0	10.0	25.0	26.0
