Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.4257448776737882	17.0	14.0	24.0	27.0
2.0	0.5489122477929417	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	0.26911326289922627	8.0	10.0	27.0	26.0
6.0	0.46003192726529546	12.0	20.0	22.0	27.0
7.0	0.5072171178578316	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5552903282921733	23.0	23.0	24.0	23.0
10.0	0.27339599924115027	9.0	8.0	25.0	25.0
11.0	0.48800828591296513	11.0	22.0	25.0	29.0
12.0	0.5185144259580334	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5148952961404155	11.0	24.0	24.0	26.0
15.0	0.47307201624447554	12.0	19.0	21.0	24.0
16.0	0.41902746558202997	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.44261980433858966	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.2975221535552871	8.0	10.0	24.0	25.0
22.0	0.27548508289745044	8.0	9.0	25.0	26.0
23.0	0.3053372886708977	10.0	10.0	25.0	25.0
24.0	0.2876014405960465	8.0	10.0	26.0	24.0
25.0	0.4330603843746973	15.0	16.0	26.0	23.0
26.0	1.0	5.0	10.0	26.0	26.0
27.0	0.29112939955870515	9.0	10.0	26.0	25.0
28.0	0.2946569755231835	9.0	9.0	24.0	25.0
29.0	0.25708654381208706	9.0	10.0	26.0	27.0
30.0	0.27680525765218195	10.0	12.0	28.0	27.0
31.0	0.36009619863660475	11.0	14.0	25.0	26.0
32.0	0.3740643620124782	9.0	12.0	24.0	21.0
33.0	0.3619656344341417	13.0	15.0	29.0	29.0
34.0	0.23011100966629955	10.0	11.0	29.0	29.0
35.0	0.32285247939771466	11.0	12.0	27.0	29.0
36.0	0.548464357471119	16.0	24.0	20.0	29.0
37.0	0.47886246034057495	21.0	16.0	29.0	29.0
38.0	0.2675779051963556	9.0	13.0	29.0	29.0
39.0	0.5149961295569012	24.0	16.0	20.0	29.0
40.0	0.5210644294811599	23.0	17.0	29.0	20.0
41.0	0.21795624736929176	9.0	11.0	29.0	28.0
42.0	0.3196915945089323	7.0	8.0	20.0	20.0
43.0	0.4270511058159401	11.0	11.0	20.0	20.0
44.0	1.0	6.0	12.0	20.0	20.0
45.0	1.0	8.0	5.0	20.0	20.0
46.0	0.23350326222868067	9.0	10.0	28.0	29.0
47.0	0.3894034431541993	13.0	12.0	23.0	23.0
48.0	0.31597695286579847	8.0	9.0	24.0	22.0
49.0	0.31958247070935875	10.0	14.0	29.0	22.0
50.0	0.39705386401465237	12.0	13.0	27.0	20.0
51.0	0.3586380785498412	11.0	16.0	29.0	25.0
52.0	0.43718140174657394	15.0	20.0	29.0	29.0
53.0	0.5264707687458473	24.0	17.0	20.0	20.0
54.0	0.3958056384759154	12.0	18.0	29.0	20.0
55.0	0.4517852497757892	14.0	15.0	20.0	29.0
56.0	0.4400815225222505	15.0	14.0	22.0	20.0
57.0	0.29642030503098116	7.0	13.0	29.0	20.0
58.0	0.48863551343897116	17.0	21.0	29.0	20.0
59.0	0.3343357343557479	8.0	16.0	29.0	20.0
60.0	0.567340899321239	24.0	24.0	29.0	20.0
61.0	0.47623183475763575	16.0	18.0	24.0	29.0
62.0	0.4789293317804903	24.0	12.0	25.0	29.0
63.0	0.5679948727832754	24.0	24.0	20.0	29.0
64.0	0.2480817174651243	8.0	13.0	29.0	25.0
