Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5175044676453979	17.0	14.0	24.0	27.0
2.0	0.5904273067504735	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.5591928405795267	8.0	24.0	22.0	23.0
5.0	1.0	8.0	10.0	27.0	26.0
6.0	0.5418829858544897	12.0	20.0	22.0	27.0
7.0	0.5676682945893016	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5970283989273073	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.5464671056092388	11.0	22.0	25.0	29.0
12.0	0.5818629013185428	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5539424247555409	11.0	24.0	24.0	26.0
15.0	0.554330966563847	12.0	19.0	21.0	24.0
16.0	0.5318613214642147	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	0.3792286113994019	10.0	6.0	28.0	24.0
19.0	0.5389309673536564	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	1.0	10.0	5.0	29.0	23.0
22.0	0.3880479634310404	10.0	7.0	27.0	24.0
23.0	0.5319616932851543	19.0	13.0	23.0	24.0
24.0	0.5076223767138804	18.0	13.0	24.0	25.0
25.0	0.5161294498861125	18.0	14.0	23.0	26.0
26.0	0.5118532166671252	17.0	13.0	22.0	25.0
27.0	0.5020193994458109	18.0	12.0	23.0	26.0
28.0	0.550360943594191	11.0	22.0	22.0	25.0
29.0	0.5480489131171148	13.0	21.0	23.0	25.0
30.0	0.3792286113994019	10.0	6.0	28.0	24.0
31.0	0.3792286113994019	10.0	6.0	28.0	24.0
