Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5934969167477965	17.0	14.0	24.0	27.0
2.0	0.5097252600305193	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	0.2161539309021137	8.0	10.0	27.0	26.0
6.0	0.5987228554042743	12.0	20.0	22.0	27.0
7.0	0.6094703699035473	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.6177120943843442	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.5228970860673714	11.0	22.0	25.0	29.0
12.0	0.5026009361047076	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.6017275165266256	11.0	24.0	24.0	26.0
15.0	0.5562234388057559	12.0	19.0	21.0	24.0
16.0	0.5884697676291019	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.601852869324509	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.6013994287498045	11.0	23.0	24.0	26.0
22.0	1.0	8.0	11.0	28.0	26.0
23.0	0.5981764762071511	12.0	20.0	22.0	28.0
24.0	0.5944434896713149	17.0	14.0	24.0	28.0
25.0	0.5990626880853227	13.0	20.0	22.0	28.0
26.0	0.590803268829711	17.0	13.0	24.0	27.0
27.0	0.5209106889627858	11.0	22.0	25.0	28.0
28.0	0.5014099632612234	16.0	24.0	26.0	23.0
29.0	0.48989965305467337	16.0	23.0	27.0	23.0
30.0	0.4950314948875208	17.0	23.0	26.0	23.0
31.0	0.5002073100847343	17.0	24.0	27.0	23.0
32.0	0.49197350044025695	17.0	23.0	27.0	24.0
33.0	0.4679741327363668	18.0	21.0	26.0	28.0
34.0	0.4724376058486642	18.0	22.0	26.0	29.0
35.0	0.46493262977694083	18.0	21.0	27.0	29.0
36.0	0.46493262977694083	18.0	21.0	27.0	29.0
