Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.3775365309963449	17.0	14.0	24.0	27.0
2.0	0.5572454815067758	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.45675233073358323	8.0	24.0	22.0	23.0
5.0	0.1703942144674322	8.0	10.0	27.0	26.0
6.0	0.4366861776240624	12.0	20.0	22.0	27.0
7.0	0.45303160943589826	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5197074308780201	23.0	23.0	24.0	23.0
10.0	0.15364999489911968	9.0	8.0	25.0	25.0
11.0	0.48459378565271716	11.0	22.0	25.0	29.0
12.0	0.5109765580860847	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5022001794843599	11.0	24.0	24.0	26.0
15.0	0.40888091134969823	12.0	19.0	21.0	24.0
16.0	0.3220693637993911	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.3754751133525506	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.15862865908174717	8.0	9.0	25.0	26.0
22.0	0.18143145450901427	9.0	10.0	25.0	25.0
23.0	0.14701921633598009	8.0	9.0	25.0	24.0
24.0	1.0	8.0	8.0	24.0	24.0
25.0	0.17004464070633318	8.0	9.0	26.0	25.0
26.0	0.17004464070633318	8.0	9.0	26.0	25.0
