Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5598114555770949	17.0	14.0	24.0	27.0
2.0	0.5953415789656402	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.46475710044607155	8.0	24.0	22.0	23.0
5.0	0.3909698340719534	8.0	10.0	27.0	26.0
6.0	0.48275669686644396	12.0	20.0	22.0	27.0
7.0	0.5018974517055902	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.597777848411394	23.0	23.0	24.0	23.0
10.0	0.2880452702658709	9.0	8.0	25.0	25.0
11.0	0.5146041761855557	11.0	22.0	25.0	29.0
12.0	0.5803539201432033	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5319969991025268	11.0	24.0	24.0	26.0
15.0	0.45820432707646563	12.0	19.0	21.0	24.0
16.0	0.5523868321717467	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.5321167660374982	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.2772461575445223	8.0	9.0	25.0	25.0
22.0	0.31296271015931487	9.0	9.0	24.0	26.0
23.0	0.30416874865724486	9.0	9.0	24.0	24.0
24.0	0.27208180918328423	8.0	8.0	24.0	25.0
25.0	0.4814940390570528	10.0	24.0	20.0	20.0
26.0	1.0	5.0	8.0	22.0	22.0
27.0	0.254728250019189	7.0	8.0	25.0	27.0
28.0	1.0	5.0	9.0	26.0	29.0
29.0	1.0	8.0	8.0	25.0	26.0
30.0	0.2646667181838651	7.0	8.0	24.0	27.0
31.0	0.30690013999425336	9.0	9.0	24.0	25.0
32.0	0.30690013999425336	9.0	9.0	24.0	25.0
