Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.40818014806418873	17.0	14.0	24.0	27.0
2.0	0.5464304043683413	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	1.0	8.0	24.0	22.0	23.0
5.0	1.0	8.0	10.0	27.0	26.0
6.0	1.0	12.0	20.0	22.0	27.0
7.0	1.0	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5558176262102512	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	1.0	11.0	22.0	25.0	29.0
12.0	0.5197549358281808	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	1.0	11.0	24.0	24.0	26.0
15.0	1.0	12.0	19.0	21.0	24.0
16.0	0.4221944829646362	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.44998096413042443	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.4533638961528511	20.0	15.0	24.0	26.0
22.0	0.41745935773465637	18.0	13.0	24.0	25.0
23.0	0.423678467923229	19.0	13.0	22.0	27.0
24.0	0.5246943702356429	20.0	24.0	29.0	23.0
25.0	0.4164047071365155	18.0	13.0	23.0	26.0
26.0	0.44551151453587545	18.0	14.0	25.0	29.0
27.0	0.47366924343232303	20.0	14.0	25.0	21.0
28.0	0.4478992468130324	18.0	17.0	29.0	25.0
29.0	0.46870686007888096	21.0	13.0	21.0	24.0
30.0	0.5148311772521389	19.0	20.0	27.0	25.0
31.0	0.43297005559420704	18.0	14.0	27.0	26.0
32.0	0.5586716763960217	24.0	24.0	20.0	29.0
33.0	0.43250858996381025	17.0	15.0	29.0	21.0
34.0	0.41963174718569074	17.0	14.0	27.0	23.0
35.0	0.4269400585647013	19.0	14.0	29.0	23.0
36.0	0.47527876042905726	19.0	15.0	20.0	29.0
37.0	0.5086415036835437	24.0	15.0	20.0	29.0
38.0	0.5086693929791138	16.0	24.0	29.0	20.0
39.0	0.5265183028642654	24.0	18.0	29.0	29.0
40.0	0.46055341476488787	18.0	15.0	28.0	23.0
