Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5049615211088294	17.0	14.0	24.0	27.0
2.0	0.5417606185244045	20.0	24.0	27.0	29.0
3.0	0.45424682660995996	5.0	21.0	23.0	29.0
4.0	0.5098369166139339	8.0	24.0	22.0	23.0
5.0	0.31648308859097024	8.0	10.0	27.0	26.0
6.0	0.5251686403748053	12.0	20.0	22.0	27.0
7.0	0.5532913082262203	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.5744861055509216	23.0	23.0	24.0	23.0
10.0	0.3734586817483533	9.0	8.0	25.0	25.0
11.0	0.5285027839586046	11.0	22.0	25.0	29.0
12.0	0.5296125969900711	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5404169307856521	11.0	24.0	24.0	26.0
15.0	0.5316150946471304	12.0	19.0	21.0	24.0
16.0	0.4761040565916054	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	0.48740709354718914	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.37350067742132964	8.0	10.0	24.0	26.0
22.0	0.32939616138409367	8.0	10.0	26.0	25.0
23.0	0.2691357906205233	6.0	9.0	26.0	27.0
24.0	1.0	5.0	11.0	28.0	28.0
25.0	0.2960411276199314	7.0	9.0	26.0	26.0
26.0	0.3459692754781278	7.0	9.0	25.0	27.0
27.0	0.2640277349470071	6.0	8.0	26.0	27.0
28.0	1.0	5.0	8.0	25.0	26.0
29.0	0.27998284718700184	7.0	8.0	26.0	27.0
30.0	0.3113322439878883	8.0	9.0	26.0	26.0
31.0	0.2640277349470071	6.0	8.0	26.0	27.0
32.0	0.2640277349470071	6.0	8.0	26.0	27.0
