Iteration	Y	var_1	var_2	var_3	var_4
1.0	0.5518390933412698	17.0	14.0	24.0	27.0
2.0	0.6003496149260433	20.0	24.0	27.0	29.0
3.0	1.0	5.0	21.0	23.0	29.0
4.0	0.5377701897976972	8.0	24.0	22.0	23.0
5.0	1.0	8.0	10.0	27.0	26.0
6.0	0.5392108679526613	12.0	20.0	22.0	27.0
7.0	0.561670413257048	14.0	20.0	20.0	22.0
8.0	1.0	24.0	5.0	20.0	20.0
9.0	0.6098079606410534	23.0	23.0	24.0	23.0
10.0	1.0	9.0	8.0	25.0	25.0
11.0	0.549971300464409	11.0	22.0	25.0	29.0
12.0	0.5911317857571371	17.0	24.0	26.0	24.0
13.0	1.0	6.0	24.0	28.0	24.0
14.0	0.5596003109588168	11.0	24.0	24.0	26.0
15.0	0.5493887649847479	12.0	19.0	21.0	24.0
16.0	1.0	19.0	12.0	24.0	24.0
17.0	1.0	22.0	5.0	29.0	23.0
18.0	1.0	10.0	6.0	28.0	24.0
19.0	1.0	18.0	14.0	21.0	24.0
20.0	1.0	13.0	5.0	21.0	28.0
21.0	0.5610765564898733	16.0	17.0	25.0	29.0
22.0	0.571171614000867	13.0	24.0	20.0	24.0
23.0	0.5586232338476714	15.0	21.0	24.0	28.0
24.0	0.5564454311662546	11.0	23.0	21.0	21.0
25.0	0.5564903058944661	13.0	22.0	22.0	25.0
26.0	0.5530262403455326	17.0	14.0	25.0	29.0
27.0	0.5431161850436612	9.0	24.0	20.0	23.0
28.0	0.5384641742431296	15.0	16.0	25.0	27.0
29.0	0.6267698838831421	24.0	24.0	29.0	23.0
30.0	0.5651847988907558	13.0	24.0	23.0	29.0
31.0	1.0	7.0	24.0	20.0	20.0
32.0	0.5561255788296314	10.0	24.0	22.0	24.0
33.0	0.5541013608983287	11.0	22.0	21.0	24.0
34.0	0.5782526708638968	18.0	17.0	29.0	29.0
35.0	0.5595732787482042	12.0	22.0	22.0	23.0
36.0	0.5801309508735869	15.0	23.0	29.0	29.0
37.0	0.6051075428359596	24.0	24.0	20.0	29.0
38.0	0.5578701737858303	11.0	24.0	21.0	25.0
39.0	0.5807179836291636	17.0	24.0	20.0	20.0
40.0	0.6160516335955739	24.0	19.0	29.0	29.0
41.0	0.537128236398045	14.0	17.0	22.0	29.0
42.0	0.5346298258559993	15.0	16.0	24.0	29.0
43.0	0.5940355813385114	18.0	22.0	29.0	20.0
44.0	0.6066063244948176	24.0	24.0	20.0	20.0
45.0	0.5732951499297335	15.0	24.0	24.0	20.0
46.0	0.5407764591616465	13.0	19.0	24.0	27.0
47.0	0.5524834466477142	14.0	20.0	20.0	29.0
48.0	0.5875630647461317	18.0	20.0	29.0	25.0
49.0	0.5407764591616465	16.0	16.0	24.0	28.0
50.0	0.5449274743193727	9.0	24.0	21.0	24.0
51.0	0.5582404453969189	13.0	22.0	25.0	29.0
52.0	0.580425160732381	18.0	24.0	20.0	29.0
53.0	0.5461426177463878	14.0	19.0	22.0	27.0
54.0	0.5280127232127527	15.0	15.0	24.0	28.0
55.0	0.6019303676638653	21.0	24.0	25.0	20.0
56.0	1.0	24.0	19.0	29.0	20.0
57.0	0.5843862944110326	15.0	24.0	29.0	20.0
58.0	0.6243898563934405	24.0	24.0	29.0	29.0
59.0	0.6014045064055267	19.0	24.0	29.0	23.0
60.0	0.5983333573803591	21.0	24.0	20.0	24.0
61.0	0.5685834470902569	14.0	20.0	27.0	22.0
62.0	0.5610485821529155	14.0	19.0	29.0	26.0
63.0	0.6099948323264296	24.0	24.0	24.0	27.0
64.0	0.5536445526693763	14.0	20.0	26.0	25.0
65.0	0.5347311601160013	16.0	15.0	23.0	29.0
66.0	0.5279913512416056	13.0	16.0	20.0	29.0
67.0	0.5265509030030675	12.0	18.0	20.0	27.0
68.0	0.5278178617983355	12.0	18.0	20.0	29.0
69.0	0.5393819121538658	13.0	18.0	20.0	28.0
70.0	0.5463852997474922	11.0	24.0	20.0	29.0
71.0	0.514760649867665	13.0	15.0	22.0	29.0
72.0	0.4849861448669287	11.0	15.0	20.0	29.0
73.0	0.4787204761439682	11.0	14.0	20.0	29.0
74.0	0.4549662243526985	9.0	14.0	20.0	29.0
75.0	1.0	5.0	10.0	20.0	29.0
76.0	0.46421456051602017	9.0	15.0	20.0	28.0
77.0	0.46216263137662383	9.0	15.0	20.0	29.0
78.0	0.59177359636998	24.0	18.0	20.0	29.0
79.0	1.0	24.0	5.0	20.0	29.0
80.0	0.4549662243526985	9.0	14.0	20.0	29.0
81.0	0.5907062601972317	21.0	20.0	23.0	29.0
82.0	0.6035526856804619	24.0	12.0	29.0	29.0
83.0	0.591237263366851	24.0	15.0	25.0	29.0
84.0	1.0	17.0	10.0	29.0	29.0
85.0	0.4716426037490963	10.0	14.0	21.0	29.0
86.0	1.0	12.0	16.0	29.0	20.0
87.0	1.0	5.0	5.0	20.0	20.0
88.0	0.5464024710364384	12.0	19.0	29.0	29.0
89.0	0.552755354203046	11.0	24.0	29.0	29.0
90.0	0.5733529961787177	13.0	24.0	29.0	25.0
91.0	0.5131894006556786	11.0	16.0	25.0	29.0
92.0	0.5841491441320619	21.0	16.0	27.0	29.0
93.0	0.5705501690538227	16.0	21.0	24.0	20.0
94.0	0.600319868644761	24.0	21.0	20.0	25.0
95.0	1.0	24.0	5.0	29.0	29.0
96.0	0.49240296183041216	10.0	15.0	22.0	27.0
97.0	0.4691207564642039	10.0	14.0	20.0	29.0
98.0	0.48260804503715865	9.0	16.0	20.0	25.0
99.0	1.0	10.0	14.0	20.0	26.0
100.0	0.4795381726703035	8.0	17.0	21.0	26.0
101.0	0.49096289139116694	9.0	17.0	20.0	25.0
102.0	0.4740934221978374	9.0	16.0	22.0	27.0
103.0	1.0	7.0	16.0	20.0	25.0
104.0	0.49153353643180303	9.0	17.0	21.0	26.0
105.0	0.5004445313905331	10.0	15.0	23.0	28.0
106.0	0.5104692843531923	10.0	17.0	20.0	24.0
107.0	0.4710590538109995	9.0	16.0	20.0	28.0
108.0	0.5222528238669135	13.0	16.0	27.0	29.0
109.0	0.5754286859176608	18.0	22.0	22.0	25.0
110.0	0.5101585039450937	11.0	17.0	27.0	27.0
111.0	0.48874375169384876	9.0	16.0	29.0	29.0
112.0	0.51184892943627	10.0	18.0	27.0	29.0
113.0	1.0	6.0	16.0	29.0	29.0
114.0	0.5073104255741123	11.0	16.0	29.0	29.0
115.0	0.49579013281186474	10.0	16.0	28.0	29.0
116.0	0.4983810164935719	10.0	17.0	21.0	29.0
117.0	0.488773985456208	10.0	16.0	21.0	29.0
118.0	0.488773985456208	10.0	16.0	21.0	29.0
